"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","cytokine receptor binding","GO:0005126","true","0.0000015944223628037817","5.797396623004149","276","130","14","20196","IL12B,IL10,JAK2,IFNG,SMAD3,TNFSF18,SMURF1,SMAD7,IL2,TMBIM1,CCL7,IL27,OSMR,CCL20"
"GO:MF","signaling receptor binding","GO:0005102","false","0.000009319601840979942","5.030602641504286","1499","130","30","20196","ITGA4,BOK,FERMT1,IL12B,MST1,IL10,JAK2,PDGFB,ICOSLG,IFNG,SMAD3,HNF4A,STAT3,PTPN2,LRRK2,RIMBP3C,ATXN2,EDN3,TNFSF18,SMURF1,SMAD7,IL2,TMBIM1,PARK7,CCL7,IL27,OSMR,CCL20,BANK1,WNT2"
"GO:MF","enzyme binding","GO:0019899","true","0.00004965305978937588","4.304053983650034","2105","130","35","20196","BOK,CUL1,PLCG2,IL12RB2,NOD2,MST1,USP25,JAK2,ATG16L1,GRB7,SMAD3,RNF186,STAT3,PTPN2,LRRK2,RGS14,TNFAIP3,SMAD7,TSPAN14,GCKR,PRKCB,PRDM1,PARK7,TRIB1,CDC37,DENND1B,FOXO1,CEBPB,TNFRSF14,CD6,CD40,LTBR,BANK1,AKAP11,HDAC7"
"GO:MF","kinase binding","GO:0019900","false","0.00008454877830306931","4.07289266340709","790","130","20","20196","PLCG2,IL12RB2,NOD2,MST1,JAK2,GRB7,SMAD3,STAT3,PTPN2,RGS14,TNFAIP3,GCKR,PRKCB,PARK7,TRIB1,CDC37,CEBPB,CD6,BANK1,HDAC7"
"GO:MF","DNA-binding transcription activator activity, RNA polymerase II-specific","GO:0001228","true","0.00020667556215813354","3.684710872416323","472","130","15","20196","IRF6,IRF1,SMAD3,HNF4A,STAT3,ZNF300,ETS1,NR5A2,FOSL2,FOXO1,CEBPB,SOX4,HHEX,MYC,PITX1"
"GO:MF","DNA-binding transcription activator activity","GO:0001216","false","0.00024250244939589234","3.6152838704483248","478","130","15","20196","IRF6,IRF1,SMAD3,HNF4A,STAT3,ZNF300,ETS1,NR5A2,FOSL2,FOXO1,CEBPB,SOX4,HHEX,MYC,PITX1"
"GO:MF","ubiquitin-like protein ligase binding","GO:0044389","false","0.0007073784683805874","3.150348163641726","326","130","12","20196","BOK,CUL1,USP25,SMAD3,RNF186,SMAD7,TRIB1,FOXO1,CEBPB,TNFRSF14,CD40,LTBR"
"GO:MF","RNA polymerase II cis-regulatory region sequence-specific DNA binding","GO:0000978","true","0.0009343389520362125","3.029495545295817","1182","130","23","20196","IRF6,KLF3,RORC,IRF1,SMAD3,HNF4A,STAT3,ZNF300,BACH2,ETS1,NR5A2,PRDM1,CREM,IRF8,IKZF1,FOSL2,ZEB2,FOXO1,CEBPB,SOX4,HHEX,MYC,PITX1"
"GO:MF","cis-regulatory region sequence-specific DNA binding","GO:0000987","false","0.0012932905962682424","2.8883038802426246","1205","130","23","20196","IRF6,KLF3,RORC,IRF1,SMAD3,HNF4A,STAT3,ZNF300,BACH2,ETS1,NR5A2,PRDM1,CREM,IRF8,IKZF1,FOSL2,ZEB2,FOXO1,CEBPB,SOX4,HHEX,MYC,PITX1"
"GO:MF","cytokine binding","GO:0019955","true","0.002377160375966915","2.6239415174523355","145","130","8","20196","ITGA4,IL12RB2,IL12B,LRRC32,PARK7,IL1RL1,OSMR,TNFRSF14"
"GO:MF","DNA-binding transcription factor activity","GO:0003700","false","0.002643103139478196","2.5778858894478285","1448","130","25","20196","IRF6,KLF3,RORC,IRF1,SMAD3,HNF4A,STAT3,ZNF300,ZBTB40,BACH2,ETS1,NR5A2,PRDM1,CREM,IRF8,IKZF1,FOSL2,ZEB2,FOXO1,CEBPB,SOX4,HHEX,MYC,PITX1,SP140"
"GO:MF","ubiquitin protein ligase binding","GO:0031625","false","0.002654929530510584","2.575947001858052","308","130","11","20196","BOK,CUL1,USP25,SMAD3,RNF186,SMAD7,TRIB1,FOXO1,TNFRSF14,CD40,LTBR"
"GO:MF","DNA-binding transcription factor activity, RNA polymerase II-specific","GO:0000981","false","0.002884305073732494","2.5399588060776086","1359","130","24","20196","IRF6,KLF3,RORC,IRF1,SMAD3,HNF4A,STAT3,ZNF300,ZBTB40,BACH2,ETS1,NR5A2,PRDM1,CREM,IRF8,FOSL2,ZEB2,FOXO1,CEBPB,SOX4,HHEX,MYC,PITX1,SP140"
"GO:MF","DNA-binding transcription repressor activity","GO:0001217","true","0.005865385821893249","2.2317034149537203","335","130","11","20196","RORC,SMAD3,BACH2,PRDM1,CREM,IRF8,ZEB2,FOXO1,CEBPB,HHEX,MYC"
"GO:MF","protein kinase binding","GO:0019901","false","0.006595635706795286","2.1807433395189832","706","130","16","20196","PLCG2,IL12RB2,NOD2,MST1,JAK2,GRB7,SMAD3,STAT3,PTPN2,RGS14,PRKCB,TRIB1,CDC37,CD6,BANK1,HDAC7"
"GO:MF","transcription regulator activity","GO:0140110","false","0.008349368337094747","2.078346379377584","1962","130","29","20196","IRF6,KLF3,RORC,IRF1,SMAD3,HNF4A,STAT3,ZNF300,ZBTB40,BACH2,ETS1,SMAD7,NR5A2,PRKCB,PRDM1,PARK7,CREM,IRF8,IKZF1,FOSL2,ZEB2,FOXO1,CEBPB,SOX4,HHEX,MYC,PITX1,SP140,HDAC7"
"GO:MF","DNA-binding transcription factor binding","GO:0140297","true","0.008971399861303478","2.0471397860968374","490","130","13","20196","SMAD3,HNF4A,STAT3,PTPN2,ETS1,PRKCB,PARK7,TRIB1,CREM,HHEX,MYC,PITX1,HDAC7"
"GO:MF","RNA polymerase II transcription regulatory region sequence-specific DNA binding","GO:0000977","false","0.012656952495577004","1.8976708499014185","1386","130","23","20196","IRF6,KLF3,RORC,IRF1,SMAD3,HNF4A,STAT3,ZNF300,BACH2,ETS1,NR5A2,PRDM1,CREM,IRF8,IKZF1,FOSL2,ZEB2,FOXO1,CEBPB,SOX4,HHEX,MYC,PITX1"
"GO:MF","cytokine activity","GO:0005125","true","0.013101646587874608","1.8826741196809051","239","130","9","20196","IL12B,IL10,IFNG,TNFSF18,IL2,CCL7,IL27,CCL20,WNT2"
"GO:MF","transcription factor binding","GO:0008134","false","0.017399359474399575","1.759466739180274","600","130","14","20196","SMAD3,HNF4A,STAT3,PTPN2,ETS1,NR5A2,PRKCB,PARK7,TRIB1,CREM,HHEX,MYC,PITX1,HDAC7"
"GO:MF","ubiquitin binding","GO:0043130","true","0.022895116207834385","1.6402571477993917","99","130","6","20196","NOD2,USP25,SMAD3,TNFAIP3,JARID2,TOM1"
"GO:MF","cytokine receptor activity","GO:0004896","true","0.02562475042183573","1.591340355826819","101","130","6","20196","IL12RB2,IL12B,GPR35,IFNGR2,IL1RL1,OSMR"
"GO:MF","DNA-binding transcription repressor activity, RNA polymerase II-specific","GO:0001227","false","0.026521593326683444","1.5764003885553344","326","130","10","20196","RORC,BACH2,PRDM1,CREM,IRF8,ZEB2,FOXO1,CEBPB,HHEX,MYC"
"GO:MF","transcription cis-regulatory region binding","GO:0000976","false","0.036109007335951133","1.4423844504943726","1483","130","23","20196","IRF6,KLF3,RORC,IRF1,SMAD3,HNF4A,STAT3,ZNF300,BACH2,ETS1,NR5A2,PRDM1,CREM,IRF8,IKZF1,FOSL2,ZEB2,FOXO1,CEBPB,SOX4,HHEX,MYC,PITX1"
"GO:MF","transcription regulatory region nucleic acid binding","GO:0001067","false","0.036856919644699226","1.4334809642122","1485","130","23","20196","IRF6,KLF3,RORC,IRF1,SMAD3,HNF4A,STAT3,ZNF300,BACH2,ETS1,NR5A2,PRDM1,CREM,IRF8,IKZF1,FOSL2,ZEB2,FOXO1,CEBPB,SOX4,HHEX,MYC,PITX1"
"GO:BP","leukocyte activation","GO:0045321","true","7.021171339512209e-19","18.15359042863222","951","128","39","21017","ITGA4,PLCG2,RORC,PTGER4,NOD2,IL12B,LRRC32,IL10,JAK2,IRF1,ICOSLG,IFNG,SMAD3,STAT3,PTPN2,LRRK2,IFNGR2,TNFSF18,TNFAIP3,SMAD7,IL2,PRKCB,PRDM1,IL27,MAP3K8,IRF8,IL1RL1,IKZF1,FOSL2,NDFIP1,CEBPB,SOX4,HHEX,TNFRSF14,GPR183,CD6,CD40,LTBR,BANK1"
"GO:BP","cell activation","GO:0001775","false","1.5151739531153454e-18","17.819537504098133","1098","128","41","21017","ITGA4,PLCG2,RORC,PTGER4,NOD2,IL12B,LRRC32,IL10,JAK2,IRF1,PDGFB,ICOSLG,IFNG,SMAD3,STAT3,PTPN2,LRRK2,IFNGR2,TNFSF18,TNFAIP3,SMAD7,IL2,PRKCB,PRDM1,IL27,MAP3K8,IRF8,IL1RL1,IKZF1,FOSL2,NDFIP1,ZEB2,CEBPB,SOX4,HHEX,TNFRSF14,GPR183,CD6,CD40,LTBR,BANK1"
"GO:BP","lymphocyte activation","GO:0046649","false","1.1095448647767706e-17","16.954855132250316","787","128","35","21017","ITGA4,PLCG2,RORC,PTGER4,NOD2,IL12B,LRRC32,IL10,JAK2,IRF1,ICOSLG,IFNG,SMAD3,STAT3,PTPN2,TNFSF18,TNFAIP3,SMAD7,IL2,PRKCB,PRDM1,IL27,MAP3K8,IRF8,IKZF1,FOSL2,NDFIP1,CEBPB,SOX4,HHEX,TNFRSF14,GPR183,CD6,CD40,BANK1"
"GO:BP","regulation of immune system process","GO:0002682","false","1.4777231730717823e-17","16.83040691618997","1526","128","46","21017","ITGA4,PLCG2,PTGER4,NOD2,IL12B,MST1,LRRC32,IL10,JAK2,IRF1,ICOSLG,IFNG,INAVA,SMAD3,STAT3,PTPN2,LRRK2,EDN3,TNFSF18,TNFAIP3,ETS1,SMAD7,IL2,PRKCB,FCGR2A,PRDM1,PARK7,CCL7,ADCY7,IL27,TRIB1,MAP3K8,CDC37,DENND1B,IL1RL1,FOSL2,NDFIP1,CCL20,CEBPB,SOX4,MYC,TNFRSF14,GPR183,CD6,CD40,BANK1"
