"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","identical protein binding","GO:0042802","true","5.5856283245185615e-28","27.252927966232754","2166","229","91","20196","TGFB1,TNF,APP,LMNA,EGFR,VWF,STAT3,APOE,LRRK2,TERT,SQSTM1,GLA,MEFV,PKD2,TLR4,RIPK1,NEFL,COL1A1,SNCA,CRP,ATG16L1,IGHMBP2,VCP,NFKB1,PRKN,IAH1,HEXB,TP53,PTEN,MAPT,XIAP,STAT1,IFIH1,PRNP,FOXP3,TRPV4,GJB1,ENG,NOTCH1,TLR2,PARK7,MVK,PTGS2,IL17A,GUCY2D,FLNA,NFKBIA,PSAP,PRF1,COL1A2,IKBKG,GFAP,GATA3,CEP290,FAS,TNFAIP3,HSPB1,PLA2G6,IRF5,CARD8,PPARG,CBS,MMP9,INS,PDGFRA,TLR3,CASP8,PFKM,ASPA,ALB,TTR,MTMR2,PSTPIP1,NLRC4,IKBKB,HMOX1,SOD1,GDNF,CLCN1,PLP1,LITAF,IL12B,SMAD4,SERPINA1,CCR5,AIRE,WAS,BRAF,MORC2,CLN6,NOS2"
"GO:MF","enzyme binding","GO:0019899","true","1.891530473178366e-24","23.72318665768786","2105","229","85","20196","NOD2,TGFB1,TNF,APP,EGFR,VWF,STAT3,APOE,PSEN1,LRRK2,MFN2,SQSTM1,PKD2,RIPK1,NEFL,NCF2,COL1A1,ATG16L1,VCP,PRKN,ATP7A,DNM2,TP53,PTEN,MAPT,PINK1,XIAP,ABCB1,STAT1,PRNP,FOXP3,TRPV4,ACE,INF2,EGR2,MYO5B,NOTCH1,PARK7,DBT,CFTR,ELANE,NDRG1,PTGS2,CD40,FLNA,ABCA1,NFKBIA,PSAP,COL1A2,IKBKG,GFAP,NPC2,AR,FAS,TNFAIP3,HSPB1,PRKAG2,IRF5,PPARG,CBS,INS,POLG,CTNNB1,CASP8,PFKM,LAMP2,IRGM,NLRC4,IKBKB,LYST,HMOX1,APC,SOD1,GDNF,UNC13D,TGFBR1,SPG11,PTPN22,SERPINA1,ITGB2,LRBA,WAS,BRAF,WNK1,APOB"
"GO:MF","signaling receptor binding","GO:0005102","true","2.1582582390704297e-24","23.665896592510634","1499","229","72","20196","IL10,TGFB1,ADAM17,IL6,TNF,APP,EGFR,VWF,STAT3,IL1B,APOE,PSEN1,GBA1,LRRK2,IL23R,SQSTM1,GLA,IFNG,PKD2,TLR4,RIPK1,CRP,VCP,CXCL8,PRKN,HLA-DRB1,IL1RN,TP53,CCL2,STAT1,PRNP,ACE,CD40LG,IL4,IL37,IL21,ENG,NOTCH1,TLR2,PARK7,IL1A,HLA-B,IL17A,FLNA,ABCA1,IL2,IKBKG,GFAP,GATA3,TGFBR2,AR,IL18,INS,ICAM1,CTNNB1,PDGFRA,IL13,CASP8,TNFRSF11B,TTR,BDNF,IKBKB,GDNF,IL19,F2,TGFBR1,IL12B,ITGB2,HFE,ZAP70,IL5,APOB"
"GO:MF","cytokine receptor binding","GO:0005126","false","3.6747447992662115e-17","16.434772816067913","276","229","29","20196","IL10,TGFB1,ADAM17,IL6,TNF,IL1B,IL23R,IFNG,RIPK1,CXCL8,IL1RN,CCL2,STAT1,CD40LG,IL4,IL37,IL21,ENG,IL1A,IL2,GATA3,TGFBR2,IL18,IL13,CASP8,BDNF,TGFBR1,IL12B,IL5"
"GO:MF","molecular function activator activity","GO:0140677","false","2.510155101174837e-14","13.600299442860289","1132","229","50","20196","NOD2,IL10,TGFB1,IL6,TNF,APP,EGFR,IL1B,APOE,LRRK2,IFNG,NCF2,VCP,CXCL8,IL1RN,TP53,PIK3CA,CCL2,PINK1,PRNP,NCF4,CD40LG,IL4,IL37,IL21,ENG,NOTCH1,PARK7,NLRP12,IL1A,IL17A,PSAP,IL2,TGFBR2,PRKAG2,IL18,CARD8,INS,IL13,TNFRSF11B,TTR,IRGM,BDNF,NLRC4,GDNF,IL19,F2,IL12B,WNK1,IL5"
"GO:MF","protein-containing complex binding","GO:0044877","true","3.2938658377890273e-12","11.482294094023127","1279","229","50","20196","NOD2,TGFB1,ADAM17,EGFR,VWF,IL1B,APOE,LRRK2,SQSTM1,RIPK1,NEFL,SNCA,CRP,IGHMBP2,VCP,PRKN,HLA-DRB1,TP53,PTEN,MAPT,PINK1,IFIH1,PRNP,TRPV4,CD40LG,MYO5B,BCKDHB,ENG,TLR2,PARK7,MTHFR,CFTR,GUCY2D,FLNA,ABCA1,GFAP,TGFBR2,MMP9,ICAM1,PDGFRA,CASP8,ARPC1B,PSTPIP1,APC,PLP1,TGFBR1,IL12B,SMAD4,ITGB2,BRAF"
"GO:MF","protein binding","GO:0005515","false","3.407295483533774e-12","11.467590202415762","14865","229","214","20196","NOD2,IL10RA,IL10RB,IL10,PKHD1,IFNAR2-IL10RB,TGFB1,ADAM17,IL6,TNF,AGL,NPC1,APP,LMNA,EGFR,VWF,STAT3,IL1B,RET,APOE,GBE1,PSEN1,GBA1,DYNC1H1,LRRK2,ATP7B,CYBB,TERT,IL23R,G6PC1,SMPD1,MFN2,SQSTM1,GLA,MEFV,SH3TC2,CTLA4,IFNG,PKD2,TLR4,CYBA,RIPK1,NEFL,NCF2,COL1A1,STXBP2,SNCA,CRP,NLRP3,PMP22,ATG16L1,IGHMBP2,VCP,CXCL8,NFKB1,GDAP1,HEXA,PRKN,PYGM,ATP7A,HLA-DRB1,IAH1,KIF1B,IL1RN,FIG4,DNM2,HEXB,TP53,PTEN,MAPT,TNFRSF1A,PIK3CA,CCL2,PINK1,XIAP,ABCB1,STAT1,IFIH1,PRNP,FOXP3,NCF4,IL2RA,TRPV4,ACE,INF2,MPO,CD40LG,EGR2,IL4,MYO5B,GJB1,IL37,IL21,BCKDHB,ENG,NOTCH1,TLR2,BCKDHA,PARK7,NLRP12,IL1A,MVK,SCN9A,DBT,SYNJ1,CFTR,ELANE,NDRG1,TTC7A,PTGS2,IL21R,CD40,HLA-B,IL17A,GUCY2D,FLNA,ABCA1,NFKBIA,PSAP,PRF1,COL1A2,CTSD,ADA,IL2,IKBKG,LRP5,GFAP,NPC2,GATA3,TGFBR2,AR,NOS3,CEP290,FAS,TNFAIP3,HSPB1,PLA2G6,PRKAG2,IL18,IRF5,CARD8,PPARG,CBS,MED25,MMP9,HBB,INS,ICAM1,POLG,CTNNB1,PDGFRA,IL13,GYS1,BSCL2,TLR3,CASP8,PFKM,SH2D1A,TNFRSF11B,ASPA,ALB,LAMP2,TTR,LRSAM1,ARPC1B,MTMR2,PSTPIP1,IRGM,ELP1,NFAT5,BDNF,NLRC4,IKBKB,LYST,HMOX1,APC,SOD1,GDNF,CLCN1,PLP1,IL19,PIK3CD,RYR1,COL4A1,UNC13D,F2,VDR,TGFBR1,SPG11,PTPN22,LITAF,IL12B,SMAD4,SERPINA1,GNE,CCR5,SLC19A3,ITGB2,LRBA,HFE,AIRE,WAS,BRAF,MORC2,SLC22A5,WNK1,ZAP70,F5,IL5,APOB,CLN6,SURF1,NOS2,IL7R"
"GO:MF","protein domain specific binding","GO:0019904","false","9.141333669826643e-12","11.038990438490139","655","229","35","20196","NOD2,ADAM17,APP,IL1B,PSEN1,SQSTM1,PKD2,CYBA,RIPK1,NEFL,VCP,PRKN,DNM2,TP53,PTEN,MAPT,PINK1,TRPV4,EGR2,SYNJ1,CFTR,CD40,IKBKG,GATA3,AR,CARD8,PPARG,CTNNB1,CASP8,LAMP2,IRGM,PTPN22,LITAF,WAS,SLC22A5"
"GO:MF","cytokine activity","GO:0005125","false","1.99550432953962e-11","10.699947325613294","239","229","22","20196","IL10,TGFB1,IL6,TNF,IL1B,IFNG,CXCL8,IL1RN,CCL2,CD40LG,IL4,IL37,IL21,IL1A,IL17A,IL2,IL18,IL13,TNFRSF11B,IL19,IL12B,IL5"
"GO:MF","protease binding","GO:0002020","false","2.2048859779522865e-11","10.65661386443946","144","229","18","20196","TNF,VWF,COL1A1,VCP,PRKN,TP53,PTEN,PINK1,PRNP,PARK7,ELANE,PSAP,COL1A2,TNFAIP3,INS,POLG,NLRC4,SERPINA1"
"GO:MF","signaling receptor activator activity","GO:0030546","false","1.0094857106297685e-10","9.995899824158245","518","229","30","20196","IL10,TGFB1,IL6,TNF,APP,EGFR,IL1B,IFNG,CXCL8,IL1RN,CCL2,CD40LG,IL4,IL37,IL21,ENG,IL1A,IL17A,IL2,IL18,INS,IL13,TNFRSF11B,TTR,BDNF,GDNF,IL19,F2,IL12B,IL5"
"GO:MF","growth factor receptor binding","GO:0070851","false","1.4480494958609586e-10","9.839216593241142","138","229","17","20196","IL10,ADAM17,IL6,IL1B,PSEN1,IL23R,IL1RN,IL4,IL37,IL21,IL1A,IL2,GATA3,PDGFRA,GDNF,IL12B,IL5"
"GO:MF","molecular function regulator activity","GO:0098772","false","1.6919502423678298e-10","9.771612413036257","2120","229","63","20196","NOD2,IL10,TGFB1,IL6,TNF,APP,EGFR,IL1B,APOE,LRRK2,IFNG,PKD2,NCF2,SNCA,NLRP3,VCP,CXCL8,IL1RN,TP53,PIK3CA,CCL2,PINK1,XIAP,PRNP,NCF4,TRPV4,CD40LG,IL4,IL37,IL21,ENG,NOTCH1,PARK7,NLRP12,IL1A,CFTR,IL17A,FLNA,NFKBIA,PSAP,IL2,TGFBR2,HSPB1,PRKAG2,IL18,CARD8,INS,IL13,TNFRSF11B,LAMP2,TTR,IRGM,BDNF,NLRC4,APC,GDNF,IL19,F2,IL12B,SERPINA1,WAS,WNK1,IL5"
"GO:MF","signaling receptor regulator activity","GO:0030545","false","5.640182657179352e-10","9.248706831172587","554","229","30","20196","IL10,TGFB1,IL6,TNF,APP,EGFR,IL1B,IFNG,CXCL8,IL1RN,CCL2,CD40LG,IL4,IL37,IL21,ENG,IL1A,IL17A,IL2,IL18,INS,IL13,TNFRSF11B,TTR,BDNF,GDNF,IL19,F2,IL12B,IL5"
"GO:MF","receptor ligand activity","GO:0048018","false","2.666869583229253e-9","8.57399822190621","512","229","28","20196","IL10,TGFB1,IL6,TNF,APP,IL1B,IFNG,CXCL8,IL1RN,CCL2,CD40LG,IL4,IL37,IL21,IL1A,IL17A,IL2,IL18,INS,IL13,TNFRSF11B,TTR,BDNF,GDNF,IL19,F2,IL12B,IL5"
"GO:MF","kinase binding","GO:0019900","false","4.206100430244667e-8","7.376120361754227","790","229","33","20196","NOD2,EGFR,STAT3,SQSTM1,PRKN,TP53,MAPT,PINK1,XIAP,TRPV4,ACE,PARK7,FLNA,GFAP,FAS,TNFAIP3,HSPB1,PRKAG2,IRF5,CTNNB1,PFKM,IRGM,IKBKB,LYST,APC,GDNF,SPG11,PTPN22,ITGB2,LRBA,WAS,BRAF,WNK1"
"GO:MF","ubiquitin-like protein ligase binding","GO:0044389","false","7.022304145997727e-8","7.153520364550533","326","229","21","20196","EGFR,MFN2,SQSTM1,RIPK1,VCP,PRKN,TP53,PINK1,ABCB1,STAT1,EGR2,DBT,CD40,NFKBIA,IKBKG,CBS,CTNNB1,CASP8,APC,TGFBR1,PTPN22"
"GO:MF","carbohydrate derivative binding","GO:0097367","true","1.2291694729906487e-7","6.91038823419205","2286","229","60","20196","NOD2,APP,EGFR,RET,APOE,DYNC1H1,LRRK2,ATP7B,MFN2,GLA,TLR4,RIPK1,AARS1,IGHMBP2,VCP,CXCL8,ATP7A,KIF1B,DNM2,ABCA4,PIK3CA,PINK1,ABCB1,IFIH1,PRNP,TRPV4,MPO,MYO5B,ENG,TLR2,NLRP12,MVK,CFTR,ELANE,GUCY2D,ABCA1,PSAP,IL2,MARS1,TGFBR2,NOS3,PRKAG2,PDGFRA,PFKM,IRGM,NLRC4,IKBKB,PIK3CD,RYR1,F2,TGFBR1,GNE,BRAF,MORC2,SLC22A5,WNK1,ZAP70,APOB,CLN6,NOS2"
"GO:MF","hydrolase activity, acting on glycosyl bonds","GO:0016798","true","1.4240767383113397e-7","6.84646660751994","132","229","14","20196","GAA,AGL,GBE1,GBA1,SMPD1,GLA,TLR4,NAGLU,HEXA,GALC,HEXB,TLR2,GNE,SI"
"GO:MF","ubiquitin protein ligase binding","GO:0031625","false","1.697404168477754e-7","6.770214735619561","308","229","20","20196","EGFR,MFN2,SQSTM1,RIPK1,VCP,PRKN,TP53,PINK1,ABCB1,EGR2,DBT,CD40,NFKBIA,IKBKG,CBS,CTNNB1,CASP8,APC,TGFBR1,PTPN22"
"GO:MF","protein homodimerization activity","GO:0042803","false","4.3537844429193895e-7","6.361133076803437","727","229","30","20196","STAT3,APOE,LRRK2,TERT,GLA,PKD2,RIPK1,STAT1,FOXP3,ENG,PARK7,PTGS2,IL17A,GUCY2D,FLNA,PSAP,IKBKG,HSPB1,CARD8,CBS,PDGFRA,NLRC4,IKBKB,HMOX1,GDNF,CLCN1,SMAD4,MORC2,CLN6,NOS2"
"GO:MF","copper ion binding","GO:0005507","true","6.826127841970574e-7","6.165825582371112","61","229","10","20196","ATP7B,SNCA,ATP7A,TP53,PRNP,PARK7,IL1A,ALB,SOD1,F5"
"GO:MF","protein dimerization activity","GO:0046983","false","0.0000017166314011130733","5.765322947499429","1116","229","37","20196","IL10,STAT3,APOE,LRRK2,CYBB,TERT,GLA,PKD2,TLR4,CYBA,RIPK1,HEXA,TP53,STAT1,FOXP3,ENG,PARK7,PTGS2,IL17A,GUCY2D,FLNA,PSAP,IKBKG,HSPB1,CARD8,CBS,PDGFRA,NLRC4,IKBKB,HMOX1,GDNF,CLCN1,IL12B,SMAD4,MORC2,CLN6,NOS2"
"GO:MF","protein-folding chaperone binding","GO:0051087","false","0.000002045367050402824","5.689228744546405","135","229","13","20196","NOD2,VWF,TERT,SNCA,PRKN,ATP7A,TP53,MAPT,PRNP,CFTR,HLA-B,ALB,SOD1"
"GO:MF","hydrolase activity, hydrolyzing O-glycosyl compounds","GO:0004553","false","0.000003270140867750747","5.4854335388476265","92","229","11","20196","GAA,AGL,GBE1,GBA1,GLA,NAGLU,HEXA,GALC,HEXB,GNE,SI"
"GO:MF","protein kinase binding","GO:0019901","false","0.000003918155974811303","5.406918279507295","706","229","28","20196","NOD2,EGFR,STAT3,SQSTM1,PRKN,TP53,MAPT,PINK1,XIAP,TRPV4,ACE,FLNA,HSPB1,PRKAG2,IRF5,CTNNB1,IRGM,IKBKB,LYST,APC,GDNF,SPG11,PTPN22,ITGB2,LRBA,WAS,BRAF,WNK1"
"GO:MF","cytokine binding","GO:0019955","false","0.000004889984149521347","5.310692548603695","145","229","13","20196","IL10RA,ADAM17,IL23R,IL1RN,TNFRSF1A,IL2RA,ENG,PARK7,ELANE,TGFBR2,TGFBR1,IL12B,CCR5"
"GO:MF","catalytic activity","GO:0003824","false","0.000006438863824189506","5.191190759723599","5751","229","105","20196","ADAM17,GAA,AGL,EGFR,RET,GBE1,PSEN1,GBA1,DYNC1H1,LRRK2,ATP7B,CYBB,TERT,G6PC1,SMPD1,MFN2,GLA,MEFV,TLR4,CYBA,RIPK1,AARS1,NCF2,SNCA,NAGLU,NLRP3,ATG16L1,IGHMBP2,VCP,HEXA,PRKN,PYGM,ATP7A,IAH1,GALC,KIF1B,FIG4,DNM2,HEXB,PTEN,ABCA4,PIK3CA,CCL2,PINK1,XIAP,ABCB1,IFIH1,ACE,MPO,EGR2,BCKDHB,ENG,TLR2,BCKDHA,PARK7,MVK,DBT,MTHFR,SYNJ1,CFTR,ELANE,PTGS2,GUCY2D,ABCA1,CYP27A1,CTSD,ADA,IKBKG,MARS1,TGFBR2,NOS3,TNFAIP3,PLA2G6,PRKAG2,CARD8,LIPA,CBS,MMP9,HBB,POLG,PDGFRA,GYS1,CASP8,PFKM,ASPA,LRSAM1,MTMR2,IRGM,IKBKB,HMOX1,SOD1,PIK3CD,F2,TGFBR1,MMP1,PTPN22,GNE,CCR5,BRAF,MORC2,WNK1,ZAP70,SI,SURF1,NOS2"
"GO:MF","anion binding","GO:0043168","false","0.000011401601059950248","4.943034158954875","2445","229","58","20196","NOD2,EGFR,RET,DYNC1H1,LRRK2,ATP7B,CYBB,G6PC1,MFN2,RIPK1,AARS1,IGHMBP2,VCP,PYGM,ATP7A,KIF1B,DNM2,ABCA4,PIK3CA,PINK1,ABCB1,IFIH1,TRPV4,ACE,MYO5B,NLRP12,MVK,DBT,MTHFR,CFTR,GUCY2D,ABCA1,PSAP,MARS1,TGFBR2,NOS3,PRKAG2,PPARG,CBS,PDGFRA,PFKM,ALB,IRGM,NLRC4,IKBKB,PIK3CD,RYR1,VDR,TGFBR1,SMAD4,GNE,BRAF,MORC2,SLC22A5,WNK1,ZAP70,CLN6,NOS2"
"GO:MF","hydrolase activity","GO:0016787","false","0.00004432719146560358","4.353329784370198","2476","229","57","20196","ADAM17,GAA,AGL,GBE1,PSEN1,GBA1,DYNC1H1,LRRK2,ATP7B,G6PC1,SMPD1,MFN2,GLA,TLR4,AARS1,NAGLU,NLRP3,IGHMBP2,VCP,HEXA,ATP7A,IAH1,GALC,KIF1B,FIG4,DNM2,HEXB,PTEN,ABCA4,ABCB1,IFIH1,ACE,TLR2,PARK7,SYNJ1,CFTR,ELANE,ABCA1,CTSD,ADA,TNFAIP3,PLA2G6,CARD8,LIPA,MMP9,POLG,CASP8,ASPA,MTMR2,IRGM,F2,MMP1,PTPN22,GNE,CCR5,MORC2,SI"
"GO:MF","molecular transducer activity","GO:0060089","false","0.000044763315599352856","4.349077752948564","1492","229","41","20196","NOD2,IL10RA,IL10RB,PKHD1,NPC1,EGFR,STAT3,RET,IL23R,SQSTM1,TLR4,HLA-DRB1,TNFRSF1A,IFIH1,PRNP,IL2RA,TRPV4,ENG,NOTCH1,TLR2,IL21R,CD40,GUCY2D,ABCA1,LRP5,TGFBR2,AR,FAS,CARD8,PPARG,ICAM1,PDGFRA,TLR3,TNFRSF11B,F2,VDR,TGFBR1,IL12B,CCR5,ITGB2,IL7R"
"GO:MF","signaling receptor activity","GO:0038023","true","0.000044763315599352856","4.349077752948564","1492","229","41","20196","NOD2,IL10RA,IL10RB,PKHD1,NPC1,EGFR,STAT3,RET,IL23R,SQSTM1,TLR4,HLA-DRB1,TNFRSF1A,IFIH1,PRNP,IL2RA,TRPV4,ENG,NOTCH1,TLR2,IL21R,CD40,GUCY2D,ABCA1,LRP5,TGFBR2,AR,FAS,CARD8,PPARG,ICAM1,PDGFRA,TLR3,TNFRSF11B,F2,VDR,TGFBR1,IL12B,CCR5,ITGB2,IL7R"
"GO:MF","adenyl nucleotide binding","GO:0030554","false","0.00007163443698193707","4.144878148142045","1636","229","43","20196","NOD2,EGFR,RET,DYNC1H1,LRRK2,ATP7B,RIPK1,AARS1,IGHMBP2,VCP,ATP7A,KIF1B,ABCA4,PIK3CA,PINK1,ABCB1,IFIH1,TRPV4,MYO5B,NLRP12,MVK,MTHFR,CFTR,GUCY2D,ABCA1,MARS1,TGFBR2,NOS3,PRKAG2,PDGFRA,PFKM,NLRC4,IKBKB,PIK3CD,RYR1,TGFBR1,GNE,BRAF,MORC2,SLC22A5,WNK1,ZAP70,NOS2"
"GO:MF","ATP binding","GO:0005524","false","0.00014958561649527428","3.825110164339538","1502","229","40","20196","NOD2,EGFR,RET,DYNC1H1,LRRK2,ATP7B,RIPK1,AARS1,IGHMBP2,VCP,ATP7A,KIF1B,ABCA4,PIK3CA,PINK1,ABCB1,IFIH1,TRPV4,MYO5B,NLRP12,MVK,CFTR,GUCY2D,ABCA1,MARS1,TGFBR2,PRKAG2,PDGFRA,PFKM,NLRC4,IKBKB,PIK3CD,RYR1,TGFBR1,GNE,BRAF,MORC2,SLC22A5,WNK1,ZAP70"
"GO:MF","growth factor binding","GO:0019838","false","0.00017772358315652103","3.750254939357468","135","229","11","20196","IL10RA,EGFR,COL1A1,IL1RN,IL2RA,ENG,COL1A2,TGFBR2,PDGFRA,COL4A1,TGFBR1"
