"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","signaling receptor binding","GO:0005102","true","9.093832476598667e-19","18.04125305047827","1499","142","50","20196","IL10,TGFB1,ADAM17,IL6,TNF,APP,EGFR,VWF,STAT3,IL1B,APOE,PSEN1,GBA1,LRRK2,IL23R,SQSTM1,GLA,IFNG,PKD2,TLR4,RIPK1,CRP,VCP,CXCL8,PRKN,HLA-DRB1,IL1RN,TP53,CCL2,STAT1,PRNP,ACE,CD40LG,IL4,IL37,IL21,ENG,NOTCH1,TLR2,PARK7,IL1A,HLA-B,IL17A,FLNA,ABCA1,IL2,IKBKG,GFAP,GATA3,TGFBR2"
"GO:MF","cytokine receptor binding","GO:0005126","false","2.3637557141358064e-14","13.626397408283488","276","142","22","20196","IL10,TGFB1,ADAM17,IL6,TNF,IL1B,IL23R,IFNG,RIPK1,CXCL8,IL1RN,CCL2,STAT1,CD40LG,IL4,IL37,IL21,ENG,IL1A,IL2,GATA3,TGFBR2"
"GO:MF","identical protein binding","GO:0042802","true","3.7950421209213137e-14","13.420783399536042","2166","142","53","20196","TGFB1,TNF,APP,LMNA,EGFR,VWF,STAT3,APOE,LRRK2,TERT,SQSTM1,GLA,MEFV,PKD2,TLR4,RIPK1,NEFL,COL1A1,SNCA,CRP,ATG16L1,IGHMBP2,VCP,NFKB1,PRKN,IAH1,HEXB,TP53,PTEN,MAPT,XIAP,STAT1,IFIH1,PRNP,FOXP3,TRPV4,GJB1,ENG,NOTCH1,TLR2,PARK7,MVK,PTGS2,IL17A,GUCY2D,FLNA,NFKBIA,PSAP,PRF1,COL1A2,IKBKG,GFAP,GATA3"
"GO:MF","enzyme binding","GO:0019899","false","5.716547910006784e-14","13.24286615236381","2105","142","52","20196","NOD2,TGFB1,TNF,APP,EGFR,VWF,STAT3,APOE,PSEN1,LRRK2,MFN2,SQSTM1,PKD2,RIPK1,NEFL,NCF2,COL1A1,ATG16L1,VCP,PRKN,ATP7A,DNM2,TP53,PTEN,MAPT,PINK1,XIAP,ABCB1,STAT1,PRNP,FOXP3,TRPV4,ACE,INF2,EGR2,MYO5B,NOTCH1,PARK7,DBT,CFTR,ELANE,NDRG1,PTGS2,CD40,FLNA,ABCA1,NFKBIA,PSAP,COL1A2,IKBKG,GFAP,NPC2"
"GO:MF","protein-containing complex binding","GO:0044877","true","5.2257602668457546e-11","10.281850517527586","1279","142","37","20196","NOD2,TGFB1,ADAM17,EGFR,VWF,IL1B,APOE,LRRK2,SQSTM1,RIPK1,NEFL,SNCA,CRP,IGHMBP2,VCP,PRKN,HLA-DRB1,TP53,PTEN,MAPT,PINK1,IFIH1,PRNP,TRPV4,CD40LG,MYO5B,BCKDHB,ENG,TLR2,PARK7,MTHFR,CFTR,GUCY2D,FLNA,ABCA1,GFAP,TGFBR2"
"GO:MF","molecular function activator activity","GO:0140677","false","2.35231166902247e-10","9.628505137030741","1132","142","34","20196","NOD2,IL10,TGFB1,IL6,TNF,APP,EGFR,IL1B,APOE,LRRK2,IFNG,NCF2,VCP,CXCL8,IL1RN,TP53,PIK3CA,CCL2,PINK1,PRNP,NCF4,CD40LG,IL4,IL37,IL21,ENG,NOTCH1,PARK7,NLRP12,IL1A,IL17A,PSAP,IL2,TGFBR2"
"GO:MF","cytokine activity","GO:0005125","false","8.868742629042e-9","8.052137948147594","239","142","16","20196","IL10,TGFB1,IL6,TNF,IL1B,IFNG,CXCL8,IL1RN,CCL2,CD40LG,IL4,IL37,IL21,IL1A,IL17A,IL2"
"GO:MF","growth factor receptor binding","GO:0070851","false","1.1225617138231473e-8","7.949789773945035","138","142","13","20196","IL10,ADAM17,IL6,IL1B,PSEN1,IL23R,IL1RN,IL4,IL37,IL21,IL1A,IL2,GATA3"
"GO:MF","protease binding","GO:0002020","false","1.9312189787099366e-8","7.714168479274222","144","142","13","20196","TNF,VWF,COL1A1,VCP,PRKN,TP53,PTEN,PINK1,PRNP,PARK7,ELANE,PSAP,COL1A2"
"GO:MF","protein domain specific binding","GO:0019904","false","2.1143276350525194e-8","7.674827713778725","655","142","24","20196","NOD2,ADAM17,APP,IL1B,PSEN1,SQSTM1,PKD2,CYBA,RIPK1,NEFL,VCP,PRKN,DNM2,TP53,PTEN,MAPT,PINK1,TRPV4,EGR2,SYNJ1,CFTR,CD40,IKBKG,GATA3"
"GO:MF","hydrolase activity, acting on glycosyl bonds","GO:0016798","true","1.060910706223197e-7","6.974321167867254","132","142","12","20196","GAA,AGL,GBE1,GBA1,SMPD1,GLA,TLR4,NAGLU,HEXA,GALC,HEXB,TLR2"
"GO:MF","molecular function regulator activity","GO:0098772","false","1.8640554220930583e-7","6.729541179347183","2120","142","42","20196","NOD2,IL10,TGFB1,IL6,TNF,APP,EGFR,IL1B,APOE,LRRK2,IFNG,PKD2,NCF2,SNCA,NLRP3,VCP,CXCL8,IL1RN,TP53,PIK3CA,CCL2,PINK1,XIAP,PRNP,NCF4,TRPV4,CD40LG,IL4,IL37,IL21,ENG,NOTCH1,PARK7,NLRP12,IL1A,CFTR,IL17A,FLNA,NFKBIA,PSAP,IL2,TGFBR2"
"GO:MF","protein-folding chaperone binding","GO:0051087","false","0.0000020464189512831303","5.689005450973524","135","142","11","20196","NOD2,VWF,TERT,SNCA,PRKN,ATP7A,TP53,MAPT,PRNP,CFTR,HLA-B"
"GO:MF","signaling receptor activator activity","GO:0030546","false","0.0000028774840573408135","5.5409870738938585","518","142","19","20196","IL10,TGFB1,IL6,TNF,APP,EGFR,IL1B,IFNG,CXCL8,IL1RN,CCL2,CD40LG,IL4,IL37,IL21,ENG,IL1A,IL17A,IL2"
"GO:MF","ubiquitin-like protein ligase binding","GO:0044389","true","0.000007054583122044781","5.151528645005993","326","142","15","20196","EGFR,MFN2,SQSTM1,RIPK1,VCP,PRKN,TP53,PINK1,ABCB1,STAT1,EGR2,DBT,CD40,NFKBIA,IKBKG"
"GO:MF","signaling receptor regulator activity","GO:0030545","false","0.000008525784437430886","5.069265652080366","554","142","19","20196","IL10,TGFB1,IL6,TNF,APP,EGFR,IL1B,IFNG,CXCL8,IL1RN,CCL2,CD40LG,IL4,IL37,IL21,ENG,IL1A,IL17A,IL2"
"GO:MF","hydrolase activity, hydrolyzing O-glycosyl compounds","GO:0004553","false","0.000011801364115394578","4.928067789850826","92","142","9","20196","GAA,AGL,GBE1,GBA1,GLA,NAGLU,HEXA,GALC,HEXB"
"GO:MF","carbohydrate derivative binding","GO:0097367","true","0.00002018553634438038","4.694959706580137","2286","142","40","20196","NOD2,APP,EGFR,RET,APOE,DYNC1H1,LRRK2,ATP7B,MFN2,GLA,TLR4,RIPK1,AARS1,IGHMBP2,VCP,CXCL8,ATP7A,KIF1B,DNM2,ABCA4,PIK3CA,PINK1,ABCB1,IFIH1,PRNP,TRPV4,MPO,MYO5B,ENG,TLR2,NLRP12,MVK,CFTR,ELANE,GUCY2D,ABCA1,PSAP,IL2,MARS1,TGFBR2"
"GO:MF","ubiquitin protein ligase binding","GO:0031625","false","0.00002614474720423385","4.582615553044005","308","142","14","20196","EGFR,MFN2,SQSTM1,RIPK1,VCP,PRKN,TP53,PINK1,ABCB1,EGR2,DBT,CD40,NFKBIA,IKBKG"
"GO:MF","protein binding","GO:0005515","false","0.000041526434697177934","4.38167535417328","14865","142","130","20196","NOD2,IL10RA,IL10RB,IL10,PKHD1,IFNAR2-IL10RB,TGFB1,ADAM17,IL6,TNF,AGL,NPC1,APP,LMNA,EGFR,VWF,STAT3,IL1B,RET,APOE,GBE1,PSEN1,GBA1,DYNC1H1,LRRK2,ATP7B,CYBB,TERT,IL23R,G6PC1,SMPD1,MFN2,SQSTM1,GLA,MEFV,SH3TC2,CTLA4,IFNG,PKD2,TLR4,CYBA,RIPK1,NEFL,NCF2,COL1A1,STXBP2,SNCA,CRP,NLRP3,PMP22,ATG16L1,IGHMBP2,VCP,CXCL8,NFKB1,GDAP1,HEXA,PRKN,PYGM,ATP7A,HLA-DRB1,IAH1,KIF1B,IL1RN,FIG4,DNM2,HEXB,TP53,PTEN,MAPT,TNFRSF1A,PIK3CA,CCL2,PINK1,XIAP,ABCB1,STAT1,IFIH1,PRNP,FOXP3,NCF4,IL2RA,TRPV4,ACE,INF2,MPO,CD40LG,EGR2,IL4,MYO5B,GJB1,IL37,IL21,BCKDHB,ENG,NOTCH1,TLR2,BCKDHA,PARK7,NLRP12,IL1A,MVK,SCN9A,DBT,SYNJ1,CFTR,ELANE,NDRG1,TTC7A,PTGS2,IL21R,CD40,HLA-B,IL17A,GUCY2D,FLNA,ABCA1,NFKBIA,PSAP,PRF1,COL1A2,CTSD,ADA,IL2,IKBKG,LRP5,GFAP,NPC2,GATA3,TGFBR2"
"GO:MF","cytokine binding","GO:0019955","true","0.00005403983600806729","4.267285977579309","145","142","10","20196","IL10RA,ADAM17,IL23R,IL1RN,TNFRSF1A,IL2RA,ENG,PARK7,ELANE,TGFBR2"
"GO:MF","catalytic activity","GO:0003824","false","0.00008090973374697615","4.091999227975998","5751","142","70","20196","ADAM17,GAA,AGL,EGFR,RET,GBE1,PSEN1,GBA1,DYNC1H1,LRRK2,ATP7B,CYBB,TERT,G6PC1,SMPD1,MFN2,GLA,MEFV,TLR4,CYBA,RIPK1,AARS1,NCF2,SNCA,NAGLU,NLRP3,ATG16L1,IGHMBP2,VCP,HEXA,PRKN,PYGM,ATP7A,IAH1,GALC,KIF1B,FIG4,DNM2,HEXB,PTEN,ABCA4,PIK3CA,CCL2,PINK1,XIAP,ABCB1,IFIH1,ACE,MPO,EGR2,BCKDHB,ENG,TLR2,BCKDHA,PARK7,MVK,DBT,MTHFR,SYNJ1,CFTR,ELANE,PTGS2,GUCY2D,ABCA1,CYP27A1,CTSD,ADA,IKBKG,MARS1,TGFBR2"
"GO:MF","receptor ligand activity","GO:0048018","false","0.0000841543822655307","4.074923263595658","512","142","17","20196","IL10,TGFB1,IL6,TNF,APP,IL1B,IFNG,CXCL8,IL1RN,CCL2,CD40LG,IL4,IL37,IL21,IL1A,IL17A,IL2"
"GO:MF","cuprous ion binding","GO:1903136","true","0.00010988581995043534","3.959058346835903","8","142","4","20196","SNCA,ATP7A,PRNP,PARK7"
"GO:MF","copper ion binding","GO:0005507","false","0.00015935113295757224","3.7976448444244957","61","142","7","20196","ATP7B,SNCA,ATP7A,TP53,PRNP,PARK7,IL1A"
