"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","enzyme binding","GO:0019899","true","1.1457055289925328e-15","14.940926991065915","2105","128","51","20196","EGR2,NOTCH1,PRKCZ,CTBP2,RPS3,PLCG2,GADD45A,IRGM,DVL1,STAT3,MED1,PPP3CA,HMOX1,LRRK2,CD40,CD74,CEBPA,IRS1,UBE2D1,MAP3K7,CYRIB,NOD2,CRKL,ATF4,DENND1B,MACROH2A1,USP25,MAPKAPK2,ARHGEF2,HYAL2,PARK7,CFTR,RICTOR,SYK,RUVBL2,SOCS1,SP100,TFEB,HDAC3,TNFAIP3,PRKDC,SMAD7,ITGB2,PRKCB,CIB1,KIF14,JAK2,PTPN2,INS,NFATC2,FOXO1"
"GO:MF","transcription factor binding","GO:0008134","true","3.68189338776415e-14","13.433928791002039","600","128","28","20196","EGR2,CTBP2,VDR,ETS1,RPS3,STAT3,MED1,NCOA1,CEBPA,MAP3K7,CRKL,ATF4,EZH2,NR5A2,CREM,PARK7,PAX2,RUVBL2,BCL6,NKX2-5,STK4,SP100,NEUROD1,HDAC3,PRKDC,PRKCB,HHEX,PTPN2"
"GO:MF","DNA-binding transcription factor binding","GO:0140297","false","2.706887849727195e-12","11.567529737304334","490","128","24","20196","EGR2,CTBP2,VDR,ETS1,RPS3,STAT3,MED1,NCOA1,CEBPA,MAP3K7,CRKL,ATF4,CREM,PARK7,BCL6,NKX2-5,STK4,SP100,NEUROD1,HDAC3,PRKDC,PRKCB,HHEX,PTPN2"
"GO:MF","protein binding","GO:0005515","false","4.123348857552535e-12","11.384749919988671","14865","128","126","20196","MTPAP,ZFP36L2,EGR2,NOTCH1,PRKCZ,CTBP2,VDR,PDCD4,ETS1,PRPF19,RPS3,PLCG2,GADD45A,IFNG,ZEB2,KLF3,IRGM,PRKAA1,TYK2,DVL1,ZMIZ1,WNT4,UCN,STAT3,MED1,IL18R1,PPP3CA,NCOA1,RIOK2,HMOX1,FIGNL1,IL2,LRRK2,ITGB8,CD40,IRF8,RASL11A,DTNBP1,MAP2K5,CD74,CEBPA,FCGR2B,IRS1,UBE2D1,MAP3K7,CYRIB,CADM1,STK11,NOD2,IRF1,CRKL,OLIG1,SLC11A1,ATF4,EZH2,DENND1B,MACROH2A1,GNAS,NR5A2,USP25,HMGN1,NUPR1,CCT5,MAPKAPK2,CCL3,ARHGEF2,HYAL2,CREM,TSC22D1,PARK7,RPF2,CFTR,RICTOR,BMP2,LAMB1,PAX2,SLAMF1,PASK,SYK,RORC,FGFR4,TFG,RUVBL2,SOCS1,BCL6,IL12B,NKX2-5,LIF,IRF6,STK4,GATA5,HCK,ATXN2,SFTPD,ZNF596,SP100,TFEB,NEUROD1,GIGYF2,HDAC3,TNFAIP3,HLA-DRB1,PRKDC,SOX4,SMAD7,ITGB2,PRKCB,CIB1,TNFSF4,KIF14,JAK2,COMMD1,STK25,ATG5,HHEX,TNFRSF1A,MAD1L1,FLRT2,TNFSF11,PTPN2,INS,NFATC2,FOSL2,SMURF1,FOXO1,UBAC2"
"GO:MF","signaling receptor binding","GO:0005102","true","2.476862218002029e-11","10.606098151519014","1499","128","38","20196","NOTCH1,IFNG,TYK2,DVL1,WNT4,UCN,STAT3,MED1,IL2,LRRK2,ITGB8,CD74,IRS1,MAP3K7,CYRIB,CADM1,CRKL,GNAS,CCL3,HYAL2,PARK7,BMP2,SYK,SOCS1,IL12B,LIF,HCK,ATXN2,HLA-DRB1,SMAD7,ITGB2,TNFSF4,JAK2,FLRT2,TNFSF11,PTPN2,INS,SMURF1"
"GO:MF","kinase binding","GO:0019900","false","3.730741778890237e-11","10.428204809357451","790","128","28","20196","PRKCZ,CTBP2,RPS3,PLCG2,GADD45A,IRGM,DVL1,STAT3,CEBPA,IRS1,MAP3K7,NOD2,CRKL,ATF4,MACROH2A1,MAPKAPK2,HYAL2,PARK7,RICTOR,SYK,SOCS1,SP100,TNFAIP3,ITGB2,PRKCB,KIF14,JAK2,PTPN2"
"GO:MF","transcription regulator activity","GO:0140110","true","2.3835424212460175e-10","9.622777114284824","1962","128","42","20196","EGR2,NOTCH1,CTBP2,VDR,ETS1,ZEB2,KLF3,ZMIZ1,WNT4,STAT3,MED1,NCOA1,IRF8,CEBPA,IRF1,OLIG1,ATF4,EZH2,NR5A2,NUPR1,HYAL2,CREM,PARK7,PAX2,RORC,RUVBL2,BCL6,NKX2-5,IRF6,GATA5,ZNF596,SP100,TFEB,NEUROD1,HDAC3,SOX4,SMAD7,PRKCB,HHEX,NFATC2,FOSL2,FOXO1"
"GO:MF","chromatin binding","GO:0003682","false","2.4778419576835946e-10","9.605926397352523","603","128","24","20196","EGR2,NOTCH1,CTBP2,GADD45A,PRKAA1,STAT3,MED1,NCOA1,CEBPA,ATF4,EZH2,MACROH2A1,NR5A2,HMGN1,NUPR1,RUVBL2,BCL6,NKX2-5,NEUROD1,HDAC3,PRKCB,NFATC2,FOSL2,FOXO1"
"GO:MF","RNA polymerase II-specific DNA-binding transcription factor binding","GO:0061629","false","3.533740106148486e-10","9.451765394448977","348","128","19","20196","EGR2,CTBP2,VDR,ETS1,STAT3,MED1,NCOA1,CEBPA,CRKL,ATF4,PARK7,NKX2-5,STK4,SP100,NEUROD1,HDAC3,PRKDC,PRKCB,PTPN2"
"GO:MF","RNA polymerase II transcription regulatory region sequence-specific DNA binding","GO:0000977","false","9.466406157398558e-9","8.023814866006536","1386","128","33","20196","EGR2,VDR,ETS1,RPS3,ZEB2,KLF3,STAT3,MED1,NCOA1,IRF8,CEBPA,IRF1,OLIG1,ATF4,EZH2,MACROH2A1,NR5A2,CREM,PAX2,RORC,RUVBL2,BCL6,NKX2-5,IRF6,GATA5,ZNF596,TFEB,NEUROD1,SOX4,HHEX,NFATC2,FOSL2,FOXO1"
