GO_Slim_ID,GO_Slim_Name,Frequency
GO:0002376,immune system process,38
GO:0030154,cell differentiation,17
GO:0006355,regulation of DNA-templated transcription,6
GO:0048856,anatomical structure development,5
GO:0006913,nucleocytoplasmic transport,3
GO:0006954,inflammatory response,3
GO:0098542,defense response to other organism,3
GO:0007155,cell adhesion,3
GO:0012501,programmed cell death,2
GO:0048870,cell motility,2
GO:0006351,DNA-templated transcription,2
GO:0006914,autophagy,1
GO:0048018,receptor ligand activity,1
GO:0006886,intracellular protein transport,1
GO:0023052,signaling,1
