GO_Slim_ID,GO_Slim_Name,Frequency
GO:0002376,immune system process,21
GO:0030154,cell differentiation,6
GO:0060089,molecular transducer activity,5
GO:0098542,defense response to other organism,3
GO:0012501,programmed cell death,2
GO:0048870,cell motility,2
GO:0006954,inflammatory response,2
GO:0006913,nucleocytoplasmic transport,2
GO:0048856,anatomical structure development,2
GO:0030163,protein catabolic process,1
GO:0006914,autophagy,1
GO:0005829,cytosol,1
GO:0007155,cell adhesion,1
GO:0006355,regulation of DNA-templated transcription,1
GO:0023052,signaling,1
