"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","protein binding","GO:0005515","true","0.011502931037556369","1.939191483885826","14865","154","135","20196","GPC5,PEPD,HAUS6,KCNJ5,ZNF664,ABCC9,AKAP3,KLHL20,RCL1,DNA2,USP6NL,TCF7L2,P2RY1,DMAC2,DNAJC17,HNF1A,CENPW,INTS8,PSMA1,RNF32,MTAP,EYA1,BCL2,PDGFC,H1-7,CDKN2C,PEAK1,SPRED1,PDZRN3,ATP2B4,CDKN2B,SLC38A11,RPL15,PHKA2,PLD1,TBATA,DLK1,FAM241B,ERO1B,TACR2,MYC,TLE4,RPLP0,CCN5,WFS1,SYN2,BUB1B,IFT52,SDC4,WNT6,G3BP2,BORCS5,IRS1,NAP1L4,LSP1,MRAS,SLC22A18,PLEKHA1,SERINC3,SETD9,CEP68,WIF1,CMIP,NPC1L1,ACACA,DYRK4,TCF7,USP49,CDK8,ZNF236,TNNT3,SNX11,AARD,NRDE2,BEND3,PABPC4,TFAP2B,GPSM1,CYB5D2,TSPAN15,TIGAR,KLC3,MSX1,MAP3K1,SLC12A8,MKRN2,PEX6,BEND7,CEP295,TSHZ3,ITGA2,DUSP9,ANK1,LTO1,ARHGEF18,IFT80,PELO,GNAS,EYA2,CCDC47,BEGAIN,WWTR1,LONRF1,EIF3M,DMRT2,WDR3,SLC22A3,CBFA2T2,SST,CHMP4B,OCIAD1,OTULINL,BBIP1,THEMIS,EVI5L,DGKQ,KDM2B,TBL1X,SOCS7,ACTA1,NUP42,IL17RB,CCND2,GOLGA3,NUDT12,PROX1,FTO,MYO5C,USP36,JAZF1,SPRYD7,RIOK1,FCMR,PEX7,TRA2B"
"GO:BP","localization","GO:0051179","true","0.03286760884035529","1.4832318902357784","5521","150","63","21017","GPC5,KCNJ5,ABCC9,AKAP3,KLHL20,USP6NL,TCF7L2,P2RY1,HNF1A,BCL2,ATP2B4,SLC38A11,P2RY12,PLD1,TACR2,WFS1,SYN2,BUB1B,IFT52,SDC4,STEAP2,G3BP2,BORCS5,IRS1,OSBPL5,SLC22A18,PLEKHA1,SERINC3,CEP68,NPC1L1,KCNK17,SNX11,NRDE2,TFAP2B,GPSM1,TSPAN15,KLC3,MSX1,SLC12A8,PEX6,CEP295,ITGA2,ANK1,ARHGEF18,IFT80,GNAS,EYA2,CCDC47,WWTR1,SLC22A3,CHMP4B,OCIAD1,ANKH,BBIP1,DGKQ,SLC25A26,NUP42,ABCC10,FTO,MYO5C,USP36,FCMR,PEX7"
"GO:CC","beta-catenin-TCF complex","GO:1990907","true","0.0315852975051142","1.5005150280866646","13","156","3","22115","TCF7L2,TLE4,TCF7"
"GO:CC","cytosol","GO:0005829","true","0.04154125073886503","1.3815204317101628","5513","156","60","22115","DGKB,HAUS6,KLHL20,USP6NL,PSMA1,RNF32,MTAP,BCL2,PDGFC,CDKN2C,PEAK1,SPRED1,CDKN2B,RPL15,PHKA2,TBATA,RPLP0,BUB1B,STEAP2,G3BP2,IRS1,OSBPL5,PLEKHA1,CEP68,CMIP,ACACA,TNNT3,PABPC4,GPSM1,FAM13A,TSPAN15,TIGAR,HELB,MAP3K1,PEX6,CEP295,DUSP9,ANK1,ARHGEF18,PELO,GNAS,EYA2,CCDC47,WWTR1,LONRF1,EIF3M,CHMP4B,BBIP1,DGKQ,SOCS7,ACTA1,NUP42,CCND2,GOLGA3,PROX1,FTO,USP36,JAZF1,RIOK1,PEX7"
"KEGG","Wnt signaling pathway","KEGG:04310","false","0.013580977932242068","1.8670689564704754","174","76","8","8484","TCF7L2,MYC,TLE4,WNT6,WIF1,TCF7,TBL1X,CCND2"
"REAC","Binding of TCF/LEF:CTNNB1 to target gene promoters","REAC:R-HSA-4411364","false","0.017345978042437052","1.7608012077009423","8","101","3","10916","TCF7L2,MYC,TCF7"
"REAC","RUNX3 regulates WNT signaling","REAC:R-HSA-8951430","false","0.017345978042437052","1.7608012077009423","8","101","3","10916","TCF7L2,MYC,TCF7"
"WP","DNA damage response only ATM dependent ","WP:WP710","false","0.0008238704213196382","3.084141088947451","109","77","8","8722","TCF7L2,BCL2,MYC,WNT6,IRS1,TCF7,MAP3K1,CCND2"
"WP","lncRNA in canonical Wnt signaling and colorectal cancer","WP:WP4258","false","0.003755169994582802","2.4253703979306067","97","77","7","8722","TCF7L2,MYC,WNT6,WIF1,TCF7,CDK8,CCND2"
"WP","ncRNAs in Wnt signaling in hepatocellular carcinoma","WP:WP4336","false","0.020670423670561305","1.6846506217809722","88","77","6","8722","TCF7L2,MYC,WNT6,WIF1,TCF7,CCND2"
