GO_Slim_ID,GO_Slim_Name,Frequency
GO:0048856,anatomical structure development,124
GO:0030154,cell differentiation,51
GO:0002376,immune system process,41
GO:0055086,nucleobase-containing small molecule metabolic process,30
GO:0005215,transporter activity,22
GO:0055085,transmembrane transport,21
GO:0006629,lipid metabolic process,19
GO:1901135,carbohydrate derivative metabolic process,15
GO:0005975,carbohydrate metabolic process,15
GO:0022414,reproductive process,15
GO:0012501,programmed cell death,13
GO:0016740,transferase activity,12
GO:0043226,organelle,12
GO:0098772,molecular function regulator activity,11
GO:0006355,regulation of DNA-templated transcription,10
GO:0048870,cell motility,10
GO:0031410,cytoplasmic vesicle,9
GO:0003013,circulatory system process,9
GO:0140096,"catalytic activity, acting on a protein",8
GO:0007155,cell adhesion,7
GO:0050877,nervous system process,7
GO:0023052,signaling,7
GO:0006091,generation of precursor metabolites and energy,6
GO:0060089,molecular transducer activity,6
GO:0034330,cell junction organization,5
GO:0006954,inflammatory response,5
GO:0003012,muscle system process,5
GO:0030163,protein catabolic process,4
GO:0048018,receptor ligand activity,4
GO:0016192,vesicle-mediated transport,4
GO:0022600,digestive system process,4
GO:0007018,microtubule-based movement,3
GO:0050886,endocrine process,3
GO:0031012,extracellular matrix,3
GO:0016787,hydrolase activity,3
GO:0061024,membrane organization,3
GO:0006913,nucleocytoplasmic transport,3
GO:0005768,endosome,3
GO:0007005,mitochondrion organization,3
GO:0007010,cytoskeleton organization,3
GO:0006351,DNA-templated transcription,3
GO:0005886,plasma membrane,2
GO:0005764,lysosome,2
GO:0006886,intracellular protein transport,2
GO:0005773,vacuole,2
GO:0005198,structural molecule activity,2
GO:0005783,endoplasmic reticulum,2
GO:0008289,lipid binding,2
GO:0030198,extracellular matrix organization,2
GO:0005794,Golgi apparatus,1
GO:0003014,renal system process,1
GO:0042060,wound healing,1
GO:0003824,catalytic activity,1
GO:0005829,cytosol,1
GO:0098542,defense response to other organism,1
GO:0006790,sulfur compound metabolic process,1
GO:0005576,extracellular region,1
GO:0006914,autophagy,1
GO:0030312,external encapsulating structure,1
GO:0008092,cytoskeletal protein binding,1
GO:0005615,extracellular space,1
GO:0000278,mitotic cell cycle,1
