"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","ATP binding","GO:0005524","9.022794735778412e-23","22.044658922509626","1502","149","56","20196","ATM,CHEK2,BRIP1,MSH6,MSH2,MLH1,PMS2,ERBB2,MET,EGFR,PIK3CA,AKT1,RAD51D,RET,RAD51C,STK11,BRAF,RAD50,FGFR2,KIT,FGFR3,RAD51,CDK4,FGFR1,SMARCA4,MSH3,TGFBR2,BLM,SRC,RAD54L,ERBB3,DICER1,NTRK1,ERCC2,BMPR1A,ERBB4,FANCM,ALK,ABCC1,XRCC3,ATR,PMS1,MTOR,CHEK1,NTRK3,RAD51B,CDK2,CDK12,MAP2K1,PDGFRA,RECQL4,XRCC2,MAP3K1,NTRK2,PRKDC,BUB1B"
"GO:MF","adenyl ribonucleotide binding","GO:0032559","3.4313354401599317e-22","21.464536824150308","1543","149","56","20196","ATM,CHEK2,BRIP1,MSH6,MSH2,MLH1,PMS2,ERBB2,MET,EGFR,PIK3CA,AKT1,RAD51D,RET,RAD51C,STK11,BRAF,RAD50,FGFR2,KIT,FGFR3,RAD51,CDK4,FGFR1,SMARCA4,MSH3,TGFBR2,BLM,SRC,RAD54L,ERBB3,DICER1,NTRK1,ERCC2,BMPR1A,ERBB4,FANCM,ALK,ABCC1,XRCC3,ATR,PMS1,MTOR,CHEK1,NTRK3,RAD51B,CDK2,CDK12,MAP2K1,PDGFRA,RECQL4,XRCC2,MAP3K1,NTRK2,PRKDC,BUB1B"
"GO:MF","protein kinase activity","GO:0004672","2.144495860622368e-21","20.668674787713833","586","149","37","20196","ATM,CHEK2,ERBB2,MET,EGFR,PIK3CA,AKT1,RET,STK11,BRAF,CCND1,FGFR2,KIT,FGFR3,CDK4,FGFR1,TGFBR2,SRC,PPM1D,ERBB3,NTRK1,BMPR1A,ERBB4,ALK,ATR,MTOR,CDKN1A,CHEK1,NTRK3,CDK2,CDK12,MAP2K1,PDGFRA,MAP3K1,NTRK2,PRKDC,BUB1B"
"GO:MF","adenyl nucleotide binding","GO:0030554","6.11082673169661e-21","20.21390003022795","1636","149","56","20196","ATM,CHEK2,BRIP1,MSH6,MSH2,MLH1,PMS2,ERBB2,MET,EGFR,PIK3CA,AKT1,RAD51D,RET,RAD51C,STK11,BRAF,RAD50,FGFR2,KIT,FGFR3,RAD51,CDK4,FGFR1,SMARCA4,MSH3,TGFBR2,BLM,SRC,RAD54L,ERBB3,DICER1,NTRK1,ERCC2,BMPR1A,ERBB4,FANCM,ALK,ABCC1,XRCC3,ATR,PMS1,MTOR,CHEK1,NTRK3,RAD51B,CDK2,CDK12,MAP2K1,PDGFRA,RECQL4,XRCC2,MAP3K1,NTRK2,PRKDC,BUB1B"
"GO:MF","purine ribonucleoside triphosphate binding","GO:0035639","9.122210447361579e-21","20.039899912902623","1852","149","59","20196","ATM,CHEK2,BRIP1,MSH6,MSH2,MLH1,PMS2,ERBB2,MET,EGFR,PIK3CA,KRAS,AKT1,RAD51D,RET,RAD51C,STK11,BRAF,RAD50,HRAS,FGFR2,KIT,FGFR3,RAD51,CDK4,FGFR1,NRAS,SMARCA4,MSH3,TGFBR2,BLM,SRC,RAD54L,ERBB3,DICER1,NTRK1,ERCC2,BMPR1A,ERBB4,FANCM,ALK,ABCC1,XRCC3,ATR,PMS1,MTOR,CHEK1,NTRK3,RAD51B,CDK2,CDK12,MAP2K1,PDGFRA,RECQL4,XRCC2,MAP3K1,NTRK2,PRKDC,BUB1B"
"GO:MF","purine ribonucleotide binding","GO:0032555","3.266071988317653e-20","19.485974247099485","1899","149","59","20196","ATM,CHEK2,BRIP1,MSH6,MSH2,MLH1,PMS2,ERBB2,MET,EGFR,PIK3CA,KRAS,AKT1,RAD51D,RET,RAD51C,STK11,BRAF,RAD50,HRAS,FGFR2,KIT,FGFR3,RAD51,CDK4,FGFR1,NRAS,SMARCA4,MSH3,TGFBR2,BLM,SRC,RAD54L,ERBB3,DICER1,NTRK1,ERCC2,BMPR1A,ERBB4,FANCM,ALK,ABCC1,XRCC3,ATR,PMS1,MTOR,CHEK1,NTRK3,RAD51B,CDK2,CDK12,MAP2K1,PDGFRA,RECQL4,XRCC2,MAP3K1,NTRK2,PRKDC,BUB1B"
"GO:MF","ATP-dependent activity, acting on DNA","GO:0008094","3.7902008390781556e-20","19.421337776577467","123","149","21","20196","BRIP1,MSH6,MSH2,MLH1,PMS2,RAD51D,RAD51C,RAD50,RAD51,SMARCA4,MRE11,MSH3,BLM,RAD54L,ERCC2,FANCM,XRCC3,PMS1,RAD51B,RECQL4,XRCC2"
"GO:MF","ribonucleotide binding","GO:0032553","5.13206906792384e-20","19.289707507477086","1916","149","59","20196","ATM,CHEK2,BRIP1,MSH6,MSH2,MLH1,PMS2,ERBB2,MET,EGFR,PIK3CA,KRAS,AKT1,RAD51D,RET,RAD51C,STK11,BRAF,RAD50,HRAS,FGFR2,KIT,FGFR3,RAD51,CDK4,FGFR1,NRAS,SMARCA4,MSH3,TGFBR2,BLM,SRC,RAD54L,ERBB3,DICER1,NTRK1,ERCC2,BMPR1A,ERBB4,FANCM,ALK,ABCC1,XRCC3,ATR,PMS1,MTOR,CHEK1,NTRK3,RAD51B,CDK2,CDK12,MAP2K1,PDGFRA,RECQL4,XRCC2,MAP3K1,NTRK2,PRKDC,BUB1B"
"GO:MF","phosphotransferase activity, alcohol group as acceptor","GO:0016773","8.120761212845042e-20","19.090403259546576","696","149","38","20196","ATM,CHEK2,ERBB2,MET,EGFR,PIK3CA,AKT1,RET,STK11,BRAF,CCND1,FGFR2,KIT,FGFR3,CDK4,FGFR1,TGFBR2,SRC,PPM1D,ERBB3,NTRK1,BMPR1A,ERBB4,ALK,ATR,MTOR,CDKN1A,CHEK1,PIK3R1,NTRK3,CDK2,CDK12,MAP2K1,PDGFRA,MAP3K1,NTRK2,PRKDC,BUB1B"
"GO:MF","catalytic activity, acting on DNA","GO:0140097","1.031382512779835e-19","18.98658023638442","250","149","26","20196","BRIP1,MSH6,MSH2,MLH1,PMS2,RAD51D,RAD51C,RAD50,TERT,MUTYH,POLE,RAD51,POLD1,SMARCA4,MRE11,MSH3,BLM,RAD54L,DICER1,ERCC2,FANCM,XRCC3,PMS1,RAD51B,RECQL4,XRCC2"
"GO:MF","nucleotide binding","GO:0000166","1.0781688044619375e-19","18.96731323812233","2163","149","62","20196","ATM,CHEK2,BRIP1,MSH6,MSH2,MLH1,PMS2,ERBB2,MET,EGFR,PIK3CA,KRAS,AKT1,RAD51D,RET,RAD51C,STK11,BRAF,RAD50,HRAS,FGFR2,KIT,FGFR3,POLE,RAD51,CDK4,FGFR1,NRAS,POLD1,SMARCA4,MSH3,TGFBR2,BLM,SRC,RAD54L,ERBB3,DICER1,NTRK1,ERCC2,BMPR1A,ERBB4,FANCM,ALK,ABCC1,XRCC3,ATR,PMS1,MTOR,CHEK1,NTRK3,RAD51B,SDHA,CDK2,CDK12,MAP2K1,PDGFRA,RECQL4,XRCC2,MAP3K1,NTRK2,PRKDC,BUB1B"
"GO:MF","nucleoside phosphate binding","GO:1901265","1.667237139437144e-19","18.778002623912624","2181","149","62","20196","ATM,CHEK2,BRIP1,MSH6,MSH2,MLH1,PMS2,ERBB2,MET,EGFR,PIK3CA,KRAS,AKT1,RAD51D,RET,RAD51C,STK11,BRAF,RAD50,HRAS,FGFR2,KIT,FGFR3,POLE,RAD51,CDK4,FGFR1,NRAS,POLD1,SMARCA4,MSH3,TGFBR2,BLM,SRC,RAD54L,ERBB3,DICER1,NTRK1,ERCC2,BMPR1A,ERBB4,FANCM,ALK,ABCC1,XRCC3,ATR,PMS1,MTOR,CHEK1,NTRK3,RAD51B,SDHA,CDK2,CDK12,MAP2K1,PDGFRA,RECQL4,XRCC2,MAP3K1,NTRK2,PRKDC,BUB1B"
"GO:MF","ATP-dependent DNA damage sensor activity","GO:0140664","2.176225809592015e-19","18.662296043361845","18","149","12","20196","MSH6,MSH2,MLH1,PMS2,RAD51D,RAD51C,RAD51,MSH3,XRCC3,PMS1,RAD51B,XRCC2"
"GO:MF","carbohydrate derivative binding","GO:0097367","3.333127456084517e-19","18.477148078953977","2286","149","63","20196","ATM,CHEK2,BRIP1,MSH6,MSH2,MLH1,PMS2,ERBB2,MET,EGFR,PIK3CA,KRAS,AKT1,RAD51D,RET,RAD51C,STK11,BRAF,RAD50,PTCH1,HRAS,FGFR2,KIT,FGFR3,RAD51,CDK4,FGFR1,NRAS,SMARCA4,MSH3,TGFBR2,BLM,SRC,RAD54L,ERBB3,DICER1,NTRK1,ERCC2,BMPR1A,ERBB4,FANCM,ALK,ABCC1,XRCC3,ATR,PMS1,MTOR,CHEK1,NTRK3,RAD51B,CDK2,IL2,CDK12,MAP2K1,VEGFA,PDGFRA,HMMR,RECQL4,XRCC2,MAP3K1,NTRK2,PRKDC,BUB1B"
"GO:MF","purine nucleotide binding","GO:0017076","3.7442092680971744e-19","18.426639886045045","1993","149","59","20196","ATM,CHEK2,BRIP1,MSH6,MSH2,MLH1,PMS2,ERBB2,MET,EGFR,PIK3CA,KRAS,AKT1,RAD51D,RET,RAD51C,STK11,BRAF,RAD50,HRAS,FGFR2,KIT,FGFR3,RAD51,CDK4,FGFR1,NRAS,SMARCA4,MSH3,TGFBR2,BLM,SRC,RAD54L,ERBB3,DICER1,NTRK1,ERCC2,BMPR1A,ERBB4,FANCM,ALK,ABCC1,XRCC3,ATR,PMS1,MTOR,CHEK1,NTRK3,RAD51B,CDK2,CDK12,MAP2K1,PDGFRA,RECQL4,XRCC2,MAP3K1,NTRK2,PRKDC,BUB1B"
"GO:MF","kinase activity","GO:0016301","4.71538981509268e-19","18.326482398887237","780","149","39","20196","ATM,CHEK2,ERBB2,MET,EGFR,PIK3CA,AKT1,RET,STK11,BRAF,CCND1,FGFR2,KIT,FGFR3,CDK4,FGFR1,TGFBR2,SRC,PPM1D,ERBB3,NTRK1,BMPR1A,ERBB4,ALK,ATR,MTOR,CDKN1A,CHEK1,PIK3R1,NTRK3,CDK2,CCNE1,CDK12,MAP2K1,PDGFRA,MAP3K1,NTRK2,PRKDC,BUB1B"
"GO:MF","transferase activity, transferring phosphorus-containing groups","GO:0016772","1.1179699345096206e-18","17.95156987574489","954","149","42","20196","ATM,CHEK2,ERBB2,MET,EGFR,PIK3CA,AKT1,RET,STK11,BRAF,CCND1,TERT,FGFR2,KIT,FGFR3,POLE,CDK4,FGFR1,POLD1,TGFBR2,SRC,PPM1D,ERBB3,NTRK1,BMPR1A,ERBB4,ALK,ATR,MTOR,CDKN1A,CHEK1,PIK3R1,NTRK3,CDK2,CCNE1,CDK12,MAP2K1,PDGFRA,MAP3K1,NTRK2,PRKDC,BUB1B"
"GO:MF","heterocyclic compound binding","GO:1901363","3.7405551648870635e-18","17.427063935993644","2315","149","62","20196","ATM,CHEK2,BRIP1,MSH6,MSH2,MLH1,PMS2,ERBB2,MET,EGFR,PIK3CA,KRAS,AKT1,RAD51D,RET,RAD51C,STK11,BRAF,RAD50,HRAS,FGFR2,KIT,FGFR3,POLE,RAD51,CDK4,FGFR1,NRAS,POLD1,SMARCA4,MSH3,TGFBR2,BLM,SRC,RAD54L,ERBB3,DICER1,NTRK1,ERCC2,BMPR1A,ERBB4,FANCM,ALK,ABCC1,XRCC3,ATR,PMS1,MTOR,CHEK1,NTRK3,RAD51B,SDHA,CDK2,CDK12,MAP2K1,PDGFRA,RECQL4,XRCC2,MAP3K1,NTRK2,PRKDC,BUB1B"
"GO:MF","enzyme binding","GO:0019899","5.728011949252916e-18","17.24199608471396","2105","149","59","20196","BRCA1,BRCA2,PTEN,CHEK2,BARD1,TP53,CDH1,MSH6,MLH1,ERBB2,MET,EGFR,ESR1,AKT1,APC,CDKN2A,CTNNB1,BRAF,CCND1,CDC73,RB1,VHL,FLCN,AXIN2,KIT,AR,RAD51,CASP8,POLD1,SMARCA4,MSH3,MDM2,SRC,TSC2,PPM1D,ERBB3,NTRK1,CDKN2B,FANCD2,PGR,JUN,STAT3,PMS1,FBXW7,CDKN1B,CDKN1A,SMO,PIK3R1,CCNE1,CDK12,NOTCH1,BCL2,MAP3K1,HIF1A,NTRK2,SHC1,PRKDC,TGFB1,ITGB1"
"GO:MF","DNA damage sensor activity","GO:0140612","7.392305251053932e-18","17.131220108060788","22","149","12","20196","MSH6,MSH2,MLH1,PMS2,RAD51D,RAD51C,RAD51,MSH3,XRCC3,PMS1,RAD51B,XRCC2"
"GO:MF","transmembrane receptor protein kinase activity","GO:0019199","1.7647009394954492e-17","16.753328883098565","82","149","17","20196","ERBB2,MET,EGFR,RET,FGFR2,KIT,FGFR3,FGFR1,TGFBR2,ERBB3,NTRK1,BMPR1A,ERBB4,ALK,NTRK3,PDGFRA,NTRK2"
"GO:MF","DNA binding","GO:0003677","8.487716852973396e-17","16.071209116764855","2541","149","63","20196","BRCA1,BRCA2,ATM,PALB2,BRIP1,TP53,MSH6,MSH2,MLH1,PMS2,EGFR,ESR1,RAD51D,CDKN2A,RAD51C,NBN,SMAD4,RAD50,TERT,RB1,MUTYH,MYC,AR,POLE,RAD51,HNF1A,POLD1,SMARCA4,MRE11,MSH3,BAP1,BLM,ARID1A,RAD54L,MEN1,DICER1,EP300,ERCC2,ERBB4,GATA3,FANCM,XRCC3,ATR,PGR,PBRM1,JUN,STAT3,PMS1,MTOR,RAD51B,MUC1,NOTCH1,WT1,BCL2,RECQL4,XRCC2,HNF1B,CREBBP,KMT2D,TP63,HIF1A,FOXA1,PRKDC"
"GO:MF","anion binding","GO:0043168","3.260918541922806e-16","15.486660049778921","2445","149","61","20196","ATM,CHEK2,BRIP1,MSH6,MSH2,MLH1,PMS2,ERBB2,MET,EGFR,PIK3CA,KRAS,AKT1,RAD51D,RET,RAD51C,STK11,BRAF,SMAD4,RAD50,HRAS,FGFR2,KIT,FGFR3,RAD51,CDK4,FGFR1,NRAS,SMARCA4,MSH3,TGFBR2,BLM,SRC,RAD54L,ERBB3,DICER1,NTRK1,ERCC2,BMPR1A,ERBB4,FANCM,ALK,ABCC1,XRCC3,ATR,PMS1,MTOR,CHEK1,NTRK3,RAD51B,SDHA,CDK2,CDK12,MAP2K1,PDGFRA,RECQL4,XRCC2,MAP3K1,NTRK2,PRKDC,BUB1B"
"GO:MF","transmembrane receptor protein tyrosine kinase activity","GO:0004714","3.370056459024843e-16","15.47236282327182","63","149","15","20196","ERBB2,MET,EGFR,RET,FGFR2,KIT,FGFR3,FGFR1,ERBB3,NTRK1,ERBB4,ALK,NTRK3,PDGFRA,NTRK2"
"GO:MF","kinase regulator activity","GO:0019207","3.1595804856103814e-15","14.50037057715353","270","149","23","20196","EGFR,PIK3CA,AKT1,APC,CDKN2A,STK11,CCND1,CDK4,TGFBR2,ERBB3,CDKN2B,ALK,CDKN1B,CDKN1A,SMO,PIK3R1,IL2,CCNE1,MAP2K1,VEGFA,GREM1,EGF,TGFB1"
"GO:MF","four-way junction DNA binding","GO:0000400","1.0760583323851287e-14","13.968164185225103","18","149","10","20196","MSH6,MSH2,RAD51D,RAD51C,BLM,MEN1,FANCM,XRCC3,RAD51B,XRCC2"
"GO:MF","protein tyrosine kinase activity","GO:0004713","2.947211170101919e-14","13.530588745478756","148","149","18","20196","ERBB2,MET,EGFR,RET,BRAF,FGFR2,KIT,FGFR3,FGFR1,SRC,ERBB3,NTRK1,ERBB4,ALK,NTRK3,MAP2K1,PDGFRA,NTRK2"
