GO_Slim_ID,GO_Slim_Name,Frequency
GO:0048856,anatomical structure development,128
GO:0030154,cell differentiation,44
GO:0022414,reproductive process,39
GO:0002376,immune system process,37
GO:0003677,DNA binding,18
GO:0006310,DNA recombination,16
GO:0098772,molecular function regulator activity,16
GO:0016740,transferase activity,15
GO:0140096,"catalytic activity, acting on a protein",13
GO:0006355,regulation of DNA-templated transcription,12
GO:0048870,cell motility,11
GO:0055086,nucleobase-containing small molecule metabolic process,9
GO:0016787,hydrolase activity,8
GO:0006281,DNA repair,8
GO:0140097,"catalytic activity, acting on DNA",7
GO:0060089,molecular transducer activity,7
GO:0012501,programmed cell death,7
GO:0043226,organelle,6
GO:0032200,telomere organization,6
GO:0140657,ATP-dependent activity,6
GO:0007155,cell adhesion,6
GO:0006325,chromatin organization,6
GO:0007059,chromosome segregation,5
GO:0050877,nervous system process,5
GO:0006091,generation of precursor metabolites and energy,4
GO:0003824,catalytic activity,3
GO:0034330,cell junction organization,3
GO:0140299,molecular sensor activity,3
GO:0007010,cytoskeleton organization,3
GO:0016491,oxidoreductase activity,3
GO:0006351,DNA-templated transcription,3
GO:0006913,nucleocytoplasmic transport,3
GO:0005694,chromosome,2
GO:0140013,meiotic nuclear division,2
GO:0000228,nuclear chromosome,2
GO:0060090,molecular adaptor activity,2
GO:0005634,nucleus,2
GO:1901135,carbohydrate derivative metabolic process,2
GO:0006260,DNA replication,2
GO:0023052,signaling,2
GO:0140110,transcription regulator activity,2
GO:0005815,microtubule organizing center,2
GO:0030163,protein catabolic process,1
GO:0030198,extracellular matrix organization,1
GO:0006914,autophagy,1
GO:0140014,mitotic nuclear division,1
GO:0005794,Golgi apparatus,1
GO:0005654,nucleoplasm,1
GO:0000278,mitotic cell cycle,1
GO:0005886,plasma membrane,1
GO:0006954,inflammatory response,1
GO:0005856,cytoskeleton,1
GO:0005829,cytosol,1
GO:0042060,wound healing,1
GO:0006886,intracellular protein transport,1
GO:0005739,mitochondrion,1
