GO_Slim_ID,GO_Slim_Name,Frequency
GO:0048856,anatomical structure development,29
GO:0030154,cell differentiation,19
GO:0006355,regulation of DNA-templated transcription,8
GO:0002376,immune system process,7
GO:0043226,organelle,6
GO:0012501,programmed cell death,3
GO:0006351,DNA-templated transcription,2
GO:0007155,cell adhesion,2
GO:0048870,cell motility,2
GO:0003677,DNA binding,2
GO:0005829,cytosol,1
GO:0005654,nucleoplasm,1
GO:0005634,nucleus,1
GO:0005694,chromosome,1
GO:0022414,reproductive process,1
GO:0006954,inflammatory response,1
GO:0023052,signaling,1
GO:0140110,transcription regulator activity,1
