rsid,gene_id,pvalue,qtl_group,study_id
rs10161911,ENSG00000179399,0.0248594,Brain_Anterior_cingulate_cortex_BA24,GTEx_V8
rs10161911,ENSG00000179399,0.0197992,Brain_Frontal_Cortex_BA9,GTEx_V8
rs10244051,ENSG00000106511,0.00961946,brain,BrainSeq
rs10244051,ENSG00000229108,0.0248078,muscle_naive,FUSION
rs10244051,ENSG00000136267,0.0127334,Brain_Cerebellar_Hemisphere,GTEx_V8
rs10244051,ENSG00000136267,0.0115889,Brain_Cerebellum,GTEx_V8
rs10244051,ENSG00000187546,0.00934159,Brain_Cortex,GTEx_V8
rs10244051,ENSG00000187546,0.00273384,Brain_Hippocampus,GTEx_V8
rs10244051,ENSG00000187546,0.0132819,Brain_Substantia_nigra,GTEx_V8
rs10244051,ENSG00000187546,0.014608,brain_naive,ROSMAP
rs10410805,ENSG00000076650,0.043942,monocyte,BLUEPRINT
rs10410805,ENSG00000153879,0.0462699,monocyte,BLUEPRINT
rs10410805,ENSG00000153879,0.0458533,T-cell,BLUEPRINT
rs10410805,ENSG00000245848,0.0213127,T-cell,BLUEPRINT
rs10410805,ENSG00000105186,0.0264493,brain,BrainSeq
rs10410805,ENSG00000124299,5.43615e-05,brain,BrainSeq
rs10410805,ENSG00000153885,0.0160373,brain,BrainSeq
rs10410805,ENSG00000186326,0.0446822,brain,BrainSeq
rs10410805,ENSG00000124299,0.000241792,adipose_naive,FUSION
rs10410805,ENSG00000124302,2.47071e-06,adipose_naive,FUSION
rs10410805,ENSG00000270212,0.00746027,adipose_naive,FUSION
rs10410805,ENSG00000076650,0.0100099,muscle_naive,FUSION
rs10410805,ENSG00000124299,4.17865e-09,muscle_naive,FUSION
rs10410805,ENSG00000267296,0.00133535,muscle_naive,FUSION
rs10410805,ENSG00000124299,0.00571923,T-cell,GENCORD
rs10410805,ENSG00000131941,0.0331747,T-cell,GENCORD
rs10410805,ENSG00000267557,0.00780354,T-cell,GENCORD
rs10410805,ENSG00000267130,0.0431526,Adipose_Subcutaneous,GTEx_V8
rs10410805,ENSG00000267296,0.00338483,Adipose_Subcutaneous,GTEx_V8
rs10410805,ENSG00000153879,0.0317632,Adipose_Subcutaneous,GTEx_V8
rs10750397,ENSG00000151702,0.0313434,monocyte,BLUEPRINT
rs10750397,ENSG00000151702,0.00964839,T-cell,BLUEPRINT
rs10750397,ENSG00000174370,0.00616654,T-cell,BLUEPRINT
rs10750397,ENSG00000151702,0.00709251,brain,BrainSeq
rs10750397,ENSG00000120457,0.000614738,Adipose_Subcutaneous,GTEx_V8
rs10750397,ENSG00000174370,0.0197654,Adipose_Subcutaneous,GTEx_V8
rs10750397,ENSG00000134954,0.00494582,Brain_Amygdala,GTEx_V8
rs10750397,ENSG00000151702,0.0240863,Brain_Anterior_cingulate_cortex_BA24,GTEx_V8
rs10750397,ENSG00000134954,0.00792582,Brain_Anterior_cingulate_cortex_BA24,GTEx_V8
rs10750397,ENSG00000134954,0.0345449,Brain_Hippocampus,GTEx_V8
rs10750397,ENSG00000120471,0.00622785,Brain_Hippocampus,GTEx_V8
rs10750397,ENSG00000134954,0.0328615,Brain_Nucleus_accumbens_basal_ganglia,GTEx_V8
rs10811661,ENSG00000240498,0.0159327,monocyte,BLUEPRINT
rs10811661,ENSG00000198642,0.0112996,T-cell,BLUEPRINT
rs10811661,ENSG00000099810,0.0360202,muscle_naive,FUSION
rs10811661,ENSG00000266446,0.0335596,T-cell,GENCORD
rs10811661,ENSG00000240498,0.0473115,Brain_Amygdala,GTEx_V8
rs10811661,ENSG00000184995,0.0140558,Brain_Amygdala,GTEx_V8
rs10811661,ENSG00000147883,0.0172228,Brain_Caudate_basal_ganglia,GTEx_V8
rs10811661,ENSG00000234840,0.0274214,Brain_Caudate_basal_ganglia,GTEx_V8
rs10811661,ENSG00000231195,0.00119076,Brain_Cortex,GTEx_V8
rs10811661,ENSG00000226393,0.0323774,Brain_Cortex,GTEx_V8
rs10811661,ENSG00000147883,0.0176864,Brain_Hippocampus,GTEx_V8
rs10811661,ENSG00000234840,0.0327053,Brain_Hippocampus,GTEx_V8
rs10811661,ENSG00000233816,0.00406428,Brain_Hypothalamus,GTEx_V8
rs10811661,ENSG00000240498,0.0346094,Brain_Hypothalamus,GTEx_V8
rs10811661,ENSG00000147889,0.028524,Brain_Nucleus_accumbens_basal_ganglia,GTEx_V8
rs10811661,ENSG00000226393,0.0161783,Brain_Putamen_basal_ganglia,GTEx_V8
rs10849001,ENSG00000130038,0.0449687,adipose_naive,FUSION
rs10849001,ENSG00000280202,0.00988961,Adipose_Subcutaneous,GTEx_V8
rs10849001,ENSG00000227081,0.019404,Adipose_Subcutaneous,GTEx_V8
rs10849001,ENSG00000078237,0.0419774,Adipose_Visceral_Omentum,GTEx_V8
rs10849001,ENSG00000111224,0.00324845,Brain_Amygdala,GTEx_V8
rs10849001,ENSG00000111254,0.00148498,Brain_Amygdala,GTEx_V8
rs10849001,ENSG00000227081,0.0447426,Brain_Anterior_cingulate_cortex_BA24,GTEx_V8
rs10849001,ENSG00000010219,0.0437982,Brain_Cerebellar_Hemisphere,GTEx_V8
rs10849001,ENSG00000111218,0.0219592,Brain_Cortex,GTEx_V8
rs10849001,ENSG00000010219,0.0270488,Brain_Putamen_basal_ganglia,GTEx_V8
