# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Biological Process	GO:0046649	lymphocyte activation	1	5.012375e-18	6.474485e-14	6.474485e-14	6.867190e+0	4.659839e+0	32	3.477492e-2	2.388060e-1	2	3.836081e-18	4.955066e-14	2.477533e-14	7.018783e+0	4.559195e+0	32	348	1.300813e-1	9.195402e-2	rs10495903,rs11230563,rs11548656,rs11614178,rs11742570,rs12568930,rs12942547,rs12946510,rs13001325,rs13126505,rs1456896,rs1479918,rs1569723,rs17293632,rs2066844,rs2188962,rs2593855,rs3024505,rs4409764,rs4743820,rs4845604,rs56167332,rs67289879,rs6740847,rs71559680,rs7282490,rs7404095,rs7517810,rs7911264,rs80262450,rs9358372,rs9557195	BANK1,CCND3,CD40,CD6,CYLD,FOXP1,GPR18,GPR183,HHEX,ICOSLG,IFNG,IKZF1,IKZF3,IL10,IL12B,IL18R1,IL2,IRF1,ITGA4,NKX2-3,PLCG2,PRKCB,PTGER4,PTPN2,RORC,SMAD3,SOX4,STAT3,SYK,TNFSF18,WNT4,ZFP36L2
GO Biological Process	GO:0045321	leukocyte activation	2	1.790084e-16	2.312252e-12	1.156126e-12	4.446675e+0	9.220372e+0	41	6.880875e-2	3.059701e-1	21	1.874738e-13	2.421599e-9	1.153142e-10	3.689102e+0	1.138489e+1	42	869	1.707317e-1	4.833142e-2	rs10495903,rs11230563,rs11548656,rs11614178,rs11742570,rs12568930,rs12942547,rs12946510,rs13001325,rs13126505,rs138788,rs1456896,rs1479918,rs1569723,rs17293632,rs1801274,rs1819333,rs2024092,rs2066844,rs2188962,rs2382817,rs2593855,rs3024505,rs3197999,rs4409764,rs4743820,rs4845604,rs56167332,rs6586030,rs67289879,rs6740847,rs71559680,rs7282490,rs7404095,rs7495132,rs7517810,rs7911264,rs7954567,rs80262450,rs9358372,rs9557195	APEH,BANK1,CCND3,CD40,CD6,CRTC3,CYLD,FCGR2A,FOXP1,GPR18,GPR183,HHEX,HSPA6,ICOSLG,IFNG,IKZF1,IKZF3,IL10,IL12B,IL18R1,IL2,IRF1,ITGA4,LTBR,NKX2-3,PLCG2,PRKCB,PTGER4,PTPN2,RNASET2,RORC,SBNO2,SMAD3,SOX4,STAT3,SYK,TMBIM1,TNFSF18,TOM1,TSPAN14,WNT4,ZFP36L2
GO Biological Process	GO:0050865	regulation of cell activation	3	4.463154e-16	5.765056e-12	1.921685e-12	5.220532e+0	6.704297e+0	35	5.003207e-2	2.611940e-1	1	1.499693e-18	1.937153e-14	1.937153e-14	5.801024e+0	6.550567e+0	38	500	1.544715e-1	7.600000e-2	rs1042058,rs10495903,rs10797432,rs11230563,rs11236797,rs11581607,rs11614178,rs1250550,rs12946510,rs13001325,rs13126505,rs138788,rs1479918,rs1569723,rs16940202,rs17119,rs2066844,rs2188962,rs2413583,rs28449958,rs3024505,rs4743820,rs56167332,rs6863411,rs6920220,rs6927022,rs7240004,rs7282490,rs7517810,rs75900472,rs7746082,rs80244186,rs80262450,rs913678,rs9557195	BANK1,CD40,CD5,CD6,CD83,CEBPB,CYLD,FOXF1,GPR183,HLA-DQA1,HLA-DQA2,HMOX1,ICOSLG,IFNG,IKZF3,IL10,IL12B,IL1RL1,IL2,IL23R,IL27,IRF1,JAK2,LRRC32,MAP3K8,NDFIP1,NOD2,PDGFB,PRDM1,PTPN2,SMAD7,SYK,TNFAIP3,TNFRSF14,TNFSF11,TNFSF18,ZFP36L2,ZMIZ1
GO Biological Process	GO:0001817	regulation of cytokine production	4	7.613977e-16	9.834974e-12	2.458744e-12	5.128145e+0	6.825080e+0	35	5.093343e-2	2.611940e-1	5	1.857594e-16	2.399454e-12	4.798908e-13	4.880068e+0	7.991692e+0	39	610	1.585366e-1	6.393443e-2	rs10781499,rs10797432,rs11168249,rs11230563,rs11236797,rs11548656,rs11581607,rs11614178,rs11742570,rs13001325,rs13126505,rs138788,rs1479918,rs1569723,rs16940202,rs17119,rs17293632,rs1811711,rs2066844,rs2188962,rs2593855,rs28449958,rs3024505,rs3766606,rs4256018,rs4743820,rs56167332,rs6863411,rs6920220,rs7240004,rs7554511,rs75900472,rs7608910,rs913678,rs9557195	BANK1,CARD9,CCL20,CD40,CD6,CD83,CEBPB,CYLD,FERMT1,FOXP1,GPR18,HDAC7,HMOX1,IFNG,IL10,IL12B,IL12RB2,IL18R1,IL1RL1,IL2,IL23R,IL27,INAVA,IRF1,IRF8,JAK2,LRRC32,MAPKAPK2,NDFIP1,NOD2,PARK7,PLCG2,PTGER4,REL,SMAD3,SMAD7,SYK,TNFAIP3,TNFRSF14
GO Biological Process	GO:0002694	regulation of leukocyte activation	5	2.835427e-15	3.662521e-11	7.325042e-12	5.269695e+0	6.262222e+0	33	4.673300e-2	2.462687e-1	3	6.758142e-18	8.729492e-14	2.909831e-14	5.922098e+0	6.078926e+0	36	464	1.463415e-1	7.758621e-2	rs1042058,rs10495903,rs10797432,rs11230563,rs11236797,rs11581607,rs11614178,rs1250550,rs12946510,rs13001325,rs13126505,rs138788,rs1479918,rs1569723,rs16940202,rs17119,rs2066844,rs2188962,rs28449958,rs3024505,rs4743820,rs56167332,rs6863411,rs6920220,rs6927022,rs7240004,rs7282490,rs7517810,rs7746082,rs80244186,rs80262450,rs913678,rs9557195	BANK1,CD40,CD5,CD6,CD83,CEBPB,CYLD,FOXF1,GPR183,HLA-DQA1,HLA-DQA2,HMOX1,ICOSLG,IFNG,IKZF3,IL10,IL12B,IL1RL1,IL2,IL23R,IL27,IRF1,LRRC32,MAP3K8,NDFIP1,NOD2,PRDM1,PTPN2,SMAD7,SYK,TNFAIP3,TNFRSF14,TNFSF11,TNFSF18,ZFP36L2,ZMIZ1
GO Biological Process	GO:0002684	positive regulation of immune system process	6	1.698294e-14	2.193686e-10	3.656144e-11	3.988479e+0	1.002889e+1	40	7.484244e-2	2.985075e-1	12	2.703455e-14	3.492053e-10	2.910044e-11	3.744134e+0	1.175172e+1	44	897	1.788618e-1	4.905240e-2	rs1042058,rs10781499,rs10797432,rs11221332,rs11230563,rs11548656,rs11581607,rs11614178,rs11741861,rs1250550,rs12942547,rs13001325,rs138788,rs1479918,rs1569723,rs16940202,rs17119,rs1801274,rs1811711,rs2066844,rs243505,rs2488397,rs259964,rs3024505,rs3091316,rs3766606,rs4743820,rs56167332,rs5763767,rs6740847,rs6920220,rs6927022,rs7282490,rs7404095,rs7517810,rs7554511,rs7746082,rs80244186,rs921720,rs9557195	CARD9,CCL20,CCL7,CD40,CD5,CD6,CD83,CUL1,CYLD,DENND1B,EDN3,ETS1,FCGR2A,FOXF1,GPR183,HLA-DQA1,HLA-DQA2,HMOX1,ICOSLG,IFNG,IL10,IL12B,IL1RL1,IL2,IL23R,INAVA,IRGM,ITGA4,LIF,MAP3K8,MAPKAPK2,NOD2,PARK7,PLCG2,PRDM1,PRKCB,STAT3,SYK,TNFAIP3,TNFRSF14,TNFSF11,TNFSF18,TRIB1,ZMIZ1
GO Biological Process	GO:0002521	leukocyte differentiation	7	1.888636e-14	2.439551e-10	3.485073e-11	6.348200e+0	4.253174e+0	27	3.174011e-2	2.014925e-1	8	3.468117e-15	4.479767e-11	5.599708e-12	6.846811e+0	3.943441e+0	27	301	1.097561e-1	8.970100e-2	rs10495903,rs11548656,rs11614178,rs11742570,rs12568930,rs12942547,rs13001325,rs1456896,rs1479918,rs17694108,rs2024092,rs2066844,rs2188962,rs2593855,rs3024505,rs4409764,rs4743820,rs4845604,rs56167332,rs6740847,rs71559680,rs7911264,rs7954567,rs80244186,rs80262450,rs9358372,rs9557195	CEBPA,CYLD,FOXP1,GPR18,GPR183,HHEX,IFNG,IKZF1,IL10,IL12B,IL18R1,IL2,IRF1,ITGA4,LTBR,NKX2-3,PLCG2,PTGER4,PTPN2,RORC,SBNO2,SOX4,STAT3,SYK,TNFSF11,WNT4,ZFP36L2
GO Biological Process	GO:0051249	regulation of lymphocyte activation	8	2.747324e-14	3.548718e-10	4.435898e-11	5.452460e+0	5.502104e+0	30	4.106047e-2	2.238806e-1	4	2.923216e-17	3.775918e-13	9.439795e-14	6.297165e+0	5.240454e+0	33	400	1.341463e-1	8.250000e-2	rs1042058,rs10495903,rs10797432,rs11230563,rs11236797,rs11581607,rs11614178,rs1250550,rs12946510,rs13126505,rs1479918,rs1569723,rs17119,rs2066844,rs2188962,rs28449958,rs3024505,rs4743820,rs56167332,rs6863411,rs6920220,rs6927022,rs7240004,rs7282490,rs7517810,rs7746082,rs80244186,rs80262450,rs913678,rs9557195	BANK1,CD40,CD5,CD6,CD83,CEBPB,CYLD,GPR183,HLA-DQA1,HLA-DQA2,ICOSLG,IFNG,IKZF3,IL10,IL12B,IL2,IL23R,IL27,IRF1,LRRC32,MAP3K8,NDFIP1,NOD2,PRDM1,PTPN2,SMAD7,SYK,TNFAIP3,TNFRSF14,TNFSF11,TNFSF18,ZFP36L2,ZMIZ1
GO Biological Process	GO:0031347	regulation of defense response	9	4.134383e-14	5.340383e-10	5.933758e-11	4.627077e+0	7.348051e+0	34	5.483620e-2	2.537313e-1	25	3.656409e-13	4.722984e-9	1.889193e-10	3.957043e+0	9.603131e+0	38	733	1.544715e-1	5.184175e-2	rs10781499,rs11221332,rs11230563,rs11548656,rs11581607,rs11614178,rs11741861,rs11742570,rs11879191,rs13001325,rs1479918,rs16940202,rs17293632,rs2024092,rs2066844,rs2188962,rs2284553,rs243505,rs2593855,rs28449958,rs3024505,rs3766606,rs3851228,rs395157,rs4743820,rs56167332,rs6863411,rs6920220,rs7517810,rs7554511,rs75900472,rs80244186,rs80262450,rs913678	CARD9,CD6,CDC37,CUL1,CYLD,ETS1,FOXF1,FOXP1,IFNG,IFNGR2,IL10,IL12B,IL1RL1,IL2,IL23R,IL27,INAVA,IRF1,IRGM,JAK2,MAPKAPK2,NDFIP1,NOD2,OSMR,PARK7,PLCG2,PTGER4,PTPN1,PTPN2,RICTOR,SBNO2,SMAD3,SYK,TNFAIP3,TNFSF11,TNFSF18,TRAF3IP2,TYK2
GO Biological Process	GO:0030098	lymphocyte differentiation	10	2.533284e-13	3.272243e-9	3.272243e-10	7.041859e+0	3.266183e+0	23	2.437450e-2	1.716418e-1	11	1.604872e-14	2.073013e-10	1.884557e-11	7.979878e+0	2.882250e+0	23	220	9.349593e-2	1.045455e-1	rs10495903,rs11548656,rs11614178,rs11742570,rs12568930,rs12942547,rs13001325,rs1456896,rs1479918,rs2066844,rs2188962,rs2593855,rs3024505,rs4409764,rs4743820,rs4845604,rs56167332,rs6740847,rs71559680,rs7911264,rs80262450,rs9358372,rs9557195	CYLD,FOXP1,GPR18,GPR183,HHEX,IFNG,IKZF1,IL10,IL12B,IL18R1,IL2,IRF1,ITGA4,NKX2-3,PLCG2,PTGER4,PTPN2,RORC,SOX4,STAT3,SYK,WNT4,ZFP36L2
