DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2022-09-12	35851147	Adewuyi EO	2022-07-18	Commun Biol	www.ncbi.nlm.nih.gov/pubmed/35851147	A large-scale genome-wide cross-trait analysis reveals shared genetic architecture between Alzheimer's disease and gastrointestinal tract disorders.	Alzheimer's disease or gastroesophageal reflux disease	71,880 European ancestry Alzheimer's disease or AD-by-proxy cases, 71,522 European ancestry GERD cases, up to 644,457 European ancestry controls	NA	1q43	1	241893254		EXO1			ENSG00000174371			rs58440677-C	rs58440677	0	58440677	intergenic_variant	0	NR	4E-6	5.3979400086720375				NR [NR]	N	Alzheimer disease, gastroesophageal reflux disease	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.ebi.ac.uk/efo/EFO_0003948	GCST90134603	Genome-wide genotyping array
2022-09-12	35851147	Adewuyi EO	2022-07-18	Commun Biol	www.ncbi.nlm.nih.gov/pubmed/35851147	A large-scale genome-wide cross-trait analysis reveals shared genetic architecture between Alzheimer's disease and gastrointestinal tract disorders.	Alzheimer's disease or gastroesophageal reflux disease	71,880 European ancestry Alzheimer's disease or AD-by-proxy cases, 71,522 European ancestry GERD cases, up to 644,457 European ancestry controls	NA	19p13.13	19	13180377		RPL12P42 - CACNA1A	ENSG00000213253	ENSG00000141837		21589	26065	rs75311711-T	rs75311711	0	75311711	intergenic_variant	1	NR	4E-6	5.3979400086720375				NR [NR]	N	Alzheimer disease, gastroesophageal reflux disease	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.ebi.ac.uk/efo/EFO_0003948	GCST90134603	Genome-wide genotyping array
2022-09-12	35851147	Adewuyi EO	2022-07-18	Commun Biol	www.ncbi.nlm.nih.gov/pubmed/35851147	A large-scale genome-wide cross-trait analysis reveals shared genetic architecture between Alzheimer's disease and gastrointestinal tract disorders.	Alzheimer's disease or gastroesophageal reflux disease	71,880 European ancestry Alzheimer's disease or AD-by-proxy cases, 71,522 European ancestry GERD cases, up to 644,457 European ancestry controls	NA	15q24.3	15	77018004		PSTPIP1			ENSG00000140368			rs12900395-G	rs12900395	0	12900395	intron_variant	0	NR	4E-6	5.3979400086720375				NR [NR]	N	Alzheimer disease, gastroesophageal reflux disease	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.ebi.ac.uk/efo/EFO_0003948	GCST90134603	Genome-wide genotyping array
2022-09-12	35851147	Adewuyi EO	2022-07-18	Commun Biol	www.ncbi.nlm.nih.gov/pubmed/35851147	A large-scale genome-wide cross-trait analysis reveals shared genetic architecture between Alzheimer's disease and gastrointestinal tract disorders.	Alzheimer's disease or gastroesophageal reflux disease	71,880 European ancestry Alzheimer's disease or AD-by-proxy cases, 71,522 European ancestry GERD cases, up to 644,457 European ancestry controls	NA	3q26.32	3	177920817		LINC02015			ENSG00000231574			rs1362828-C	rs1362828	0	1362828	intergenic_variant	0	NR	4E-6	5.3979400086720375				NR [NR]	N	Alzheimer disease, gastroesophageal reflux disease	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.ebi.ac.uk/efo/EFO_0003948	GCST90134603	Genome-wide genotyping array
2022-09-12	35851147	Adewuyi EO	2022-07-18	Commun Biol	www.ncbi.nlm.nih.gov/pubmed/35851147	A large-scale genome-wide cross-trait analysis reveals shared genetic architecture between Alzheimer's disease and gastrointestinal tract disorders.	Alzheimer's disease or gastroesophageal reflux disease	71,880 European ancestry Alzheimer's disease or AD-by-proxy cases, 71,522 European ancestry GERD cases, up to 644,457 European ancestry controls	NA	20q11.23	20	37642954		LINC00489 - CTNNBL1	ENSG00000225759	ENSG00000132792		19835	51076	rs79898116-C	rs79898116	0	79898116	intergenic_variant	1	NR	4E-6	5.3979400086720375				NR [NR]	N	Alzheimer disease, gastroesophageal reflux disease	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.ebi.ac.uk/efo/EFO_0003948	GCST90134603	Genome-wide genotyping array
2022-09-12	35851147	Adewuyi EO	2022-07-18	Commun Biol	www.ncbi.nlm.nih.gov/pubmed/35851147	A large-scale genome-wide cross-trait analysis reveals shared genetic architecture between Alzheimer's disease and gastrointestinal tract disorders.	Alzheimer's disease or gastroesophageal reflux disease	71,880 European ancestry Alzheimer's disease or AD-by-proxy cases, 71,522 European ancestry GERD cases, up to 644,457 European ancestry controls	NA	21q11.2	21	14956635		ASMER1			ENSG00000281903			rs1297211-C	rs1297211	0	1297211	intergenic_variant	0	NR	4E-6	5.3979400086720375				NR [NR]	N	Alzheimer disease, gastroesophageal reflux disease	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.ebi.ac.uk/efo/EFO_0003948	GCST90134603	Genome-wide genotyping array
2022-09-12	35851147	Adewuyi EO	2022-07-18	Commun Biol	www.ncbi.nlm.nih.gov/pubmed/35851147	A large-scale genome-wide cross-trait analysis reveals shared genetic architecture between Alzheimer's disease and gastrointestinal tract disorders.	Alzheimer's disease or gastroesophageal reflux disease	71,880 European ancestry Alzheimer's disease or AD-by-proxy cases, 71,522 European ancestry GERD cases, up to 644,457 European ancestry controls	NA	19q13.32	19	45249640		MARK4			ENSG00000007047			rs73036524-C	rs73036524	0	73036524	intergenic_variant	0	NR	4E-6	5.3979400086720375				NR [NR]	N	Alzheimer disease, gastroesophageal reflux disease	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.ebi.ac.uk/efo/EFO_0003948	GCST90134603	Genome-wide genotyping array
2022-09-12	35851147	Adewuyi EO	2022-07-18	Commun Biol	www.ncbi.nlm.nih.gov/pubmed/35851147	A large-scale genome-wide cross-trait analysis reveals shared genetic architecture between Alzheimer's disease and gastrointestinal tract disorders.	Alzheimer's disease or gastroesophageal reflux disease	71,880 European ancestry Alzheimer's disease or AD-by-proxy cases, 71,522 European ancestry GERD cases, up to 644,457 European ancestry controls	NA	20q13.33	20	61902303		CDH4			ENSG00000179242			rs75360143-A	rs75360143	0	75360143	intron_variant	0	NR	4E-6	5.3979400086720375				NR [NR]	N	Alzheimer disease, gastroesophageal reflux disease	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.ebi.ac.uk/efo/EFO_0003948	GCST90134603	Genome-wide genotyping array
2022-09-12	35851147	Adewuyi EO	2022-07-18	Commun Biol	www.ncbi.nlm.nih.gov/pubmed/35851147	A large-scale genome-wide cross-trait analysis reveals shared genetic architecture between Alzheimer's disease and gastrointestinal tract disorders.	Alzheimer's disease or gastroesophageal reflux disease	71,880 European ancestry Alzheimer's disease or AD-by-proxy cases, 71,522 European ancestry GERD cases, up to 644,457 European ancestry controls	NA	2p21	2	43839108		ABCG8			ENSG00000143921			rs11887534-C	rs11887534	0	11887534	missense_variant	0	NR	4E-6	5.3979400086720375				NR [NR]	N	Alzheimer disease, gastroesophageal reflux disease	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.ebi.ac.uk/efo/EFO_0003948	GCST90134603	Genome-wide genotyping array
2022-09-12	35851147	Adewuyi EO	2022-07-18	Commun Biol	www.ncbi.nlm.nih.gov/pubmed/35851147	A large-scale genome-wide cross-trait analysis reveals shared genetic architecture between Alzheimer's disease and gastrointestinal tract disorders.	Alzheimer's disease or gastroesophageal reflux disease	71,880 European ancestry Alzheimer's disease or AD-by-proxy cases, 71,522 European ancestry GERD cases, up to 644,457 European ancestry controls	NA	3p13	3	70837999		RNU6-281P - FOXP1	ENSG00000206939	ENSG00000114861		29547	116694	rs6801977-A	rs6801977	0	6801977	intergenic_variant	1	NR	4E-6	5.3979400086720375				NR [NR]	N	Alzheimer disease, gastroesophageal reflux disease	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.ebi.ac.uk/efo/EFO_0003948	GCST90134603	Genome-wide genotyping array
2022-09-12	35851147	Adewuyi EO	2022-07-18	Commun Biol	www.ncbi.nlm.nih.gov/pubmed/35851147	A large-scale genome-wide cross-trait analysis reveals shared genetic architecture between Alzheimer's disease and gastrointestinal tract disorders.	Alzheimer's disease or gastroesophageal reflux disease	71,880 European ancestry Alzheimer's disease or AD-by-proxy cases, 71,522 European ancestry GERD cases, up to 644,457 European ancestry controls	NA	7q36.3	7	157642923		PTPRN2			ENSG00000155093			rs150757052-T	rs150757052	0	150757052	intron_variant	0	NR	4E-6	5.3979400086720375				NR [NR]	N	Alzheimer disease, gastroesophageal reflux disease	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.ebi.ac.uk/efo/EFO_0003948	GCST90134603	Genome-wide genotyping array
2022-09-12	35851147	Adewuyi EO	2022-07-18	Commun Biol	www.ncbi.nlm.nih.gov/pubmed/35851147	A large-scale genome-wide cross-trait analysis reveals shared genetic architecture between Alzheimer's disease and gastrointestinal tract disorders.	Alzheimer's disease or gastroesophageal reflux disease	71,880 European ancestry Alzheimer's disease or AD-by-proxy cases, 71,522 European ancestry GERD cases, up to 644,457 European ancestry controls	NA	1q43	1	239785966		CHRM3			ENSG00000133019			rs61829244-G	rs61829244	0	61829244	intron_variant	0	NR	4E-6	5.3979400086720375				NR [NR]	N	Alzheimer disease, gastroesophageal reflux disease	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.ebi.ac.uk/efo/EFO_0003948	GCST90134603	Genome-wide genotyping array
2022-09-12	35851147	Adewuyi EO	2022-07-18	Commun Biol	www.ncbi.nlm.nih.gov/pubmed/35851147	A large-scale genome-wide cross-trait analysis reveals shared genetic architecture between Alzheimer's disease and gastrointestinal tract disorders.	Alzheimer's disease or gastroesophageal reflux disease	71,880 European ancestry Alzheimer's disease or AD-by-proxy cases, 71,522 European ancestry GERD cases, up to 644,457 European ancestry controls	NA	12q14.3	12	67250876		RAB11AP2 - GGTA2P	ENSG00000255976	ENSG00000237766		118671	14966	rs775631-A	rs775631	0	775631	intergenic_variant	1	NR	5E-6	5.301029995663981				NR [NR]	N	Alzheimer disease, gastroesophageal reflux disease	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.ebi.ac.uk/efo/EFO_0003948	GCST90134603	Genome-wide genotyping array
2022-09-12	35851147	Adewuyi EO	2022-07-18	Commun Biol	www.ncbi.nlm.nih.gov/pubmed/35851147	A large-scale genome-wide cross-trait analysis reveals shared genetic architecture between Alzheimer's disease and gastrointestinal tract disorders.	Alzheimer's disease or gastroesophageal reflux disease	71,880 European ancestry Alzheimer's disease or AD-by-proxy cases, 71,522 European ancestry GERD cases, up to 644,457 European ancestry controls	NA	19q13.33	19	48715345		MAMSTR			ENSG00000176909			rs12979278-C	rs12979278	0	12979278	synonymous_variant	0	NR	5E-6	5.301029995663981				NR [NR]	N	Alzheimer disease, gastroesophageal reflux disease	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.ebi.ac.uk/efo/EFO_0003948	GCST90134603	Genome-wide genotyping array
2022-09-12	35851147	Adewuyi EO	2022-07-18	Commun Biol	www.ncbi.nlm.nih.gov/pubmed/35851147	A large-scale genome-wide cross-trait analysis reveals shared genetic architecture between Alzheimer's disease and gastrointestinal tract disorders.	Alzheimer's disease or gastroesophageal reflux disease	71,880 European ancestry Alzheimer's disease or AD-by-proxy cases, 71,522 European ancestry GERD cases, up to 644,457 European ancestry controls	NA	17q21.33	17	49441016		ZNF652-AS1			ENSG00000248714			rs9897429-G	rs9897429	0	9897429	intergenic_variant	0	NR	5E-6	5.301029995663981				NR [NR]	N	Alzheimer disease, gastroesophageal reflux disease	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.ebi.ac.uk/efo/EFO_0003948	GCST90134603	Genome-wide genotyping array
