# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Cellular Component	GO:0097129	cyclin D2-CDK4 complex	1	1.427469e-7	2.379591e-4	2.379591e-4	9.167388e+1	4.363293e-2	4	1.592443e-4	1.459854e-2	70	6.714329e-2	1.000000e+0	1.000000e+0	1.455581e+1	6.870107e-2	1	3	2.325581e-3	3.333333e-1	rs10849001,rs3217854,rs4238013,rs76895963	CCND2
GO Cellular Component	GO:0071797	LUBAC complex	2	4.032771e-7	6.722629e-4	3.361315e-4	3.538330e+1	1.413096e-1	5	5.157285e-4	1.824818e-2	124	1.297881e-1	1.000000e+0	1.000000e+0	7.277907e+0	1.374021e-1	1	6	2.325581e-3	1.666667e-1	rs147581833,rs17250977,rs6884420,rs6885132,rs76549217	OTULIN
GO Cellular Component	GO:0000307	cyclin-dependent protein kinase holoenzyme complex	3	1.748060e-6	2.914016e-3	9.713387e-4	1.010435e+1	7.917380e-1	8	2.889555e-3	2.919708e-2	7	2.092412e-3	1.000000e+0	4.982930e-1	5.458430e+0	9.160143e-1	5	40	1.162791e-2	1.250000e-1	rs10849001,rs13322435,rs3217854,rs33966734,rs4238013,rs4898364,rs55911137,rs76895963	CCND1,CCND2,CCND3,CCNL1,FAM58A
GO Cellular Component	GO:0035985	senescence-associated heterochromatin focus	4	4.990378e-6	8.318960e-3	2.079740e-3	3.723105e+1	1.074372e-1	4	3.921066e-4	1.459854e-2	5	1.545848e-3	1.000000e+0	5.153857e-1	2.911163e+1	6.870107e-2	2	3	4.651163e-3	6.666667e-1	rs138066904,rs2612072,rs4338565,rs945712382	HMGA1,HMGA2
GO Cellular Component	GO:1902911	protein kinase complex	5	1.749758e-5	2.916847e-2	5.833693e-3	4.568366e+0	2.626760e+0	12	9.586715e-3	4.379562e-2	2	5.983755e-4	9.974920e-1	4.987460e-1	3.815602e+0	2.358737e+0	9	103	2.093023e-2	8.737864e-2	rs1050828,rs10849001,rs13322435,rs2203452,rs3217854,rs33966734,rs4238013,rs4898364,rs55911137,rs61044233,rs7252150,rs76895963	CCND1,CCND2,CCND3,CCNL1,ERN1,FAM58A,IKBKG,INSR,IRS1
GO Cellular Component	GO:1902554	serine/threonine protein kinase complex	6	1.024270e-4	1.707458e-1	2.845763e-2	4.480359e+0	2.231964e+0	10	8.145854e-3	3.649635e-2	9	4.886729e-3	1.000000e+0	9.051308e-1	3.359034e+0	2.083932e+0	7	91	1.627907e-2	7.692308e-2	rs1050828,rs10849001,rs13322435,rs3217854,rs33966734,rs4238013,rs4898364,rs55911137,rs61044233,rs76895963	CCND1,CCND2,CCND3,CCNL1,ERN1,FAM58A,IKBKG
GO Cellular Component	GO:0000785	chromatin	7	1.326734e-4	2.211666e-1	3.159522e-2	2.278015e+0	1.097447e+1	25	4.005280e-2	9.124088e-2	34	3.178116e-2	1.000000e+0	1.000000e+0	1.617313e+0	1.112957e+1	18	486	4.186047e-2	3.703704e-2	rs10773049,rs10849001,rs10974438,rs114322470,rs12420618,rs13268508,rs138066904,rs17772814,rs202020783,rs2612072,rs2982521,rs3067768,rs3217854,rs372411283,rs373676665,rs4238013,rs4338565,rs576674,rs62108438,rs6474549,rs681235,rs76895963,rs7903146,rs8035987,rs945712382	BEND3,CCND2,CEBPB,CITED2,HMGA1,HMGA2,HSF1,KLF1,MYC,NCOR2,PDS5B,PPARGC1A,RELA,RFX3,SIN3A,SMARCA2,TCF4,TCF7L2
GO Cellular Component	GO:0098552	side of membrane	8	1.590633e-4	2.651585e-1	3.314482e-2	2.250977e+0	1.110629e+1	25	4.053389e-2	9.124088e-2	1	1.762557e-4	2.938183e-1	2.938183e-1	2.319518e+0	9.915855e+0	23	433	5.348837e-2	5.311778e-2	rs111354897,rs11696357,rs1822105,rs2347252,rs2351707,rs244080,rs3067768,rs3826482,rs459193,rs4679370,rs4930044,rs5807991,rs5868014,rs59387648,rs6026557,rs6600208,rs6743071,rs68014479,rs7252150,rs73226260,rs73872717,rs7454108,rs79696944,rs8073626,rs8126001	ADA,ANPEP,CHMP4B,CLEC14A,CYTH1,ESYT3,GNAS,HEG1,HLA-DQA1,HLA-DQA2,IL6ST,INSR,ITGA2,P2RX1,PTPN1,RASA2,RGS11,RGS19,SPPL3,TFRC,TH,THADA,THBS1
GO Cellular Component	GO:0019867	outer membrane	9	6.122665e-4	1.000000e+0	1.134054e-1	2.936372e+0	4.427232e+0	13	1.615778e-2	4.744526e-2	159	1.791878e-1	1.000000e+0	1.000000e+0	1.520757e+0	4.602972e+0	7	201	1.627907e-2	3.482587e-2	rs11637595,rs116401167,rs12454712,rs147581833,rs17250977,rs17476364,rs3217854,rs56952027,rs58584712,rs6884420,rs6885132,rs76549217,rs76895963	ACSL1,ANKH,BCL2,BCL2L11,BMF,HK1,TIGAR
GO Cellular Component	GO:0005694	chromosome	10	1.002074e-3	1.000000e+0	1.670457e-1	1.711799e+0	2.161469e+1	37	7.888571e-2	1.350365e-1	63	6.204002e-2	1.000000e+0	1.000000e+0	1.343614e+0	2.232785e+1	30	975	6.976744e-2	3.076923e-2	rs10773049,rs10849001,rs10974438,rs114322470,rs116401167,rs11759026,rs12420618,rs13268508,rs138066904,rs17772814,rs190789,rs194535,rs202020783,rs2169387,rs2612072,rs2982521,rs3067768,rs3217854,rs348330,rs372411283,rs373676665,rs4238013,rs4338565,rs5763857,rs576674,rs62108438,rs6474549,rs6777684,rs681235,rs719727,rs73221131,rs73872717,rs76895963,rs7903146,rs8035987,rs8036430,rs945712382	BCL6,BEND3,CCND2,CEBPB,CENPU,CENPW,CITED2,GTPBP10,HMGA1,HMGA2,HORMAD2,HSF1,KLF1,LLPH,MYBL2,MYC,NCOR2,NUP133,PCGF3,PDS5B,PPARGC1A,RCCD1,RELA,RFX3,SIN3A,SMARCA2,TCF4,TCF7L2,TNKS,ZBTB38
