DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2017-11-10	28991256	Li Z	2017-10-09	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28991256	Genome-wide association analysis identifies 30 new susceptibility loci for schizophrenia.	Schizophrenia	7,699 Chinese ancestry cases, 35,476 European ancestry cases, 18,327 Chinese ancestry controls, 46,839 European ancestry controls	4,384 Chinese ancestry cases, 5,770 Chinese ancestry controls	12p13.33	12	2237227	CACNA1C	CACNA1C			ENSG00000151067			rs2159100-T	rs2159100	0	2159100	intron_variant	0	NR	3E-19	18.522878745280337		1.102	[1.08-1.12]	Affymetrix, Illumina [up to 5107227] (imputed)	N	schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	GCST004946	Genome-wide genotyping array
2017-11-10	28991256	Li Z	2017-10-09	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28991256	Genome-wide association analysis identifies 30 new susceptibility loci for schizophrenia.	Schizophrenia	7,699 Chinese ancestry cases, 35,476 European ancestry cases, 18,327 Chinese ancestry controls, 46,839 European ancestry controls	4,384 Chinese ancestry cases, 5,770 Chinese ancestry controls	10p12.31	10	18456176	CACNB2	CACNB2			ENSG00000165995			rs7893279-T	rs7893279	0	7893279	intron_variant	0	NR	3E-13	12.522878745280337		1.117	[1.09-1.15]	Affymetrix, Illumina [up to 5107227] (imputed)	N	schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	GCST004946	Genome-wide genotyping array
2017-11-10	28991256	Li Z	2017-10-09	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28991256	Genome-wide association analysis identifies 30 new susceptibility loci for schizophrenia.	Schizophrenia	7,699 Chinese ancestry cases, 35,476 European ancestry cases, 18,327 Chinese ancestry controls, 46,839 European ancestry controls	4,384 Chinese ancestry cases, 5,770 Chinese ancestry controls	2q33.1	2	200282053	SPATS2L	MAIP1 - SPATS2L	ENSG00000162972	ENSG00000196141		273513	23828	rs17630293-T	rs17630293	0	17630293	intergenic_variant	1	NR	3E-12	11.522878745280337		1.124	[1.09-1.16]	Affymetrix, Illumina [up to 5107227] (imputed)	N	schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	GCST004946	Genome-wide genotyping array
2017-11-10	28991256	Li Z	2017-10-09	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28991256	Genome-wide association analysis identifies 30 new susceptibility loci for schizophrenia.	Schizophrenia	7,699 Chinese ancestry cases, 35,476 European ancestry cases, 18,327 Chinese ancestry controls, 46,839 European ancestry controls	4,384 Chinese ancestry cases, 5,770 Chinese ancestry controls	5q33.1	5	153103403	intergenic	LINC01470			ENSG00000249484			rs76091702-T	rs76091702	0	76091702	intergenic_variant	0	NR	1E-7	7.0		1.124	[1.08-1.17]	Affymetrix, Illumina [up to 5107227] (imputed)	N	schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	GCST004946	Genome-wide genotyping array
2017-11-10	28991256	Li Z	2017-10-09	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28991256	Genome-wide association analysis identifies 30 new susceptibility loci for schizophrenia.	Schizophrenia	7,699 Chinese ancestry cases, 35,476 European ancestry cases, 18,327 Chinese ancestry controls, 46,839 European ancestry controls	4,384 Chinese ancestry cases, 5,770 Chinese ancestry controls	6p22.1	6	28744470	ZKSCAN3, ZNF323, ZSCAN23	RPSAP2 - NOP56P1	ENSG00000237425	ENSG00000235559		11566	39163	rs115329265-A	rs115329265	1	1233578	intergenic_variant	1	NR	5E-36	35.30102999566398		1.21	[1.18-1.24]	Affymetrix, Illumina [up to 5107227] (imputed)	N	schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	GCST004946	Genome-wide genotyping array
2017-11-10	28991256	Li Z	2017-10-09	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28991256	Genome-wide association analysis identifies 30 new susceptibility loci for schizophrenia.	Schizophrenia	7,699 Chinese ancestry cases, 35,476 European ancestry cases, 18,327 Chinese ancestry controls, 46,839 European ancestry controls	4,384 Chinese ancestry cases, 5,770 Chinese ancestry controls	12q24.31	12	123159496	MPHOSPH9	MPHOSPH9			ENSG00000051825			rs61041384-C	rs61041384	0	61041384	intron_variant	0	NR	6E-13	12.221848749616356		1.1223345	[1.09-1.15]	Affymetrix, Illumina [up to 5107227] (imputed)	N	schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	GCST004946	Genome-wide genotyping array
2017-11-10	28991256	Li Z	2017-10-09	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28991256	Genome-wide association analysis identifies 30 new susceptibility loci for schizophrenia.	Schizophrenia	7,699 Chinese ancestry cases, 35,476 European ancestry cases, 18,327 Chinese ancestry controls, 46,839 European ancestry controls	4,384 Chinese ancestry cases, 5,770 Chinese ancestry controls	10q24.32	10	103089359	C10orf32, INA, NT5C2	NT5C2, CNNM2			ENSG00000076685, ENSG00000148842			rs10786736-G	rs10786736	0	10786736	3_prime_UTR_variant	0	NR	4E-17	16.397940008672037		1.1148272	[1.09-1.14]	Affymetrix, Illumina [up to 5107227] (imputed)	N	schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	GCST004946	Genome-wide genotyping array
2017-11-10	28991256	Li Z	2017-10-09	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28991256	Genome-wide association analysis identifies 30 new susceptibility loci for schizophrenia.	Schizophrenia	7,699 Chinese ancestry cases, 35,476 European ancestry cases, 18,327 Chinese ancestry controls, 46,839 European ancestry controls	4,384 Chinese ancestry cases, 5,770 Chinese ancestry controls	2p16.1	2	57844458	intergenic	ACTG1P22 - VRK2	ENSG00000271615	ENSG00000028116		78406	63171	rs80256351-C	rs80256351	0	80256351	intergenic_variant	1	NR	5E-8	7.301029995663981		1.1135857	[1.07-1.15]	Affymetrix, Illumina [up to 5107227] (imputed)	N	schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	GCST004946	Genome-wide genotyping array
2017-11-10	28991256	Li Z	2017-10-09	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28991256	Genome-wide association analysis identifies 30 new susceptibility loci for schizophrenia.	Schizophrenia	7,699 Chinese ancestry cases, 35,476 European ancestry cases, 18,327 Chinese ancestry controls, 46,839 European ancestry controls	4,384 Chinese ancestry cases, 5,770 Chinese ancestry controls	2p16.1	2	57911057	VRK2	VRK2			ENSG00000028116			rs75575209-T	rs75575209	0	75575209	intergenic_variant	0	NR	1E-8	8.0		1.1086475	[1.07-1.14]	Affymetrix, Illumina [up to 5107227] (imputed)	N	schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	GCST004946	Genome-wide genotyping array
2017-11-10	28991256	Li Z	2017-10-09	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28991256	Genome-wide association analysis identifies 30 new susceptibility loci for schizophrenia.	Schizophrenia	7,699 Chinese ancestry cases, 35,476 European ancestry cases, 18,327 Chinese ancestry controls, 46,839 European ancestry controls	4,384 Chinese ancestry cases, 5,770 Chinese ancestry controls	10q21.3	10	63098112	JMJD1C, NRBF2	EGR2 - RNU6-543P	ENSG00000122877	ENSG00000199446		278945	12027	rs111364339-C	rs111364339	0	111364339	intergenic_variant	1	NR	5E-9	8.301029995663981		1.1037527	[1.07-1.14]	Affymetrix, Illumina [up to 5107227] (imputed)	N	schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	GCST004946	Genome-wide genotyping array
