# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Molecular Function	GO:0001228	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	1	4.575467e-9	1.909800e-5	1.909800e-5	3.458825e+0	8.384350e+0	29	5.665101e-2	1.959459e-1	1	6.537442e-9	2.728728e-5	2.728728e-5	4.230297e+0	5.436971e+0	23	410	9.236948e-2	5.609756e-2	rs10759243,rs10816625,rs11117758,rs113577745,rs11780156,rs11820646,rs13267382,rs13294895,rs16992204,rs2012709,rs2016394,rs2046210,rs2223621,rs2236007,rs2747652,rs2787486,rs2943559,rs35951924,rs4562056,rs4593472,rs4849887,rs514192,rs6122906,rs6472903,rs6562760,rs676256,rs67958007,rs7107217,rs720475	BARX2,CEBPB,DLX2,ESR1,ESRRG,FOXI1,GATA3,GLI2,GRHL1,GRHL2,HLF,HNF4G,ISL1,KLF14,KLF4,KLF5,MYC,NOBOX,PAX9,RUNX1,SOX4,SUB1,TRPS1
GO Molecular Function	GO:0008270	zinc ion binding	2	4.028383e-8	1.681447e-4	8.407235e-5	2.902936e+0	1.102332e+1	32	7.448190e-2	2.162162e-1	8	3.546062e-7	1.480126e-3	1.850158e-4	2.803332e+0	1.070155e+1	30	807	1.204819e-1	3.717472e-2	rs10759243,rs10816625,rs11117758,rs117618124,rs11977670,rs12048493,rs12422552,rs12546444,rs12628403,rs13267382,rs13294895,rs17356907,rs1895062,rs2012709,rs2046210,rs2594714,rs2747652,rs2943559,rs2965183,rs4849887,rs4971059,rs58058861,rs6122906,rs62355902,rs6472903,rs6569648,rs676256,rs67958007,rs704010,rs73006998,rs9257408,rs9790517	APOBEC3A,APOBEC3B,ESR1,ESRRG,GATA3,GATAD2A,GLI2,GRIN2B,HNF4G,KDM7A,KLF4,L3MBTL3,MAP3K1,MEP1B,NANOS3,OTUD7B,PAPPA,PTPN1,SIAH2,TET2,TNFSF10,TRIM27,TRIM32,TRIM46,TRPS1,USP44,ZFPM2,ZFR,ZMIZ1,ZSWIM4
GO Molecular Function	GO:0003690	double-stranded DNA binding	3	1.088184e-7	4.542080e-4	1.514027e-4	2.562980e+0	1.404615e+1	36	9.490643e-2	2.432432e-1	9	3.736275e-7	1.559521e-3	1.732801e-4	2.796402e+0	1.072807e+1	30	809	1.204819e-1	3.708282e-2	rs10759243,rs10760444,rs10816625,rs11117758,rs113577745,rs11780156,rs11820646,rs1292011,rs13267382,rs13294895,rs16992204,rs17426269,rs2016394,rs2046210,rs2223621,rs2236007,rs2588809,rs2747652,rs2787486,rs2823093,rs2943559,rs35951924,rs3903072,rs4562056,rs4849887,rs4951011,rs6122906,rs6472903,rs6562760,rs676256,rs67958007,rs7107217,rs71559437,rs720475,rs7904519,rs999737	BARX2,CEBPB,CUX1,DLX2,ESR1,ESRRG,FOXI1,GATA3,GLI2,GRHL1,HLF,HNF4G,ISL1,KLF12,KLF4,KLF5,LMO4,LMX1B,MYC,NOBOX,NRIP1,OVOL1,PAX9,RAD51B,RUNX1,SOX4,TBX3,TCF7L2,TRPS1,ZBED6
GO Molecular Function	GO:0000976	transcription regulatory region sequence-specific DNA binding	4	1.104192e-7	4.608897e-4	1.152224e-4	2.662430e+0	1.277029e+1	34	8.628572e-2	2.297297e-1	6	4.576211e-8	1.910110e-4	3.183517e-5	3.160231e+0	9.176546e+0	29	692	1.164659e-1	4.190751e-2	rs10759243,rs10760444,rs10816625,rs11117758,rs113577745,rs11780156,rs11820646,rs1292011,rs13267382,rs13294895,rs16992204,rs17426269,rs2016394,rs2046210,rs2223621,rs2236007,rs2747652,rs2787486,rs2823093,rs2943559,rs35951924,rs3903072,rs4562056,rs4849887,rs4951011,rs6122906,rs6472903,rs6562760,rs676256,rs67958007,rs7107217,rs71559437,rs720475,rs7904519	BARX2,CEBPB,CUX1,DLX2,ESR1,ESRRG,FOXI1,GATA3,GLI2,GRHL1,HLF,HNF4G,ISL1,KLF12,KLF4,KLF5,LMO4,LMX1B,MYC,NOBOX,NRIP1,OVOL1,PAX9,RUNX1,SOX4,TBX3,TCF7L2,TRPS1,ZBED6
GO Molecular Function	GO:0044212	transcription regulatory region DNA binding	5	1.831762e-7	7.645775e-4	1.529155e-4	2.465338e+0	1.500809e+1	37	1.014060e-1	2.500000e-1	3	2.794525e-8	1.166435e-4	3.888116e-5	2.941511e+0	1.121873e+1	33	846	1.325301e-1	3.900709e-2	rs10759243,rs10760444,rs10816625,rs11117758,rs113577745,rs11780156,rs11820646,rs1292011,rs13267382,rs13294895,rs16992204,rs17426269,rs2016394,rs2046210,rs2223621,rs2236007,rs2747652,rs2787486,rs2823093,rs2943559,rs35951924,rs3903072,rs4562056,rs4784227,rs4849887,rs4951011,rs514192,rs6122906,rs6472903,rs6562760,rs676256,rs6762644,rs67958007,rs7107217,rs71559437,rs720475,rs7904519	BARX2,BHLHE40,CEBPB,CUX1,DLX2,ESR1,ESRRG,FOXI1,GATA3,GLI2,GRHL1,GRHL2,HLF,HNF4G,ISL1,KLF11,KLF12,KLF4,KLF5,LMO4,LMX1B,MYC,NOBOX,NRIP1,OVOL1,PAX9,RUNX1,SOX4,TBX3,TCF7L2,TOX3,TRPS1,ZBED6
GO Molecular Function	GO:0000975	regulatory region DNA binding	6	1.863012e-7	7.776212e-4	1.296035e-4	2.463669e+0	1.501825e+1	37	1.014747e-1	2.500000e-1	4	2.956119e-8	1.233884e-4	3.084710e-5	2.934573e+0	1.124525e+1	33	848	1.325301e-1	3.891509e-2	rs10759243,rs10760444,rs10816625,rs11117758,rs113577745,rs11780156,rs11820646,rs1292011,rs13267382,rs13294895,rs16992204,rs17426269,rs2016394,rs2046210,rs2223621,rs2236007,rs2747652,rs2787486,rs2823093,rs2943559,rs35951924,rs3903072,rs4562056,rs4784227,rs4849887,rs4951011,rs514192,rs6122906,rs6472903,rs6562760,rs676256,rs6762644,rs67958007,rs7107217,rs71559437,rs720475,rs7904519	BARX2,BHLHE40,CEBPB,CUX1,DLX2,ESR1,ESRRG,FOXI1,GATA3,GLI2,GRHL1,GRHL2,HLF,HNF4G,ISL1,KLF11,KLF12,KLF4,KLF5,LMO4,LMX1B,MYC,NOBOX,NRIP1,OVOL1,PAX9,RUNX1,SOX4,TBX3,TCF7L2,TOX3,TRPS1,ZBED6
GO Molecular Function	GO:0001067	regulatory region nucleic acid binding	7	2.017894e-7	8.422690e-4	1.203241e-4	2.455802e+0	1.506636e+1	37	1.017998e-1	2.500000e-1	5	3.040167e-8	1.268966e-4	2.537931e-5	2.931117e+0	1.125851e+1	33	849	1.325301e-1	3.886926e-2	rs10759243,rs10760444,rs10816625,rs11117758,rs113577745,rs11780156,rs11820646,rs1292011,rs13267382,rs13294895,rs16992204,rs17426269,rs2016394,rs2046210,rs2223621,rs2236007,rs2747652,rs2787486,rs2823093,rs2943559,rs35951924,rs3903072,rs4562056,rs4784227,rs4849887,rs4951011,rs514192,rs6122906,rs6472903,rs6562760,rs676256,rs6762644,rs67958007,rs7107217,rs71559437,rs720475,rs7904519	BARX2,BHLHE40,CEBPB,CUX1,DLX2,ESR1,ESRRG,FOXI1,GATA3,GLI2,GRHL1,GRHL2,HLF,HNF4G,ISL1,KLF11,KLF12,KLF4,KLF5,LMO4,LMX1B,MYC,NOBOX,NRIP1,OVOL1,PAX9,RUNX1,SOX4,TBX3,TCF7L2,TOX3,TRPS1,ZBED6
GO Molecular Function	GO:1990837	sequence-specific double-stranded DNA binding	8	2.483032e-7	1.036418e-3	1.295522e-4	2.572213e+0	1.321819e+1	34	8.931208e-2	2.297297e-1	7	1.469433e-7	6.133413e-4	8.762019e-5	2.991627e+0	9.693721e+0	29	731	1.164659e-1	3.967168e-2	rs10759243,rs10760444,rs10816625,rs11117758,rs113577745,rs11780156,rs11820646,rs1292011,rs13267382,rs13294895,rs16992204,rs17426269,rs2016394,rs2046210,rs2223621,rs2236007,rs2747652,rs2787486,rs2823093,rs2943559,rs35951924,rs3903072,rs4562056,rs4849887,rs4951011,rs6122906,rs6472903,rs6562760,rs676256,rs67958007,rs7107217,rs71559437,rs720475,rs7904519	BARX2,CEBPB,CUX1,DLX2,ESR1,ESRRG,FOXI1,GATA3,GLI2,GRHL1,HLF,HNF4G,ISL1,KLF12,KLF4,KLF5,LMO4,LMX1B,MYC,NOBOX,NRIP1,OVOL1,PAX9,RUNX1,SOX4,TBX3,TCF7L2,TRPS1,ZBED6
GO Molecular Function	GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	9	4.542352e-7	1.895978e-3	2.106642e-4	2.417096e+0	1.489391e+1	36	1.006345e-1	2.432432e-1	2	9.298365e-9	3.881138e-5	1.940569e-5	3.150272e+0	1.015785e+1	32	766	1.285141e-1	4.177546e-2	rs10759243,rs10760444,rs10816625,rs11117758,rs113577745,rs11780156,rs11820646,rs12546444,rs1292011,rs13267382,rs13294895,rs16992204,rs2012709,rs2016394,rs2046210,rs2223621,rs2236007,rs2747652,rs2787486,rs2943559,rs35951924,rs3903072,rs4496150,rs4562056,rs4593472,rs4849887,rs514192,rs6122906,rs6472903,rs6562760,rs676256,rs6762644,rs67958007,rs6805189,rs7107217,rs720475	BARX2,BHLHE40,CEBPB,DLX2,ESR1,ESRRG,FOXI1,FOXL1,FOXP1,GATA3,GLI2,GRHL1,GRHL2,HLF,HNF4G,ISL1,KLF11,KLF12,KLF14,KLF4,KLF5,LMX1B,MYC,NOBOX,OVOL1,PAX9,RUNX1,SOX4,SUB1,TBX3,TRPS1,ZFPM2
GO Molecular Function	GO:0001010	transcription factor activity, sequence-specific DNA binding transcription factor recruiting	10	7.455684e-7	3.112003e-3	3.112003e-4	6.009361e+1	6.656282e-2	4	4.497488e-4	2.702703e-2	123	3.925955e-2	1.000000e+0	1.000000e+0	2.513655e+1	3.978271e-2	1	3	4.016064e-3	3.333333e-1	rs10759243,rs10816625,rs13294895,rs676256	KLF4
