Rank	Gene	Distance	SNP
1	KCNK17	42	rs34247110
2	CCND1	145	rs55911137
3	PPARG	154	rs1801282
4	PXMP4	169	rs67611724
5	CTRB2	200	rs72802352
6	BEND3	235	rs372411283
7	PIM3	242	rs56150947
8	FBRSL1	255	rs77773608
9	HNF1A	312	rs1800574
10	SHBG	435	rs858518
11	SETD9	556	rs252924
12	RGS19	614	rs8126001
13	HMGA1	622	rs945712382
14	NEUROG3	693	rs41277236
15	APOC1	763	rs438811
16	ZBTB26	831	rs1868590
17	ERN1	878	rs61044233
18	CDKN1B	1041	rs2066827
19	CDKN1C	1084	rs452338
20	TUBG2	1095	rs75524028
21	ETS1	1101	rs6590339
22	MAP2K7	1385	rs55933149
23	BCL2L11	1402	rs56952027
24	CHMP4B	1425	rs68014479
25	POU5F1	1538	rs3132520
26	GCDH	1593	rs62108438
27	KCNJ11	1615	rs2074314
28	CCND2	1906	rs76895963
29	PROX1	2030	rs340874
30	DMRT2	2080	rs6474549
31	TFAP2B	2342	rs3798519
32	SLCO4A1	2458	rs4809556
33	ZAR1	2500	rs6829144
34	CLK2	3230	rs11577338
35	JADE2	3252	rs329122
36	TH	3314	rs4930044
37	TRIM59	3475	rs56394279
38	WNT6	3591	rs200513066
39	TP53INP1	4056	rs13257021
40	HNF1B	4082	rs7501939
41	OSBPL7	4216	rs35625408
42	FKBP2	4497	rs56271783
43	TM6SF2	4548	rs58542926
44	RASGRP1	4621	rs12912777
45	TLE1	4728	rs2796441
46	TSHZ3	4937	rs4805681
47	FAM46C	5039	rs320369
48	DNLZ	5363	rs3812549
49	SIPA1	5382	rs12420618
50	GTSF1L	5654	rs190789
51	ENSG00000269881	5722	rs6600208
52	CCND3	5788	rs33966734
53	MTNR1B	5824	rs10830963
54	OTULIN	5841	rs6884420
55	PDE3B	6127	rs118115876
56	PABPC4	6145	rs3768321
57	IKBKG	6242	rs1050828
58	SIN3A	6338	rs8035987
59	PLXND1	6361	rs59899263
60	RRAGA	6572	rs1048169
61	CEP68	6770	rs2540951
62	GIPR	6830	rs62111724
63	CCND2	6849	rs4238013
64	ATP2A3	7229	rs3826482
65	SLC22A3	7353	rs673736
66	SPRED2	7363	rs6752053
67	GNAS	7368	rs6026557
68	ARAP1	7468	rs140130268
69	PNISR	7486	rs774461980
70	PDIK1L	7587	rs61776592
71	FGFR3	7641	rs35048168
72	SLC26A1	7812	rs3832289
73	GLIS3	7988	rs10974438
74	ASCL2	8232	rs79696944
75	YKT6	8870	rs2971669
76	PDCD4	9728	rs7067540
77	HSF1	9996	rs13268508
78	DNLZ	10025	rs28578070
79	SBNO1	10353	rs67624109
80	LONRF1	10464	rs62486442
81	PROX1	10465	rs79687284
82	SLC12A8	10466	rs4679370
83	EPHB4	10735	rs314363
84	COL2A1	10785	rs12819124
85	NEUROG3	11715	rs177045
86	CYTH1	11903	rs8073626
87	SNRPD2	12005	rs61373376
88	KSR2	12020	rs7313918
89	TGFB1	12079	rs11466334
90	DUSP9	12166	rs4898364
91	MBNL1	12224	rs1426385
92	HNF4A	12430	rs137853336
93	HNF4A	12440	rs1800961
94	IGF2	12604	rs11042751
95	HNF1A	12642	rs1169299
96	ZNF236	12915	rs34652083
97	BMF	13347	rs11637595
98	HMGA2	13544	rs2612072
99	NOTCH2	13669	rs28516010
100	CDKN2C	13676	rs12855
101	NOTCH4	14581	rs3130293
102	ZNF799	14702	rs59975010
103	GLP1R	15008	rs80263562
104	CCND2	15412	rs3217854
105	HNF4A	15863	rs191304120
106	HHEX	16787	rs10882102
107	ST6GAL1	17372	rs3887925
108	CD101	17529	rs6657819
109	PDHA1	17629	rs15943
110	ABO	17692	rs8176719
111	PRC1	18065	rs8036430
112	VEGFA	18638	rs4711750
113	TFRC	18874	rs111354897
114	SLC2A2	18972	rs61791116
115	MYO5C	19188	rs80072979
116	PELO	19350	rs59387648
117	RNF6	19631	rs34584161
118	DLK1	20040	rs17099623
119	CCDC92	20156	rs7961449
120	CDKL2	20624	rs2055997
121	RBM28	20869	rs147287548
122	ABCB10	21487	rs348330
123	GCKR	21528	rs780094
124	CRHR2	23076	rs2267716
125	GYS2	23400	rs10841867
126	SGPL1	23440	rs1683935
127	RSPO3	24911	rs719727
128	FAM185A	25666	rs111756123
129	ANPEP	25951	rs2351707
130	TCF7L2	26504	rs114322470
131	KLHL42	27520	rs10771371
132	TSEN2	27609	rs4684859
133	TET1	27705	rs1111874
134	ZBTB38	27915	rs73872717
135	CEBPB	28068	rs3067768
136	HNF4A	28203	rs4810426
137	IGF2BP2	28611	rs9808924
138	BEND7	28660	rs4750377
139	MRAS	28986	rs2347252
140	FOXN3	30006	rs35889227
141	STEAP2	30720	rs194535
142	CYTL1	30901	rs4450871
143	WFS1	31445	rs1801214
144	TBCD	31672	rs2379358
145	ESRP1	31790	rs11786992
146	PCGF3	31958	rs73221131
147	ACSL1	32287	rs116401167
148	SHQ1	32448	rs13085136
149	RFPL2	32833	rs117744580
