Rank	Gene	Distance	SNP
1	ENSG00000281883	11	rs3764147
2	TMBIM1	354	rs2382817
3	PARK7	445	rs3766606
4	FOSL2	931	rs925255
5	IFNGR2	957	rs2284553
6	TNFRSF6B	1078	rs6062496
7	GPR65	1127	rs8005161
8	ATG16L1	1231	rs6752107
9	CDC37	1298	rs11879191
10	CARD9	1728	rs10781499
11	ITLN1	2004	rs4656958
12	LTBR	2074	rs7954567
13	RORC	2668	rs4845604
14	PRM2	2983	rs529866
15	GPR183	3037	rs9557195
16	CCL7	3266	rs3091316
17	RNASET2	3357	rs1819333
18	PUSL1	3547	rs12103
19	JAK2	3644	rs75900472
20	RGS14	3732	rs4976646
21	FCGR2A	4525	rs1801274
22	CD40	4847	rs1569723
23	FAM189B	4953	rs3180018
24	MST1	4954	rs3197999
25	HDAC7	5200	rs11168249
26	MAP3K8	5235	rs1042058
27	IL10	5935	rs3024505
28	ZNF300	6636	rs11741861
29	SP140	6683	rs6716753
30	FAM53B	6762	rs111456533
31	FUT2	6940	rs516246
32	CCL20	8094	rs1811711
33	IRF6	8779	rs59043219
34	FERMT1	10302	rs4256018
35	IL27	10626	rs28449958
36	TAF8	10859	rs67289879
37	IL1RL1	11074	rs13001325
38	GCKR	11231	rs1260326
39	LSP1	12323	rs907611
40	HHEX	12857	rs7911264
41	STAT3	13042	rs12942547
42	BOK	13435	rs76527535
43	TNFRSF14	13533	rs10797432
44	ITGA4	13600	rs6740847
45	INAVA	13613	rs7554511
46	SLC7A10	14795	rs17694108
47	NOD2	14876	rs2066844
48	IMPG2	15656	rs503734
49	GPR35	16041	rs4676408
50	THADA	16195	rs10495903
51	RIMBP3C	17154	rs2266959
52	PRKCB	17245	rs7404095
53	GRB7	17353	rs12946510
54	SMURF1	17394	rs9297145
55	HORMAD2	17719	rs5763767
56	LNPEP	18365	rs1363907
57	PDGFB	19017	rs2413583
58	GPX4	20095	rs2024092
59	KDELR2	21315	rs11768365
60	OSMR	21631	rs395157
61	NDFIP1	25134	rs6863411
62	IL2	26449	rs1479918
63	TM9SF4	28339	rs6142618
64	ATXN2	29724	rs653178
65	RNF186	30089	rs6426833
66	BACH2	33302	rs1847472
67	NXPE1	33417	rs200349593
68	TOM1	33924	rs138788
69	ADCY7	34647	rs78534766
70	HNF4A	35104	rs6017342
71	SLC6A7	36474	rs17656349
72	SLC26A3	36663	rs4380874
73	CD6	37057	rs11230563
74	CUL1	39335	rs243505
75	IKZF1	39917	rs1456896
76	PEX13	40001	rs7608910
77	TSPAN14	40125	rs6586030
78	REV3L	43273	rs3851228
79	DENND1B	43344	rs2488397
80	ADCY3	44411	rs13407913
81	ICOSLG	44982	rs7282490
82	IFNG	45405	rs11614178
83	PPIF	46918	rs1250550
84	CREM	49797	rs34779708
85	EDN3	51173	rs259964
86	IRF1	55685	rs2188962
87	RPL26L1	60918	rs564349
88	PTPN2	65312	rs80262450
89	IL12RB2	65357	rs11581607
90	DAP	65814	rs2930047
91	IL12B	69874	rs56167332
92	WNT2	70497	rs38904
93	AMZ1	70724	rs798502
94	DUSP5	71448	rs11195128
95	AKAP11	71572	rs80244186
96	PITX1	73618	rs254560
97	ZBTB40	76113	rs12568930
98	ETS1	76479	rs11221332
99	KLF3	77364	rs11734570
100	ABCB5	77532	rs149169037
101	LRRC32	81395	rs11236797
102	IRF8	81832	rs16940202
103	SMAD7	82060	rs7240004
104	SMAD3	84413	rs17293632
105	BLM	87658	rs7495132
106	PSMG1	90243	rs2836878
107	TRIB1	92108	rs921720
108	GOT1	93887	rs4409764
109	PRDM1	98926	rs7746082
110	PLCG2	104049	rs11548656
111	NR5A2	105190	rs2816958
112	IPMK	114544	rs1819658
113	ADO	119053	rs10761659
114	LRRK2	121347	rs148319899
115	CEBPB	148153	rs913678
116	BANK1	153540	rs13126505
117	SOX4	162271	rs71559680
118	TNFSF18	166643	rs7517810
119	GSDMC	175029	rs1991866
120	TNFAIP3	181821	rs6920220
121	AUH	195779	rs4743820
122	GPR12	196345	rs17085007
123	UBE2V2	208282	rs7011507
124	ZEB2	214420	rs11681525
125	FOXO1	226757	rs941823
126	PTGER4	269016	rs11742570
127	CDKAL1	277900	rs9358372
128	USP25	284406	rs2823286
129	SLC39A11	445904	rs17780256
130	FOXP1	457645	rs2593855
131	LPP	470439	rs56116661
132	JARID2	527031	rs17119
133	MYC	818866	rs6651252
