# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
rs147287548	RBM28 (+20869), LEP (+81755)
rs1057163508	ERBB4 (-547122), IKZF2 (+65640)
rs137853336	TTPAL (-62174), HNF4A (+12430)
rs774461980	PNISR (-7486), USP45 (+82582)
rs373676665	PPARGC1A (+139920)
rs184889639	KCNV1 (-189591)
rs138066904	HMGA2 (+71279), LLPH (+235029)
rs15943	PDHA1 (+17629), MAP3K15 (+153739)
rs78408340	GIN1 (+117116), PAM (+137025)
rs33966734	CCND3 (+5788), BYSL (+14872)
rs114322470	HABP2 (-576115), TCF7L2 (+26504)
rs76895963	TIGAR (-45527), CCND2 (+1906)
rs45617834	RTL1 (+55383), DLK1 (+102637)
rs3812549	DNLZ (+5363), GPSM1 (+30950)
rs112725069	FAM174A (+126782), ST8SIA4 (+241179)
rs17250977	OTULIN (+88888), ANKH (+118142)
rs56271783	FKBP2 (-4497)
rs945712382	HMGA1 (+622)
rs80263562	GLP1R (+15008), SAYSD1 (+51383)
rs149802978	GIN1 (+108989), PAM (+145152)
rs2283164	KCNQ1 (+112942), CDKN1C (+327948)
rs17791513	TLE4 (-281940), PSAT1 (+993532)
rs75018580	SLC25A26 (+124712), LRIG1 (+242610)
rs11696357	ADA (+46734), PKIG (+73099)
rs12334481	EYA1 (-152654), MSC (+329582)
rs73631502	TBL1X (+140145), GPR143 (+160811)
rs6884420	OTULIN (+5841), ANKH (+201189)
rs6743071	ZFP36L2 (-132539), THADA (+236826)
rs7454108	HLA-DQA2 (-27636), HLA-DQA1 (+76349)
rs2612072	HMGA2 (-13544), MSRB3 (+532273)
rs6885132	OTULIN (+103235), ANKH (+103795)
rs17476364	HK1 (+64748), TACR2 (+82119)
rs59899263	PLXND1 (-6361), TMCC1 (+267287)
rs1801282	PPARG (+154)
rs7313918	NOS1 (-594401), KSR2 (+12020)
rs116401167	CENPU (-60398), ACSL1 (+32287)
rs12420618	SIPA1 (+5382), RELA (+17591)
rs1868590	ZBTB26 (-831)
rs7948345	ETS1 (+412649)
rs68014479	CHMP4B (-1425)
rs2347252	ESYT3 (-57930), MRAS (+28986)
rs9976596	KCNE2 (-139483), SLC5A3 (+150971)
rs10811661	DMRTA1 (-312746), CDKN2B (-124732)
rs59387648	ITGA2 (-182036), PELO (+19350)
rs6474549	SMARCA2 (-969511), DMRT2 (+2080)
rs6590339	ETS1 (+1101)
rs576674	KL (-36269), PDS5B (+393737)
rs3798519	TFAP2B (+2342)
rs190789	GTSF1L (+5654), MYBL2 (+54187)
rs1683935	SGPL1 (+23440), PCBD1 (+49374)
rs62108438	KLF1 (-2252), GCDH (-1593)
rs1418334	AMMECR1 (-271672), CHRDL1 (+205900)
rs348330	NUP133 (-28867), ABCB10 (+21487)
rs1048169	RRAGA (+6572), HAUS6 (+47152)
rs35889227	FOXN3 (+30006), TTC8 (+764971)
rs6026557	GNAS (-7368), NPEPL1 (+152733)
rs10773049	RFLNA (+48843), NCOR2 (+473168)
rs1801214	WFS1 (+31445), PPP2R2C (+80575)
rs55933149	TGFBR3L (-10875), MAP2K7 (+1385)
rs6752053	MEIS1 (-995860), SPRED2 (-7363)
rs13322435	CCNL1 (+82534), TIPARP (+402834)
rs1822105	RASGRP1 (-777296), THBS1 (-238991)
rs4809556	SLCO4A1 (-2458)
rs3826482	P2RX1 (-40562), ATP2A3 (+7229)
rs858518	SAT2 (-1852), SHBG (-435)
rs947733	SLC35D3 (+61026), IL20RA (+61674)
rs12571751	PPIF (-164604), ZMIZ1 (+113839)
rs6829144	ZAR1 (-2500)
rs4450871	CYTL1 (+30901), MSX1 (+128905)
rs7974748	LGR5 (-371720), PTPRR (-147207)
rs1169299	HNF1A (+12642), C12orf43 (+25111)
rs243018	BCL11A (+193926)
rs3887925	ST6GAL1 (+17372), RPL39L (+191666)
rs4750377	PRPF18 (-55291), BEND7 (-28660)
rs6657819	CD101 (-17529), PTGFRN (+74226)
rs2351707	ANPEP (-25951), AP3S2 (+53529)
rs1215466	SPRY2 (+204854), NDFIP2 (+653681)
rs3130293	GPSM3 (-16580), NOTCH4 (+14581)
rs2283220	CDKN1C (+151563), KCNQ1 (+289327)
rs8121708	FOXA2 (+133212), PAX1 (+745592)
rs9316500	RNASEH2B (-389700), KCNRG (+504724)
rs61506637	LRRC66 (+68851), DCUN1D4 (+105190)
rs4865796	ARL15 (+333739), NDUFS4 (+416199)
rs7732130	PDE8B (-71702), ZBED3 (-51856)
rs177045	NEUROG3 (+11715), TSPAN15 (+110050)
