# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Molecular Function	GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity	1	7.565957e-19	3.158030e-15	3.158030e-15	7.106887e+1	1.688503e-1	12	6.162420e-4	4.379562e-2	24	1.160244e-4	4.842858e-1	2.017858e-2	1.455581e+1	2.748043e-1	4	12	9.302326e-3	3.333333e-1	rs10811661,rs12003808,rs12555274,rs12855,rs1333045,rs2066827,rs2237897,rs2283164,rs2283220,rs234866,rs35276020,rs452338	CDKN1B,CDKN1C,CDKN2B,CDKN2C
GO Molecular Function	GO:0016538	cyclin-dependent protein serine/threonine kinase regulator activity	2	7.145436e-17	2.982505e-13	1.491252e-13	2.622726e+1	5.719241e-1	15	2.087314e-3	5.474453e-2	9	3.174564e-6	1.325063e-2	1.472292e-3	1.054042e+1	6.641103e-1	7	29	1.627907e-2	2.413793e-1	rs10811661,rs12003808,rs12555274,rs12855,rs13322435,rs1333045,rs2066827,rs2237897,rs2283164,rs2283220,rs234866,rs35276020,rs452338,rs4898364,rs55911137	CCND1,CCNL1,CDKN1B,CDKN1C,CDKN2B,CDKN2C,FAM58A
GO Molecular Function	GO:0030291	protein serine/threonine kinase inhibitor activity	3	4.246930e-15	1.772669e-11	5.908895e-12	1.719166e+1	9.306838e-1	16	3.396656e-3	5.839416e-2	10	8.028151e-6	3.350950e-2	3.350950e-3	9.262791e+0	7.557118e-1	7	33	1.627907e-2	2.121212e-1	rs10811661,rs11696357,rs12003808,rs1215466,rs12555274,rs12855,rs1333045,rs2066827,rs2237897,rs2283164,rs2283220,rs234866,rs244080,rs35276020,rs452338,rs6752053	CDKN1B,CDKN1C,CDKN2B,CDKN2C,PKIG,SPRED2,SPRY2
GO Molecular Function	GO:0001067	regulatory region nucleic acid binding	4	4.053515e-9	1.691937e-5	4.229843e-6	2.186918e+0	2.789313e+1	61	1.017998e-1	2.226277e-1	1	7.596388e-9	3.170732e-5	3.170732e-5	2.468831e+0	1.944240e+1	48	849	1.116279e-1	5.653710e-2	rs10410805,rs1057163508,rs10750397,rs10882102,rs10974438,rs1111874,rs114322470,rs114364467,rs1169299,rs12334481,rs12420618,rs13268508,rs13322435,rs137853336,rs138066904,rs1426385,rs17168486,rs177045,rs17772814,rs1800574,rs1800961,rs1801282,rs190789,rs191304120,rs202020783,rs2379358,rs243018,rs2612072,rs3067768,rs3110641,rs3110649,rs3132520,rs340874,rs35742417,rs3798519,rs3818717,rs41277236,rs4338565,rs4450871,rs4684859,rs4805681,rs4810426,rs6066137,rs62108438,rs6474549,rs6590339,rs6752053,rs6777684,rs73226260,rs73631502,rs7501939,rs7903146,rs7948345,rs79687284,rs79696944,rs8035987,rs8121708,rs9348441,rs9379084,rs945712382,rs9677933	ASCL2,BCL11A,BCL6,CCAR1,CEBPB,CEBPG,DMRT2,ERBB4,ETS1,ETV1,FOXA2,GLI2,HHEX,HMGA1,HMGA2,HNF1A,HNF1B,HNF4A,HSF1,IKZF2,KLF1,MBNL1,MEIS1,MSC,MSX1,MYBL2,MYC,NEUROG3,PAX1,POU5F1,PPARG,PROX1,RAI1,RELA,RFX3,RREB1,SIN3A,SMARCA2,SOX4,SREBF1,TBL1X,TCF4,TCF7L2,TFAP2B,TIPARP,ZMYND8,ZNF536,ZNF750
GO Molecular Function	GO:1990837	sequence-specific double-stranded DNA binding	5	4.284527e-9	1.788362e-5	3.576723e-6	2.288375e+0	2.447151e+1	56	8.931208e-2	2.043796e-1	4	1.262999e-7	5.271758e-4	1.317939e-4	2.449200e+0	1.674016e+1	41	731	9.534884e-2	5.608755e-2	rs10410805,rs10750397,rs10882102,rs10974438,rs114322470,rs1169299,rs12334481,rs12420618,rs13268508,rs137853336,rs138066904,rs17168486,rs177045,rs17772814,rs1800574,rs1800961,rs1801282,rs190789,rs191304120,rs202020783,rs2379358,rs243018,rs2612072,rs3067768,rs3110641,rs3110649,rs3132520,rs340874,rs35742417,rs372411283,rs3798519,rs3818717,rs41277236,rs4338565,rs4450871,rs4684859,rs4805681,rs4810426,rs6066137,rs62108438,rs6474549,rs6590339,rs6752053,rs6777684,rs73226260,rs7501939,rs7903146,rs7948345,rs79687284,rs79696944,rs8035987,rs8121708,rs9348441,rs9379084,rs945712382,rs9677933	ASCL2,BCL11A,BCL6,BEND3,CEBPB,CEBPG,DMRT2,ETS1,ETV1,FOXA2,GLI2,HHEX,HMGA1,HMGA2,HNF1A,HNF1B,HNF4A,HSF1,KLF1,MEIS1,MSC,MSX1,MYBL2,MYC,NEUROG3,PAX1,POU5F1,PPARG,PROX1,RELA,RFX3,RREB1,SIN3A,SOX4,SREBF1,TCF4,TCF7L2,TFAP2B,ZMYND8,ZNF536,ZNF750
GO Molecular Function	GO:0004860	protein kinase inhibitor activity	6	1.129775e-8	4.715681e-5	7.859468e-6	5.417971e+0	3.322277e+0	18	1.212510e-2	6.569343e-2	32	3.288551e-4	1.000000e+0	4.289504e-2	4.136916e+0	2.175534e+0	9	95	2.093023e-2	9.473684e-2	rs10811661,rs11696357,rs12003808,rs1215466,rs12555274,rs12855,rs1333045,rs2066827,rs2237897,rs2283164,rs2283220,rs234866,rs244080,rs35276020,rs452338,rs61506637,rs6752053,rs76263492	CDKN1B,CDKN1C,CDKN2B,CDKN2C,LRRC66,LRTM1,PKIG,SPRED2,SPRY2
GO Molecular Function	GO:0019210	kinase inhibitor activity	7	1.573128e-8	6.566236e-5	9.380338e-6	5.299871e+0	3.396309e+0	18	1.239529e-2	6.569343e-2	36	4.471447e-4	1.000000e+0	5.184394e-2	3.969767e+0	2.267135e+0	9	99	2.093023e-2	9.090909e-2	rs10811661,rs11696357,rs12003808,rs1215466,rs12555274,rs12855,rs1333045,rs2066827,rs2237897,rs2283164,rs2283220,rs234866,rs244080,rs35276020,rs452338,rs61506637,rs6752053,rs76263492	CDKN1B,CDKN1C,CDKN2B,CDKN2C,LRRC66,LRTM1,PKIG,SPRED2,SPRY2
GO Molecular Function	GO:0030504	inorganic diphosphate transmembrane transporter activity	8	2.089750e-8	8.722616e-5	1.090327e-5	6.463000e+1	7.736346e-2	5	2.823484e-4	1.824818e-2	96	2.290036e-2	1.000000e+0	9.956886e-1	4.366744e+1	2.290036e-2	1	1	2.325581e-3	1.000000e+0	rs147581833,rs17250977,rs6884420,rs6885132,rs76549217	ANKH
GO Molecular Function	GO:0044212	transcription regulatory region DNA binding	9	2.247106e-8	9.379420e-5	1.042158e-5	2.123429e+0	2.778524e+1	59	1.014060e-1	2.153285e-1	2	1.893577e-8	7.903790e-5	3.951895e-5	2.425969e+0	1.937370e+1	47	846	1.093023e-1	5.555556e-2	rs10410805,rs1057163508,rs10750397,rs10882102,rs10974438,rs1111874,rs114322470,rs1169299,rs12334481,rs12420618,rs13268508,rs13322435,rs137853336,rs138066904,rs17168486,rs177045,rs17772814,rs1800574,rs1800961,rs1801282,rs190789,rs191304120,rs202020783,rs2379358,rs243018,rs2612072,rs3067768,rs3110641,rs3110649,rs3132520,rs340874,rs35742417,rs3798519,rs3818717,rs41277236,rs4338565,rs4450871,rs4684859,rs4805681,rs4810426,rs6066137,rs62108438,rs6474549,rs6590339,rs6752053,rs6777684,rs73226260,rs73631502,rs7501939,rs7903146,rs7948345,rs79687284,rs79696944,rs8035987,rs8121708,rs9348441,rs9379084,rs945712382,rs9677933	ASCL2,BCL11A,BCL6,CCAR1,CEBPB,CEBPG,DMRT2,ERBB4,ETS1,ETV1,FOXA2,GLI2,HHEX,HMGA1,HMGA2,HNF1A,HNF1B,HNF4A,HSF1,IKZF2,KLF1,MEIS1,MSC,MSX1,MYBL2,MYC,NEUROG3,PAX1,POU5F1,PPARG,PROX1,RAI1,RELA,RFX3,RREB1,SIN3A,SMARCA2,SOX4,SREBF1,TBL1X,TCF4,TCF7L2,TFAP2B,TIPARP,ZMYND8,ZNF536,ZNF750
GO Molecular Function	GO:0000975	regulatory region DNA binding	10	2.301680e-8	9.607212e-5	9.607212e-6	2.121993e+0	2.780405e+1	59	1.014747e-1	2.153285e-1	3	2.035680e-8	8.496928e-5	2.832309e-5	2.420247e+0	1.941950e+1	47	848	1.093023e-1	5.542453e-2	rs10410805,rs1057163508,rs10750397,rs10882102,rs10974438,rs1111874,rs114322470,rs1169299,rs12334481,rs12420618,rs13268508,rs13322435,rs137853336,rs138066904,rs17168486,rs177045,rs17772814,rs1800574,rs1800961,rs1801282,rs190789,rs191304120,rs202020783,rs2379358,rs243018,rs2612072,rs3067768,rs3110641,rs3110649,rs3132520,rs340874,rs35742417,rs3798519,rs3818717,rs41277236,rs4338565,rs4450871,rs4684859,rs4805681,rs4810426,rs6066137,rs62108438,rs6474549,rs6590339,rs6752053,rs6777684,rs73226260,rs73631502,rs7501939,rs7903146,rs7948345,rs79687284,rs79696944,rs8035987,rs8121708,rs9348441,rs9379084,rs945712382,rs9677933	ASCL2,BCL11A,BCL6,CCAR1,CEBPB,CEBPG,DMRT2,ERBB4,ETS1,ETV1,FOXA2,GLI2,HHEX,HMGA1,HMGA2,HNF1A,HNF1B,HNF4A,HSF1,IKZF2,KLF1,MEIS1,MSC,MSX1,MYBL2,MYC,NEUROG3,PAX1,POU5F1,PPARG,PROX1,RAI1,RELA,RFX3,RREB1,SIN3A,SMARCA2,SOX4,SREBF1,TBL1X,TCF4,TCF7L2,TFAP2B,TIPARP,ZMYND8,ZNF536,ZNF750
GO Molecular Function	GO:0003690	double-stranded DNA binding	11	3.497629e-8	1.459910e-4	1.327191e-5	2.153485e+0	2.600436e+1	56	9.490643e-2	2.043796e-1	7	1.754792e-6	7.324502e-3	1.046357e-3	2.213059e+0	1.852639e+1	41	809	9.534884e-2	5.067985e-2	rs10410805,rs10750397,rs10882102,rs10974438,rs114322470,rs1169299,rs12334481,rs12420618,rs13268508,rs137853336,rs138066904,rs17168486,rs177045,rs17772814,rs1800574,rs1800961,rs1801282,rs190789,rs191304120,rs202020783,rs2379358,rs243018,rs2612072,rs3067768,rs3110641,rs3110649,rs3132520,rs340874,rs35742417,rs372411283,rs3798519,rs3818717,rs41277236,rs4338565,rs4450871,rs4684859,rs4805681,rs4810426,rs6066137,rs62108438,rs6474549,rs6590339,rs6752053,rs6777684,rs73226260,rs7501939,rs7903146,rs7948345,rs79687284,rs79696944,rs8035987,rs8121708,rs9348441,rs9379084,rs945712382,rs9677933	ASCL2,BCL11A,BCL6,BEND3,CEBPB,CEBPG,DMRT2,ETS1,ETV1,FOXA2,GLI2,HHEX,HMGA1,HMGA2,HNF1A,HNF1B,HNF4A,HSF1,KLF1,MEIS1,MSC,MSX1,MYBL2,MYC,NEUROG3,PAX1,POU5F1,PPARG,PROX1,RELA,RFX3,RREB1,SIN3A,SOX4,SREBF1,TCF4,TCF7L2,TFAP2B,ZMYND8,ZNF536,ZNF750
GO Molecular Function	GO:0005504	fatty acid binding	12	5.009080e-8	2.090790e-4	1.742325e-5	2.174074e+1	3.219761e-1	7	1.175095e-3	2.554745e-2	141	2.321364e-2	1.000000e+0	6.871896e-1	4.851938e+0	6.183096e-1	3	27	6.976744e-3	1.111111e-1	rs137853336,rs1800961,rs1801282,rs191304120,rs438811,rs4684859,rs4810426	APOC1,HNF4A,PPARG
