rs1057163508	ERBB4 (-547122), IKZF2 (+65640)
rs373676665	PPARGC1A (+139920)
rs184889639	KCNV1 (-189591)
rs138066904	HMGA2 (+71279), LLPH (+235029)
rs78408340	GIN1 (+117116), PAM (+137025)
rs45617834	RTL1 (+55383), DLK1 (+102637)
rs112725069	FAM174A (+126782), ST8SIA4 (+241179)
rs17250977	OTULIN (+88888), ANKH (+118142)
rs149802978	GIN1 (+108989), PAM (+145152)
rs2283164	KCNQ1 (+112942), CDKN1C (+327948)
rs17791513	TLE4 (-281940), PSAT1 (+993532)
rs75018580	SLC25A26 (+124712), LRIG1 (+242610)
rs12334481	EYA1 (-152654), MSC (+329582)
rs73631502	TBL1X (+140145), GPR143 (+160811)
rs6743071	ZFP36L2 (-132539), THADA (+236826)
rs6885132	OTULIN (+103235), ANKH (+103795)
rs17476364	HK1 (+64748), TACR2 (+82119)
rs7948345	ETS1 (+412649)
rs9976596	KCNE2 (-139483), SLC5A3 (+150971)
rs10811661	DMRTA1 (-312746), CDKN2B (-124732)
rs1418334	AMMECR1 (-271672), CHRDL1 (+205900)
rs13322435	CCNL1 (+82534), TIPARP (+402834)
rs1822105	RASGRP1 (-777296), THBS1 (-238991)
rs947733	SLC35D3 (+61026), IL20RA (+61674)
rs12571751	PPIF (-164604), ZMIZ1 (+113839)
rs7974748	LGR5 (-371720), PTPRR (-147207)
rs243018	BCL11A (+193926)
rs1215466	SPRY2 (+204854), NDFIP2 (+653681)
rs2283220	CDKN1C (+151563), KCNQ1 (+289327)
rs8121708	FOXA2 (+133212), PAX1 (+745592)
rs9316500	RNASEH2B (-389700), KCNRG (+504724)
rs61506637	LRRC66 (+68851), DCUN1D4 (+105190)
rs4865796	ARL15 (+333739), NDUFS4 (+416199)
rs7732130	PDE8B (-71702), ZBED3 (-51856)
rs7252150	INSR (+77137), ZNF557 (+147453)
rs10912578	PRDX6 (-194549), TNFSF4 (-75404)
rs6521058	CXorf36 (-722804), KRBOX4 (-523152)
rs12454712	BCL2 (+141477), PHLPP1 (+463201)
rs79994966	FTO (+85852), IRX3 (+496948)
rs4338565	LLPH (+150946), HMGA2 (+155362)
rs1333045	DMRTA1 (-327645), CDKN2B (-109833)
rs13303359	ATP2B4 (-76816), OPTC (+55602)
rs2616132	COL13A1 (-92174), C10orf35 (+79500)
rs3822072	NAP1L5 (-121883), FAM13A (+237054)
rs1496653	UBE2E1 (-392604), UBE2E2 (+210006)
rs4950125	DPYD (-489179), SNX7 (-251521)
rs11759026	RSPO3 (-647655), CENPW (+130775)
rs11708067	ADCY5 (+102827), SEC22A (+138609)
rs750557	TMEM78 (-132177), RHOU (+382382)
rs2963468	CLINT1 (-716869), EBF1 (+523749)
rs11048457	SSPN (+114745), ITPR2 (+522957)
rs681235	CITED2 (-555373)
rs459193	IL6ST (-515931), MAP3K1 (-304650)
rs9348441	SOX4 (-912321), CDKAL1 (+145990)
rs5807991	CLEC14A (-96142), SEC23A (+751017)
rs12555274	DMRTA1 (-310400), CDKN2B (-127078)
rs6066137	EYA2 (+67395), ZMYND8 (+394678)
rs7747095	TMEM63B (-264710), VEGFA (+91497)
rs58584712	BCL2L11 (+371077), ANAPC1 (+392684)
rs11257655	CAMK1D (-83587), NUDT5 (-69771)
rs72631105	WDR11 (+304656), FGFR2 (+442572)
rs1182447	DNAJB6 (-107655), UBE3C (+90398)
rs5868014	IL6ST (-570088), MAP3K1 (-250493)
rs35742417	SSR1 (+66096), RREB1 (+139303)
rs10849001	PARP11 (-307401), CCND2 (-92997)
rs9677933	GLI2 (-212705), INHBB (+233561)
rs9815690	GOLIM4 (-401938), MECOM (+648392)
rs9379084	SSR1 (+81597), RREB1 (+123802)
rs2169387	TNKS (-232029), PPP1R3B (-173189)
rs5763857	LIF (+63223), HORMAD2 (+103454)
rs202020783	CCDC68 (-464299), TCF4 (+212220)
rs62271373	PFN2 (-377644), TSC22D2 (-59582)
rs2203452	IRS1 (+569717), NYAP2 (+830332)
rs12641088	CTSO (-805130), PDGFC (+212347)
rs12910361	HMG20A (+69319), LINGO1 (+142497)
rs2925979	PLCG2 (-278073), CMIP (+56015)
rs6813195	FBXW7 (-63222), TMEM154 (+80842)
rs10750397	ETS1 (+223309)
rs10161911	GPC5 (-96662)
rs10244051	DGKB (-120847), AGMO (+537807)
rs10410805	CEBPG (+61776), PEPD (+86688)
rs11958808	MRPS30 (+136063), HCN1 (+751346)
rs2494195	ZC3H11B (+97853), LYPLAL1 (+341448)
rs13389219	GRB14 (-50518), COBLL1 (+169802)
rs35276020	CDKN1C (+214788), KCNQ1 (+226102)
rs6777684	BCL6 (-278327), LPP (-188879)
rs2982521	CITED2 (-139979)
rs76263492	LRTM1 (+133274), CACNA2D3 (+672134)
rs12003808	CDKN2B (-219198), DMRTA1 (-218280)
rs62618693	DEPDC7 (-80918), PRRG4 (+105003)
rs114364467	P2RY1 (-83055), MBNL1 (+483598)
rs76549217	ANKH (+103121), OTULIN (+103909)
rs75693095	IGF2BP3 (+70029), MALSU1 (+101238)
rs147581833	OTULIN (+91062), ANKH (+115968)
