# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Cellular Component	GO:0098552	side of membrane	1	3.280934e-5	5.469317e-2	5.469317e-2	3.129866e+0	5.431542e+0	17	4.053389e-2	1.268657e-1	1	1.740794e-5	2.901904e-2	2.901904e-2	3.173041e+0	5.672791e+0	18	433	7.317073e-2	4.157044e-2	rs10495903,rs10797432,rs11230563,rs11581607,rs11614178,rs11879191,rs13001325,rs148319899,rs1569723,rs17119,rs2066844,rs4743820,rs6927022,rs7517810,rs75900472,rs798502,rs913678	CD40,CD5,CD83,CYLD,FASLG,GNA12,HLA-DQA1,HLA-DQA2,IFNG,IL12RB2,IL1RL1,JAK2,LRRK2,PTPN1,SYK,THADA,TNFRSF14,TYK2
GO Cellular Component	GO:0005667	transcription factor complex	2	1.114679e-4	1.858170e-1	9.290849e-2	3.094266e+0	4.847677e+0	15	3.617669e-2	1.119403e-1	2	7.491295e-5	1.248799e-1	6.243994e-2	3.392412e+0	4.126857e+0	14	315	5.691057e-2	4.444444e-2	rs11221332,rs12942547,rs16940202,rs17293632,rs17694108,rs17780256,rs254560,rs2816958,rs34779708,rs67289879,rs71559680,rs7240004,rs7608910,rs913678,rs9358372	CEBPA,CEBPB,CREM,ETS1,FOXF1,NR5A2,PITX1,REL,SMAD3,SMAD7,SOX4,SOX9,STAT3,TAF8
GO Cellular Component	GO:0031526	brush border membrane	3	1.327308e-4	2.212622e-1	7.375408e-2	1.044126e+1	4.788693e-1	5	3.573652e-3	3.731343e-2	3	5.325478e-4	8.877572e-1	2.959191e-1	7.483262e+0	6.681579e-1	5	51	2.032520e-2	9.803922e-2	rs2188962,rs4380874,rs4656958,rs4976646,rs798502	GNA12,ITLN1,SLC22A5,SLC26A3,SLC34A1
GO Cellular Component	GO:0044798	nuclear transcription factor complex	4	1.194632e-3	1.000000e+0	4.978629e-1	3.871841e+0	2.066200e+0	8	1.541941e-2	5.970149e-2	10	4.545599e-3	1.000000e+0	7.577514e-1	3.425031e+0	2.043777e+0	7	156	2.845528e-2	4.487179e-2	rs12942547,rs17694108,rs17780256,rs2816958,rs67289879,rs71559680,rs913678,rs9358372	CEBPA,CEBPB,NR5A2,SOX4,SOX9,STAT3,TAF8
GO Cellular Component	GO:1990565	HSP90-CDC37 chaperone complex	5	1.366498e-3	1.000000e+0	4.555904e-1	7.313014e+2	1.367425e-3	1	1.020467e-5	7.462687e-3	18	1.310113e-2	1.000000e+0	1.000000e+0	7.632927e+1	1.310113e-2	1	1	4.065041e-3	1.000000e+0	rs11879191	CDC37
GO Cellular Component	GO:0098562	cytoplasmic side of membrane	6	1.811816e-3	1.000000e+0	5.033829e-1	3.621700e+0	2.208907e+0	8	1.648438e-2	5.970149e-2	8	3.766242e-3	1.000000e+0	7.847907e-1	3.197037e+0	2.502317e+0	8	191	3.252033e-2	4.188482e-2	rs10495903,rs11879191,rs148319899,rs2066844,rs4743820,rs75900472,rs798502,rs913678	CYLD,GNA12,JAK2,LRRK2,PTPN1,SYK,THADA,TYK2
GO Cellular Component	GO:0098802	plasma membrane receptor complex	7	2.479364e-3	1.000000e+0	5.904428e-1	3.142244e+0	2.864195e+0	9	2.137459e-2	6.716418e-2	4	5.351676e-4	8.921244e-1	2.230311e-1	3.903201e+0	2.305800e+0	9	176	3.658537e-2	5.113636e-2	rs11230563,rs11581607,rs11742570,rs149169037,rs1569723,rs395157,rs4743820,rs6740847,rs7404095	CACNG3,CD40,CD6,DAB2,IL23R,ITGA4,ITGB8,OSMR,SYK
GO Cellular Component	GO:0035098	ESC/E(Z) complex	8	2.578267e-3	1.000000e+0	5.372464e-1	1.119681e+1	2.679334e-1	3	1.999503e-3	2.238806e-2	6	1.567112e-3	1.000000e+0	4.353960e-1	1.272154e+1	2.358204e-1	3	18	1.219512e-2	1.666667e-1	rs17119,rs243505,rs254560	EZH2,H2AFY,JARID2
GO Cellular Component	GO:0000790	nuclear chromatin	9	4.003694e-3	1.000000e+0	7.415731e-1	2.723115e+0	3.672265e+0	10	2.740496e-2	7.462687e-2	15	9.044106e-3	1.000000e+0	1.000000e+0	2.415483e+0	4.139958e+0	10	316	4.065041e-2	3.164557e-2	rs11681525,rs12942547,rs1456896,rs17293632,rs2188962,rs243505,rs254560,rs2823286,rs6651252,rs913678	CEBPB,EZH2,H2AFY,IKZF1,IRF1,MYC,NRIP1,SMAD3,STAT3,ZEB2
GO Cellular Component	GO:0098554	cytoplasmic side of endoplasmic reticulum membrane	10	4.680272e-3	1.000000e+0	7.802013e-1	1.992954e+1	1.003535e-1	2	7.489070e-4	1.492537e-2	11	7.177344e-3	1.000000e+0	1.000000e+0	1.526585e+1	1.310113e-1	2	10	8.130081e-3	2.000000e-1	rs10495903,rs913678	PTPN1,THADA
