# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Biological Process	GO:0034284	response to monosaccharide	1	1.709294e-17	2.207895e-13	2.207895e-13	8.004672e+0	3.622884e+0	29	1.322220e-2	1.058394e-1	1	9.865561e-12	1.274335e-7	1.274335e-7	6.503662e+0	3.228950e+0	21	141	4.883721e-2	1.489362e-1	rs10841867,rs114322470,rs11466334,rs137853336,rs147287548,rs1800961,rs1822105,rs191304120,rs2066827,rs2074314,rs2971669,rs3110641,rs3110649,rs34652083,rs35859536,rs373676665,rs3818717,rs4810426,rs4930044,rs59387648,rs61044233,rs61373376,rs62111724,rs7501939,rs780094,rs7903146,rs79696944,rs8035987,rs9348441	CDKN1B,ERN1,GCK,GCKR,GIPR,GYS2,HNF1B,HNF4A,ITGA2,KCNJ11,LEP,PPARGC1A,SIN3A,SLC30A8,SOX4,SREBF1,TCF7L2,TGFB1,TH,THBS1,ZNF236
GO Biological Process	GO:1904029	regulation of cyclin-dependent protein kinase activity	2	2.202871e-17	2.845448e-13	1.422724e-13	1.148974e+1	2.001785e+0	23	7.305785e-3	8.394161e-2	45	3.721235e-6	4.806719e-2	1.068160e-3	5.651081e+0	1.946530e+0	11	85	2.558140e-2	1.294118e-1	rs10811661,rs10849001,rs10882102,rs12003808,rs12555274,rs12855,rs13322435,rs1333045,rs2066827,rs2237897,rs2283164,rs2283220,rs234866,rs3217854,rs33966734,rs340874,rs35276020,rs4238013,rs452338,rs4898364,rs55911137,rs76895963,rs79687284	CCND1,CCND2,CCND3,CCNL1,CDKN1B,CDKN1C,CDKN2B,CDKN2C,FAM58A,HHEX,PROX1
GO Biological Process	GO:0009746	response to hexose	3	6.718194e-16	8.677891e-12	2.892630e-12	7.657834e+0	3.525801e+0	27	1.286789e-2	9.854015e-2	6	2.997923e-10	3.872417e-6	6.454029e-7	6.100598e+0	3.114449e+0	19	136	4.418605e-2	1.397059e-1	rs10841867,rs114322470,rs11466334,rs137853336,rs1800961,rs1822105,rs191304120,rs2066827,rs2074314,rs2971669,rs3110641,rs3110649,rs34652083,rs35859536,rs373676665,rs3818717,rs4810426,rs4930044,rs61044233,rs61373376,rs62111724,rs7501939,rs780094,rs7903146,rs79696944,rs8035987,rs9348441	CDKN1B,ERN1,GCK,GCKR,GIPR,GYS2,HNF1B,HNF4A,KCNJ11,PPARGC1A,SIN3A,SLC30A8,SOX4,SREBF1,TCF7L2,TGFB1,TH,THBS1,ZNF236
GO Biological Process	GO:0009743	response to carbohydrate	4	1.509269e-15	1.949523e-11	4.873807e-12	6.716795e+0	4.317535e+0	29	1.575743e-2	1.058394e-1	3	1.448066e-10	1.870467e-6	6.234890e-7	5.660594e+0	3.709858e+0	21	162	4.883721e-2	1.296296e-1	rs10841867,rs114322470,rs11466334,rs137853336,rs147287548,rs1800961,rs1822105,rs191304120,rs2066827,rs2074314,rs2971669,rs3110641,rs3110649,rs34652083,rs35859536,rs373676665,rs3818717,rs4810426,rs4930044,rs59387648,rs61044233,rs61373376,rs62111724,rs7501939,rs780094,rs7903146,rs79696944,rs8035987,rs9348441	CDKN1B,ERN1,GCK,GCKR,GIPR,GYS2,HNF1B,HNF4A,ITGA2,KCNJ11,LEP,PPARGC1A,SIN3A,SLC30A8,SOX4,SREBF1,TCF7L2,TGFB1,TH,THBS1,ZNF236
GO Biological Process	GO:0009749	response to glucose	5	3.769240e-15	4.868727e-11	9.737455e-12	7.504998e+0	3.464358e+0	26	1.264364e-2	9.489051e-2	7	1.164204e-9	1.503802e-5	2.148289e-6	6.000107e+0	2.999947e+0	18	131	4.186047e-2	1.374046e-1	rs10841867,rs114322470,rs11466334,rs137853336,rs1800961,rs1822105,rs191304120,rs2066827,rs2074314,rs2971669,rs3110641,rs3110649,rs34652083,rs35859536,rs373676665,rs3818717,rs4810426,rs4930044,rs61044233,rs61373376,rs62111724,rs7501939,rs7903146,rs79696944,rs8035987,rs9348441	CDKN1B,ERN1,GCK,GIPR,GYS2,HNF1B,HNF4A,KCNJ11,PPARGC1A,SIN3A,SLC30A8,SOX4,SREBF1,TCF7L2,TGFB1,TH,THBS1,ZNF236
GO Biological Process	GO:0042593	glucose homeostasis	6	3.329912e-14	4.301247e-10	7.168746e-11	6.198348e+0	4.517333e+0	28	1.648662e-2	1.021898e-1	11	2.505171e-9	3.235929e-5	2.941754e-6	5.107303e+0	3.915961e+0	20	171	4.651163e-2	1.169591e-1	rs10830963,rs114322470,rs1169299,rs137853336,rs147287548,rs17476364,rs1749602,rs1800574,rs1800961,rs1801214,rs1801282,rs191304120,rs2074314,rs2203452,rs2971669,rs34652083,rs373676665,rs3798519,rs4684859,rs4810426,rs4930044,rs61044233,rs7252150,rs73226260,rs7903146,rs79696944,rs8035987,rs9348441	ERN1,ERO1B,GCK,HK1,HNF1A,HNF4A,INSR,IRS1,KCNJ11,LEP,MTNR1B,PPARG,PPARGC1A,SIN3A,SOX4,TCF7L2,TFAP2B,TH,WFS1,ZNF236
GO Biological Process	GO:0071900	regulation of protein serine/threonine kinase activity	7	6.575441e-12	8.493497e-8	1.213357e-8	3.145734e+0	1.462298e+1	46	5.336854e-2	1.678832e-1	18	9.633563e-8	1.244367e-3	6.913152e-5	2.875223e+0	1.112957e+1	32	486	7.441860e-2	6.584362e-2	rs1050828,rs10811661,rs10849001,rs10882102,rs11042751,rs11466334,rs116401167,rs11696357,rs12003808,rs1215466,rs12555274,rs12641088,rs12855,rs12912777,rs13303359,rs13322435,rs1333045,rs15943,rs1822105,rs2066827,rs2237897,rs2283164,rs2283220,rs234866,rs244080,rs3067768,rs3217854,rs33966734,rs340874,rs35276020,rs4238013,rs452338,rs459193,rs4711750,rs4898364,rs55911137,rs55933149,rs5868014,rs61044233,rs61791116,rs6752053,rs7067540,rs7252150,rs76895963,rs7747095,rs79687284	ACSL1,ATP2B4,CCND1,CCND2,CCND3,CCNL1,CDKN1B,CDKN1C,CDKN2B,CDKN2C,DUSP9,ERN1,FAM58A,HHEX,IGF2,IKBKG,INSR,MAP2K7,MAP3K1,MAP3K15,PDCD4,PDGFC,PKIG,PROX1,PTPN1,RASGRP1,SPRED2,SPRY2,TGFB1,THBS1,TNIK,VEGFA
GO Biological Process	GO:0001701	in utero embryonic development	8	7.223514e-12	9.330613e-8	1.166327e-8	3.756131e+0	9.850562e+0	37	3.595096e-2	1.350365e-1	14	6.827424e-8	8.818984e-4	6.299274e-5	3.487815e+0	7.167812e+0	25	313	5.813953e-2	7.987220e-2	rs10882102,rs11042751,rs1111874,rs114364467,rs11696357,rs11759026,rs1182447,rs12571751,rs13268508,rs1426385,rs2237897,rs2283164,rs2283220,rs234866,rs244080,rs3067768,rs3110641,rs3110649,rs3132520,rs33966734,rs35276020,rs4450871,rs452338,rs4679370,rs4711750,rs56952027,rs5763857,rs58584712,rs719727,rs72631105,rs7501939,rs7747095,rs79696944,rs7974748,rs8035987,rs9316500,rs9677933	ADA,ASCL2,BCL2L11,BYSL,CDKN1C,CEBPB,DNAJB6,FGFR2,GLI2,HEG1,HHEX,HNF1B,HSF1,IGF2,LIF,MBNL1,MSX1,POU5F1,PTPRR,RNASEH2B,RSPO3,SIN3A,TET1,VEGFA,ZMIZ1
GO Biological Process	GO:0030511	positive regulation of transforming growth factor beta receptor signaling pathway	9	7.480357e-12	9.662377e-8	1.073597e-8	1.518622e+1	8.560390e-1	13	3.124230e-3	4.744526e-2	315	2.342579e-3	1.000000e+0	9.606061e-2	6.986791e+0	5.725089e-1	4	25	9.302326e-3	1.600000e-1	rs10811661,rs12003808,rs12555274,rs1333045,rs1822105,rs2237897,rs2283164,rs2283220,rs234866,rs2982521,rs35276020,rs452338,rs681235	CDKN1C,CDKN2B,CITED2,THBS1
GO Biological Process	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	10	1.427263e-11	1.843596e-7	1.843596e-8	9.058109e+0	1.876771e+0	17	6.849530e-3	6.204380e-2	68	1.573013e-5	2.031861e-1	2.988031e-3	5.391042e+0	1.854929e+0	10	81	2.325581e-2	1.234568e-1	rs10811661,rs10849001,rs10882102,rs12003808,rs12555274,rs12855,rs13322435,rs1333045,rs2066827,rs3217854,rs33966734,rs340874,rs4238013,rs4898364,rs55911137,rs76895963,rs79687284	CCND1,CCND2,CCND3,CCNL1,CDKN1B,CDKN2B,CDKN2C,FAM58A,HHEX,PROX1
