# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Molecular Function	GO:0005126	cytokine receptor binding	1	1.001354e-8	4.179652e-5	4.179652e-5	5.682921e+0	2.991419e+0	17	2.232402e-2	1.268657e-1	5	1.994943e-8	8.326892e-5	1.665378e-5	5.069841e+0	3.550407e+0	18	271	7.317073e-2	6.642066e-2	rs11581607,rs11614178,rs11879191,rs12942547,rs1479918,rs17293632,rs1811711,rs2382817,rs28449958,rs3024505,rs3091316,rs56167332,rs5763767,rs7240004,rs7517810,rs75900472,rs80244186	CCL20,CCL7,FASLG,IFNG,IL10,IL12B,IL2,IL23R,IL27,JAK2,LIF,SMAD3,SMAD7,STAT3,TMBIM1,TNFSF11,TNFSF18,TYK2
GO Molecular Function	GO:0019900	kinase binding	2	7.572971e-8	3.160958e-4	1.580479e-4	3.190903e+0	8.461555e+0	27	6.314593e-2	2.014925e-1	4	8.577794e-9	3.580371e-5	8.950928e-6	3.410707e+0	8.502636e+0	29	649	1.178862e-1	4.468413e-2	rs11168249,rs11581607,rs11741861,rs11879191,rs12942547,rs12946510,rs13126505,rs17293632,rs17694108,rs17780256,rs2066844,rs254560,rs3024505,rs3197999,rs34779708,rs3766606,rs395157,rs4743820,rs4976646,rs67289879,rs6920220,rs7404095,rs75900472,rs7911264,rs80262450,rs913678,rs921720	BANK1,CCND3,CCNY,CDC37,CEBPA,CEBPB,CYLD,GRB7,H2AFY,HDAC7,IL12RB2,IRGM,JAK2,KIF11,MAPKAPK2,MST1,NOD2,PARK7,PRKCB,PTPN1,PTPN2,RGS14,RICTOR,SMAD3,SOX9,STAT3,SYK,TNFAIP3,TRIB1
GO Molecular Function	GO:0019901	protein kinase binding	3	4.761958e-7	1.987641e-3	6.625471e-4	3.182006e+0	7.542412e+0	24	5.628666e-2	1.791045e-1	10	1.264034e-7	5.276078e-4	5.276078e-5	3.365488e+0	7.428343e+0	25	567	1.016260e-1	4.409171e-2	rs11168249,rs11581607,rs11741861,rs11879191,rs12942547,rs12946510,rs13126505,rs17293632,rs17780256,rs2066844,rs254560,rs3024505,rs3197999,rs34779708,rs395157,rs4743820,rs4976646,rs67289879,rs7404095,rs75900472,rs7911264,rs80262450,rs913678,rs921720	BANK1,CCND3,CCNY,CDC37,CYLD,GRB7,H2AFY,HDAC7,IL12RB2,IRGM,JAK2,KIF11,MAPKAPK2,MST1,NOD2,PRKCB,PTPN1,PTPN2,RGS14,RICTOR,SMAD3,SOX9,STAT3,SYK,TRIB1
GO Molecular Function	GO:0000975	regulatory region DNA binding	4	3.482976e-6	1.453794e-2	3.634485e-3	2.353356e+0	1.359760e+1	32	1.014747e-1	2.388060e-1	1	6.234093e-9	2.602110e-5	2.602110e-5	3.060372e+0	1.110976e+1	34	848	1.382114e-1	4.009434e-2	rs11221332,rs11734570,rs12942547,rs12946510,rs1456896,rs16940202,rs17119,rs17293632,rs17694108,rs17780256,rs1847472,rs2188962,rs243505,rs254560,rs259964,rs2816958,rs2823286,rs2836878,rs34779708,rs4845604,rs59043219,rs6017342,rs6651252,rs71559680,rs7240004,rs7608910,rs7746082,rs78534766,rs7911264,rs913678,rs925255,rs9358372	BACH2,BRD7,CEBPA,CEBPB,CREM,ETS1,ETS2,EZH2,FOSL2,FOXF1,H2AFY,HHEX,HNF4A,IKZF1,IKZF3,IRF1,IRF6,IRF8,JARID2,KLF3,MYC,NR5A2,NRIP1,PITX1,PRDM1,REL,RORC,SMAD3,SMAD7,SOX4,SOX9,STAT3,ZNF281,ZNF831
GO Molecular Function	GO:0001067	regulatory region nucleic acid binding	5	3.725273e-6	1.554929e-2	3.109858e-3	2.345840e+0	1.364117e+1	32	1.017998e-1	2.388060e-1	2	6.420453e-9	2.679897e-5	1.339949e-5	3.056767e+0	1.112286e+1	34	849	1.382114e-1	4.004711e-2	rs11221332,rs11734570,rs12942547,rs12946510,rs1456896,rs16940202,rs17119,rs17293632,rs17694108,rs17780256,rs1847472,rs2188962,rs243505,rs254560,rs259964,rs2816958,rs2823286,rs2836878,rs34779708,rs4845604,rs59043219,rs6017342,rs6651252,rs71559680,rs7240004,rs7608910,rs7746082,rs78534766,rs7911264,rs913678,rs925255,rs9358372	BACH2,BRD7,CEBPA,CEBPB,CREM,ETS1,ETS2,EZH2,FOSL2,FOXF1,H2AFY,HHEX,HNF4A,IKZF1,IKZF3,IRF1,IRF6,IRF8,JARID2,KLF3,MYC,NR5A2,NRIP1,PITX1,PRDM1,REL,RORC,SMAD3,SMAD7,SOX4,SOX9,STAT3,ZNF281,ZNF831
GO Molecular Function	GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	6	8.284372e-6	3.457897e-2	5.763161e-3	2.298846e+0	1.348503e+1	31	1.006345e-1	2.313433e-1	3	6.900560e-9	2.880294e-5	9.600979e-6	3.188690e+0	1.003547e+1	32	766	1.300813e-1	4.177546e-2	rs11221332,rs11681525,rs11741861,rs12942547,rs12946510,rs16940202,rs17119,rs17293632,rs17694108,rs17780256,rs1847472,rs2188962,rs254560,rs2593855,rs259964,rs2816958,rs2836878,rs34779708,rs4845604,rs59043219,rs6017342,rs6142618,rs6651252,rs71559680,rs7608910,rs7746082,rs7911264,rs913678,rs925255,rs9358372,rs941823	BACH2,CEBPA,CEBPB,CREM,ETS1,ETS2,FOSL2,FOXF1,FOXO1,FOXP1,HHEX,HNF4A,IKZF3,IRF1,IRF6,IRF8,JARID2,MYC,NR5A2,PITX1,PLAGL2,PRDM1,REL,RORC,SMAD3,SOX4,SOX9,STAT3,ZEB2,ZNF281,ZNF300,ZNF831
GO Molecular Function	GO:0044212	transcription regulatory region DNA binding	7	9.652770e-6	4.029066e-2	5.755809e-3	2.281357e+0	1.358840e+1	31	1.014060e-1	2.313433e-1	6	2.071584e-8	8.646792e-5	1.441132e-5	2.977383e+0	1.108356e+1	33	846	1.341463e-1	3.900709e-2	rs11221332,rs11734570,rs12942547,rs12946510,rs1456896,rs16940202,rs17119,rs17293632,rs17694108,rs17780256,rs1847472,rs2188962,rs243505,rs254560,rs259964,rs2816958,rs2823286,rs2836878,rs34779708,rs4845604,rs6017342,rs6651252,rs71559680,rs7240004,rs7608910,rs7746082,rs78534766,rs7911264,rs913678,rs925255,rs9358372	BACH2,BRD7,CEBPA,CEBPB,CREM,ETS1,ETS2,EZH2,FOSL2,FOXF1,H2AFY,HHEX,HNF4A,IKZF1,IKZF3,IRF1,IRF8,JARID2,KLF3,MYC,NR5A2,NRIP1,PITX1,PRDM1,REL,RORC,SMAD3,SMAD7,SOX4,SOX9,STAT3,ZNF281,ZNF831
GO Molecular Function	GO:0005125	cytokine activity	8	1.646182e-5	6.871164e-2	8.588955e-3	4.951925e+0	2.221358e+0	11	1.657730e-2	8.208955e-2	20	3.501380e-5	1.461476e-1	7.307380e-3	4.163415e+0	2.882250e+0	12	220	4.878049e-2	5.454545e-2	rs11614178,rs1479918,rs1811711,rs28449958,rs3024505,rs3091316,rs38904,rs56167332,rs5763767,rs7517810,rs80244186	CCL20,CCL7,FASLG,IFNG,IL10,IL12B,IL2,IL27,LIF,TNFSF11,TNFSF18,WNT2
GO Molecular Function	GO:0035259	glucocorticoid receptor binding	9	1.852168e-5	7.730949e-2	8.589944e-3	1.589194e+1	3.146249e-1	5	2.347947e-3	3.731343e-2	13	4.377795e-7	1.827292e-3	1.405609e-4	2.935741e+1	1.703147e-1	5	13	2.032520e-2	3.846154e-1	rs12942547,rs17293632,rs2823286,rs2836878,rs913678	CEBPB,ETS2,NRIP1,SMAD3,STAT3
GO Molecular Function	GO:0003705	transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding	10	2.680832e-5	1.118979e-1	1.118979e-2	5.200717e+0	1.922812e+0	10	1.434934e-2	7.462687e-2	8	7.920880e-8	3.306175e-4	4.132719e-5	8.396220e+0	1.310113e+0	11	100	4.471545e-2	1.100000e-1	rs11681525,rs16940202,rs17694108,rs17780256,rs1847472,rs259964,rs2816958,rs6017342,rs7608910,rs913678	BACH2,CEBPA,CEBPB,FOXF1,HNF4A,IRF8,NR5A2,REL,SOX9,ZEB2,ZNF831
