# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Biological Process	GO:0007498	mesoderm development	1	1.444837e-8	1.866296e-4	1.866296e-4	5.993614e+0	2.669508e+0	16	1.803722e-2	1.081081e-1	76	2.118873e-4	1.000000e+0	3.601248e-2	4.985761e+0	1.604569e+0	8	121	3.212851e-2	6.611570e-2	rs10759243,rs10816625,rs11075995,rs11199914,rs12546444,rs12710696,rs1292011,rs13294895,rs17817449,rs2588809,rs28539243,rs2981578,rs3903072,rs45631563,rs676256,rs999737	FGFR2,IRX3,KLF4,OSR1,OVOL1,TBX3,ZFP36L1,ZFPM2
GO Biological Process	GO:0061180	mammary gland epithelium development	2	1.646740e-8	2.127094e-4	1.063547e-4	8.833457e+0	1.358472e+0	12	9.178862e-3	8.108108e-2	1	3.470200e-8	4.482457e-4	4.482457e-4	1.256827e+1	7.160888e-1	9	54	3.614458e-2	1.666667e-1	rs10941679,rs11199914,rs1292011,rs13365225,rs2046210,rs2747652,rs28512361,rs2981578,rs45631563,rs4849887,rs6122906,rs75915166	CCND1,CEBPB,ESR1,FGF10,FGFR2,GLI2,TBX3,WNT7B,ZNF703
GO Biological Process	GO:0032717	negative regulation of interleukin-8 production	3	8.249767e-8	1.065622e-3	3.552075e-4	2.902710e+1	2.067034e-1	6	1.396644e-3	4.054054e-2	149	1.365355e-3	1.000000e+0	1.183644e-1	1.330758e+1	2.254354e-1	3	17	1.204819e-2	1.764706e-1	rs10759243,rs10816625,rs12048493,rs13294895,rs676256,rs6815814	KLF4,OTUD7B,TLR6
GO Biological Process	GO:0006366	transcription from RNA polymerase II promoter	4	1.540096e-7	1.989342e-3	4.973355e-4	2.625192e+0	1.295144e+1	34	8.750970e-2	2.297297e-1	5	1.700925e-6	2.197085e-2	4.394170e-3	2.653980e+0	1.092699e+1	29	824	1.164659e-1	3.519417e-2	rs10759243,rs10816625,rs11117758,rs113577745,rs11780156,rs11820646,rs13267382,rs13294895,rs16992204,rs17156577,rs17426269,rs2012709,rs2016394,rs2046210,rs2223621,rs2236007,rs2747652,rs2787486,rs2943559,rs35951924,rs4562056,rs4593472,rs4808801,rs4849887,rs4951011,rs514192,rs6122906,rs6472903,rs6562760,rs676256,rs67958007,rs7107217,rs720475,rs75915166	BARX2,CCND1,CEBPB,CREB5,DLX2,ELL,ESR1,ESRRG,FOXI1,GATA3,GLI2,GRHL1,GRHL2,HLF,HNF4G,ISL1,KLF11,KLF14,KLF4,KLF5,LMO4,MYC,NOBOX,PAX9,RUNX1,SNRPE,SOX4,SUB1,TRPS1
GO Biological Process	GO:0003006	developmental process involved in reproduction	5	4.537617e-7	5.861240e-3	1.172248e-3	2.788666e+0	1.039924e+1	29	7.026511e-2	1.959459e-1	7	3.652530e-6	4.717973e-2	6.739961e-3	2.877315e+0	8.341109e+0	24	629	9.638554e-2	3.815580e-2	rs10941679,rs11199914,rs12546444,rs12710696,rs1292011,rs16857609,rs1830298,rs2046210,rs2588809,rs2594714,rs2747652,rs2823093,rs28512361,rs28539243,rs2965183,rs2981578,rs34005590,rs4442975,rs45631563,rs4849887,rs514192,rs58058861,rs6122906,rs67958007,rs6796502,rs71801447,rs720475,rs75915166,rs999737	BCL2L11,CASP8,CCND1,CEBPB,ESR1,FGF10,FGFR2,GATA3,GLI2,GRHL2,INHBB,IRX5,NANOS3,NOBOX,NRIP1,OSR1,PRSS42,TBX3,TNFSF10,TNP1,TSSK6,WNT7B,ZFP36L1,ZFPM2
GO Biological Process	GO:1904998	negative regulation of leukocyte adhesion to arterial endothelial cell	6	5.188483e-7	6.701963e-3	1.116994e-3	6.586921e+1	6.072640e-2	4	4.103135e-4	2.702703e-2	371	1.326090e-2	1.000000e+0	4.617009e-1	7.540964e+1	1.326090e-2	1	1	4.016064e-3	1.000000e+0	rs10759243,rs10816625,rs13294895,rs676256	KLF4
GO Biological Process	GO:1904997	regulation of leukocyte adhesion to arterial endothelial cell	7	5.375709e-7	6.943803e-3	9.919719e-4	6.528110e+1	6.127347e-2	4	4.140100e-4	2.702703e-2	546	2.634665e-2	1.000000e+0	6.232961e-1	3.770482e+1	2.652181e-2	1	2	4.016064e-3	5.000000e-1	rs10759243,rs10816625,rs13294895,rs676256	KLF4
GO Biological Process	GO:0014740	negative regulation of muscle hyperplasia	8	5.905506e-7	7.628142e-3	9.535178e-4	6.374670e+1	6.274835e-2	4	4.239753e-4	2.702703e-2	546	2.634665e-2	1.000000e+0	6.232961e-1	3.770482e+1	2.652181e-2	1	2	4.016064e-3	5.000000e-1	rs10759243,rs10816625,rs13294895,rs676256	KLF4
GO Biological Process	GO:0048730	epidermis morphogenesis	9	5.927643e-7	7.656736e-3	8.507485e-4	1.158433e+1	6.905883e-1	8	4.666137e-3	5.405405e-2	274	6.526431e-3	1.000000e+0	3.076712e-1	7.800997e+0	3.845662e-1	3	29	1.204819e-2	1.034483e-1	rs10759243,rs10816625,rs10941679,rs11199914,rs13294895,rs2981578,rs45631563,rs676256	FGF10,FGFR2,KLF4
GO Biological Process	GO:0014738	regulation of muscle hyperplasia	10	6.253828e-7	8.078070e-3	8.078070e-4	6.282871e+1	6.366516e-2	4	4.301700e-4	2.702703e-2	701	3.925955e-2	1.000000e+0	7.234174e-1	2.513655e+1	3.978271e-2	1	3	4.016064e-3	3.333333e-1	rs10759243,rs10816625,rs13294895,rs676256	KLF4
GO Biological Process	GO:0046985	positive regulation of hemoglobin biosynthetic process	11	6.575930e-7	8.494129e-3	7.721935e-4	6.203497e+1	6.447976e-2	4	4.356740e-4	2.702703e-2	701	3.925955e-2	1.000000e+0	7.234174e-1	2.513655e+1	3.978271e-2	1	3	4.016064e-3	3.333333e-1	rs10759243,rs10816625,rs13294895,rs676256	KLF4
GO Biological Process	GO:0030879	mammary gland development	12	8.259066e-7	1.066824e-2	8.890196e-4	5.096492e+0	2.746988e+0	14	1.856073e-2	9.459459e-2	2	5.815447e-7	7.511813e-3	3.755906e-3	6.912550e+0	1.591309e+0	11	120	4.417671e-2	9.166667e-2	rs10941679,rs11199914,rs12493607,rs1292011,rs13365225,rs2046210,rs2747652,rs28512361,rs2981578,rs45631563,rs4849887,rs6122906,rs71801447,rs75915166	BCL2L11,CCND1,CEBPB,ESR1,FGF10,FGFR2,GLI2,TBX3,TGFBR2,WNT7B,ZNF703
GO Biological Process	GO:0046984	regulation of hemoglobin biosynthetic process	13	8.495044e-7	1.097305e-2	8.440806e-4	5.813933e+1	6.880024e-2	4	4.648665e-4	2.702703e-2	858	5.200188e-2	1.000000e+0	7.828768e-1	1.885241e+1	5.304362e-2	1	4	4.016064e-3	2.500000e-1	rs10759243,rs10816625,rs13294895,rs676256	KLF4
GO Biological Process	GO:0060527	prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis	14	9.334047e-7	1.205679e-2	8.611992e-4	2.960718e+1	1.688779e-1	5	1.141067e-3	3.378378e-2	185	2.536498e-3	1.000000e+0	1.771024e-1	2.513655e+1	7.956543e-2	2	6	8.032129e-3	3.333333e-1	rs11199914,rs2046210,rs2747652,rs2981578,rs45631563	ESR1,FGFR2
GO Biological Process	GO:0060523	prostate epithelial cord elongation	15	9.477691e-7	1.224233e-2	8.161556e-4	2.951437e+1	1.694090e-1	5	1.144655e-3	3.378378e-2	109	5.208554e-4	1.000000e+0	6.172375e-2	5.027309e+1	3.978271e-2	2	3	8.032129e-3	6.666667e-1	rs11199914,rs2046210,rs2747652,rs2981578,rs45631563	ESR1,FGFR2
GO Biological Process	GO:2000342	negative regulation of chemokine (C-X-C motif) ligand 2 production	16	1.223599e-6	1.580523e-2	9.878268e-4	5.300162e+1	7.546939e-2	4	5.099283e-4	2.702703e-2	546	2.634665e-2	1.000000e+0	6.232961e-1	3.770482e+1	2.652181e-2	1	2	4.016064e-3	5.000000e-1	rs10759243,rs10816625,rs13294895,rs676256	KLF4
GO Biological Process	GO:0060713	labyrinthine layer morphogenesis	17	1.223819e-6	1.580807e-2	9.298865e-4	1.332742e+1	5.252331e-1	7	3.548872e-3	4.729730e-2	56	1.512667e-4	1.000000e+0	3.489129e-2	1.436374e+1	2.784790e-1	4	21	1.606426e-2	1.904762e-1	rs11199914,rs2588809,rs28512361,rs2981578,rs45631563,rs514192,rs999737	FGFR2,GRHL2,WNT7B,ZFP36L1
GO Biological Process	GO:0060603	mammary gland duct morphogenesis	18	1.307492e-6	1.688887e-2	9.382708e-4	1.040824e+1	7.686216e-1	8	5.193390e-3	5.405405e-2	25	3.606150e-5	4.658064e-1	1.863226e-2	1.300166e+1	3.845662e-1	5	29	2.008032e-2	1.724138e-1	rs10941679,rs11199914,rs1292011,rs2046210,rs2747652,rs2981578,rs45631563,rs4849887	ESR1,FGF10,FGFR2,GLI2,TBX3
GO Biological Process	GO:0045415	negative regulation of interleukin-8 biosynthetic process	19	1.522392e-6	1.966474e-2	1.034986e-3	5.014231e+1	7.977295e-2	4	5.390064e-4	2.702703e-2	858	5.200188e-2	1.000000e+0	7.828768e-1	1.885241e+1	5.304362e-2	1	4	4.016064e-3	2.500000e-1	rs10759243,rs10816625,rs13294895,rs676256	KLF4
GO Biological Process	GO:0071407	cellular response to organic cyclic compound	20	1.621140e-6	2.094027e-2	1.047013e-3	2.898561e+0	8.624968e+0	25	5.827681e-2	1.689189e-1	51	1.270783e-4	1.000000e+0	3.218569e-2	2.720187e+0	6.617191e+0	18	499	7.228916e-2	3.607214e-2	rs10069690,rs10759243,rs10816625,rs11117758,rs13294895,rs13365225,rs1353747,rs1830298,rs2016394,rs2046210,rs2588809,rs2747652,rs2823093,rs2943559,rs3215401,rs35951924,rs4849887,rs58847541,rs6122906,rs6472903,rs6562760,rs6725517,rs676256,rs6964587,rs999737	ADCY3,AKAP9,CASP8,CEBPB,ESR1,ESRRG,FBXO32,GLI2,HNF4G,ISL1,ITGA6,KLF4,KLF5,NRIP1,PDE4D,TERT,ZFP36L1,ZNF703
